Date,Time,Voltage (V)
8/1/2019,8:30:00 PM,0.319
8/1/2019,8:45:00 PM,0.303
8/1/2019,9:00:00 PM,0.2985
8/1/2019,9:15:00 PM,0.298
8/1/2019,9:30:00 PM,0.299
8/1/2019,9:45:00 PM,0.3015
8/1/2019,10:00:00 PM,0.3045
8/1/2019,10:15:00 PM,0.3035
8/1/2019,10:30:00 PM,0.309
8/1/2019,10:45:00 PM,0.31
8/1/2019,11:00:00 PM,0.3115
8/1/2019,11:15:00 PM,0.3135
8/1/2019,11:30:00 PM,0.3185
8/1/2019,11:45:00 PM,0.317
8/2/2019,12:00:00 AM,0.319
8/2/2019,12:15:00 AM,0.323
8/2/2019,12:30:00 AM,0.324
8/2/2019,12:45:00 AM,0.325
8/2/2019,1:00:00 AM,0.329
8/2/2019,1:15:00 AM,0.3285
8/2/2019,1:30:00 AM,0.3305
8/2/2019,1:45:00 AM,0.3315
8/2/2019,2:00:00 AM,0.3345
8/2/2019,2:15:00 AM,0.333
8/2/2019,2:30:00 AM,0.337
8/2/2019,2:45:00 AM,0.3405
8/2/2019,3:00:00 AM,0.3425
8/2/2019,3:15:00 AM,0.342
8/2/2019,3:30:00 AM,0.3445
8/2/2019,3:45:00 AM,0.3455
8/2/2019,4:00:00 AM,0.3455
8/2/2019,4:15:00 AM,0.3485
8/2/2019,4:30:00 AM,0.3515
8/2/2019,4:45:00 AM,0.351
8/2/2019,5:00:00 AM,0.351
8/2/2019,5:15:00 AM,0.3545
8/2/2019,5:30:00 AM,0.3555
8/2/2019,5:45:00 AM,0.358
8/2/2019,6:00:00 AM,0.3575
8/2/2019,6:15:00 AM,0.3575
8/2/2019,6:30:00 AM,0.3605
8/2/2019,6:45:00 AM,0.362
8/2/2019,7:00:00 AM,0.3605
8/2/2019,7:15:00 AM,0.359
8/2/2019,7:30:00 AM,0.3595
8/2/2019,7:45:00 AM,0.357
8/2/2019,8:00:00 AM,0.352
8/2/2019,8:15:00 AM,0.3505
8/2/2019,8:30:00 AM,0.3445
8/2/2019,8:45:00 AM,0.3405
8/2/2019,9:00:00 AM,0.336
8/2/2019,9:15:00 AM,0.331
8/2/2019,9:30:00 AM,0.3265
8/2/2019,9:45:00 AM,0.3235
8/2/2019,10:00:00 AM,0.319
8/2/2019,10:15:00 AM,0.316
8/2/2019,10:30:00 AM,0.3125
8/2/2019,10:45:00 AM,0.3075
8/2/2019,11:00:00 AM,0.307
8/2/2019,11:15:00 AM,0.303
8/2/2019,11:30:00 AM,0.3035
8/2/2019,11:45:00 AM,0.299
8/2/2019,12:00:00 PM,0.2975
8/2/2019,12:15:00 PM,0.294
8/2/2019,12:30:00 PM,0.2915
8/2/2019,12:45:00 PM,0.2885
8/2/2019,1:00:00 PM,0.2865
8/2/2019,1:15:00 PM,0.283
8/2/2019,1:30:00 PM,0.2835
