Date,Time,Time Zone,Delta,Voltage (V)
7/9/2019,12:00:00,-05:00,-00:00:00,0.0275
7/9/2019,12:15:00,-05:00,+00:15:00,0.146
7/9/2019,12:30:00,-05:00,+00:30:00,0.145
7/9/2019,12:45:00,-05:00,+00:45:00,0.1445
7/9/2019,13:00:00,-05:00,+01:00:00,0.143
7/9/2019,13:15:00,-05:00,+01:15:00,0.1405
7/9/2019,13:30:00,-05:00,+01:30:00,0.0295
7/9/2019,13:45:00,-05:00,+01:45:00,0.139
7/9/2019,14:00:00,-05:00,+02:00:00,0.137
7/9/2019,14:15:00,-05:00,+02:15:00,0.1355
7/9/2019,14:30:00,-05:00,+02:30:00,0.134
7/9/2019,14:45:00,-05:00,+02:45:00,0.133
7/9/2019,15:00:00,-05:00,+03:00:00,0.1325
7/9/2019,15:15:00,-05:00,+03:15:00,0.1325
7/9/2019,15:30:00,-05:00,+03:30:00,0.13
7/9/2019,15:45:00,-05:00,+03:45:00,0.129
7/9/2019,16:00:00,-05:00,+04:00:00,0.1275
7/9/2019,16:15:00,-05:00,+04:15:00,0.1265
7/9/2019,16:30:00,-05:00,+04:30:00,0.128
7/9/2019,16:45:00,-05:00,+04:45:00,0.1265
7/9/2019,17:00:00,-05:00,+05:00:00,0.1275
7/9/2019,17:15:00,-05:00,+05:15:00,0.1275
7/9/2019,17:30:00,-05:00,+05:30:00,0.1295
7/9/2019,17:45:00,-05:00,+05:45:00,0.1325
7/9/2019,18:00:00,-05:00,+06:00:00,0.135
7/9/2019,18:15:00,-05:00,+06:15:00,0.138
7/9/2019,18:30:00,-05:00,+06:30:00,0.142
7/9/2019,18:45:00,-05:00,+06:45:00,0.146
7/9/2019,19:00:00,-05:00,+07:00:00,0.148
7/9/2019,19:15:00,-05:00,+07:15:00,0.1535
7/9/2019,19:30:00,-05:00,+07:30:00,0.1545
7/9/2019,19:45:00,-05:00,+07:45:00,0.157
7/9/2019,20:00:00,-05:00,+08:00:00,0.1605
7/9/2019,20:15:00,-05:00,+08:15:00,0.163
7/9/2019,20:30:00,-05:00,+08:30:00,0.166
7/9/2019,20:45:00,-05:00,+08:45:00,0.167
7/9/2019,21:00:00,-05:00,+09:00:00,0.169
7/9/2019,21:15:00,-05:00,+09:15:00,0.172
7/9/2019,21:30:00,-05:00,+09:30:00,0.174
7/9/2019,21:45:00,-05:00,+09:45:00,0.1745
7/9/2019,22:00:00,-05:00,+10:00:00,0.178
7/9/2019,22:15:00,-05:00,+10:15:00,0.178
7/9/2019,22:30:00,-05:00,+10:30:00,0.18
7/9/2019,22:45:00,-05:00,+10:45:00,0.181
7/9/2019,23:00:00,-05:00,+11:00:00,0.183
7/9/2019,23:15:00,-05:00,+11:15:00,0.1835
7/9/2019,23:30:00,-05:00,+11:30:00,0.1865
7/9/2019,23:45:00,-05:00,+11:45:00,0.187
7/10/2019,00:00:00,-05:00,+12:00:00,0.1875
7/10/2019,00:15:00,-05:00,+12:15:00,0.191
7/10/2019,00:30:00,-05:00,+12:30:00,0.191
7/10/2019,00:45:00,-05:00,+12:45:00,0.1905
7/10/2019,01:00:00,-05:00,+13:00:00,0.1915
7/10/2019,01:15:00,-05:00,+13:15:00,0.194
7/10/2019,01:30:00,-05:00,+13:30:00,0.1935
7/10/2019,01:45:00,-05:00,+13:45:00,0.194
7/10/2019,02:00:00,-05:00,+14:00:00,0.1975
7/10/2019,02:15:00,-05:00,+14:15:00,0.196
7/10/2019,02:30:00,-05:00,+14:30:00,0.1995
7/10/2019,02:45:00,-05:00,+14:45:00,0.2005
7/10/2019,03:00:00,-05:00,+15:00:00,0.2
7/10/2019,03:15:00,-05:00,+15:15:00,0.2005
7/10/2019,03:30:00,-05:00,+15:30:00,0.2005
7/10/2019,03:45:00,-05:00,+15:45:00,0.202
7/10/2019,04:00:00,-05:00,+16:00:00,0.203
7/10/2019,04:15:00,-05:00,+16:15:00,0.203
7/10/2019,04:30:00,-05:00,+16:30:00,0.2015
7/10/2019,04:45:00,-05:00,+16:45:00,0.2015
7/10/2019,05:00:00,-05:00,+17:00:00,0.203
7/10/2019,05:15:00,-05:00,+17:15:00,0.203
7/10/2019,05:30:00,-05:00,+17:30:00,0.202
7/10/2019,05:45:00,-05:00,+17:45:00,0.201
7/10/2019,06:00:00,-05:00,+18:00:00,0.2025
7/10/2019,06:15:00,-05:00,+18:15:00,0.202
7/10/2019,06:30:00,-05:00,+18:30:00,0.2025
7/10/2019,06:45:00,-05:00,+18:45:00,0.199
7/10/2019,07:00:00,-05:00,+19:00:00,0.1965
7/10/2019,07:15:00,-05:00,+19:15:00,0.1905
7/10/2019,07:30:00,-05:00,+19:30:00,0.1875
7/10/2019,07:45:00,-05:00,+19:45:00,0.183
7/10/2019,08:00:00,-05:00,+20:00:00,0.1815
7/10/2019,08:15:00,-05:00,+20:15:00,0.178
7/10/2019,08:30:00,-05:00,+20:30:00,0.174
7/10/2019,08:45:00,-05:00,+20:45:00,0.174
7/10/2019,09:00:00,-05:00,+21:00:00,0.1725
7/10/2019,09:15:00,-05:00,+21:15:00,0.1695
7/10/2019,09:30:00,-05:00,+21:30:00,0.168
7/10/2019,09:45:00,-05:00,+21:45:00,0.167
7/10/2019,10:00:00,-05:00,+22:00:00,0.1645
7/10/2019,10:15:00,-05:00,+22:15:00,0.162
7/10/2019,10:30:00,-05:00,+22:30:00,0.1605
7/10/2019,10:45:00,-05:00,+22:45:00,0.1595
7/10/2019,11:00:00,-05:00,+23:00:00,0.1565
7/10/2019,11:15:00,-05:00,+23:15:00,0.1575
