Date,Time,Time Zone,Delta,Voltage (V)
7/16/2019,13:25:45,-05:00,-00:00:00,0.1385
7/16/2019,13:26:45,-05:00,+00:01:00,0.139
7/16/2019,13:27:45,-05:00,+00:02:00,0.1385
7/16/2019,13:28:45,-05:00,+00:03:00,0.137
7/16/2019,13:29:45,-05:00,+00:04:00,0.138
7/16/2019,13:30:45,-05:00,+00:05:00,0.1375
7/16/2019,13:31:45,-05:00,+00:06:00,0.1365
7/16/2019,13:32:45,-05:00,+00:07:00,0.1365
7/16/2019,13:33:45,-05:00,+00:08:00,0.139
7/16/2019,13:34:45,-05:00,+00:09:00,0.1375
7/16/2019,13:35:45,-05:00,+00:10:00,0.1385
7/16/2019,13:36:45,-05:00,+00:11:00,0.139
7/16/2019,13:37:45,-05:00,+00:12:00,0.139
7/16/2019,13:38:45,-05:00,+00:13:00,0.1395
7/16/2019,13:39:45,-05:00,+00:14:00,0.139
7/16/2019,13:40:45,-05:00,+00:15:00,0.138
7/16/2019,13:41:45,-05:00,+00:16:00,0.138
7/16/2019,13:42:45,-05:00,+00:17:00,0.138
7/16/2019,13:43:45,-05:00,+00:18:00,0.1375
7/16/2019,13:44:45,-05:00,+00:19:00,0.1385
7/16/2019,13:45:45,-05:00,+00:20:00,0.1375
7/16/2019,13:46:45,-05:00,+00:21:00,0.135
7/16/2019,13:47:45,-05:00,+00:22:00,0.1365
7/16/2019,13:48:45,-05:00,+00:23:00,0.1355
7/16/2019,13:49:45,-05:00,+00:24:00,0.1345
7/16/2019,13:50:45,-05:00,+00:25:00,0.135
7/16/2019,13:51:45,-05:00,+00:26:00,0.136
7/16/2019,13:52:45,-05:00,+00:27:00,0.136
7/16/2019,13:53:45,-05:00,+00:28:00,0.1355
7/16/2019,13:54:45,-05:00,+00:29:00,0.135
7/16/2019,13:55:45,-05:00,+00:30:00,0.1365
7/16/2019,13:56:45,-05:00,+00:31:00,0.1355
7/16/2019,13:57:45,-05:00,+00:32:00,0.134
7/16/2019,13:58:45,-05:00,+00:33:00,0.135
