Date,Time,Voltage (V)
8/9/2019,10:45:00 AM,0.04
8/9/2019,11:00:00 AM,0.039
8/9/2019,11:15:00 AM,0.0405
8/9/2019,11:30:00 AM,0.0415
8/9/2019,11:45:00 AM,0.038
8/9/2019,12:00:00 PM,0.039
8/9/2019,12:15:00 PM,0.04
8/9/2019,12:30:00 PM,0.042
8/9/2019,12:45:00 PM,0.041
8/9/2019,1:00:00 PM,0.044
8/9/2019,1:15:00 PM,0.0415
8/9/2019,1:30:00 PM,0.041
8/9/2019,1:45:00 PM,0.0415
8/9/2019,2:00:00 PM,0.041
8/9/2019,2:15:00 PM,0.04
8/9/2019,2:30:00 PM,0.0405
8/9/2019,2:45:00 PM,0.0415
8/9/2019,3:00:00 PM,0.0425
8/9/2019,3:15:00 PM,0.0415
8/9/2019,3:30:00 PM,0.04
8/9/2019,3:45:00 PM,0.0445
8/9/2019,4:00:00 PM,0.0435
8/9/2019,4:15:00 PM,0.042
8/9/2019,4:30:00 PM,0.043
8/9/2019,4:45:00 PM,0.041
8/9/2019,5:00:00 PM,0.0455
8/9/2019,5:15:00 PM,0.043
8/9/2019,5:30:00 PM,0.042
8/9/2019,5:45:00 PM,0.044
8/9/2019,6:00:00 PM,0.043
8/9/2019,6:15:00 PM,0.045
8/9/2019,6:30:00 PM,0.044
8/9/2019,6:45:00 PM,0.042
8/9/2019,7:00:00 PM,0.0455
8/9/2019,7:15:00 PM,0.044
8/9/2019,7:30:00 PM,0.045
8/9/2019,7:45:00 PM,0.0425
8/9/2019,8:00:00 PM,0.041
8/9/2019,8:15:00 PM,0.043
8/9/2019,8:30:00 PM,0.0415
8/9/2019,8:45:00 PM,0.0415
8/9/2019,9:00:00 PM,0.0435
8/9/2019,9:15:00 PM,0.0405
8/9/2019,9:30:00 PM,0.0405
8/9/2019,9:45:00 PM,0.0405
8/9/2019,10:00:00 PM,0.0405
8/9/2019,10:15:00 PM,0.0405
8/9/2019,10:30:00 PM,0.0415
8/9/2019,10:45:00 PM,0.037
8/9/2019,11:00:00 PM,0.0385
8/9/2019,11:15:00 PM,0.039
8/9/2019,11:30:00 PM,0.036
8/9/2019,11:45:00 PM,0.038
8/10/2019,12:00:00 AM,0.0365
8/10/2019,12:15:00 AM,0.0375
8/10/2019,12:30:00 AM,0.039
8/10/2019,12:45:00 AM,0.0375
8/10/2019,1:00:00 AM,0.0385
8/10/2019,1:15:00 AM,0.0355
8/10/2019,1:30:00 AM,0.0355
8/10/2019,1:45:00 AM,0.0375
8/10/2019,2:00:00 AM,0.0375
8/10/2019,2:15:00 AM,0.039
8/10/2019,2:30:00 AM,0.037
