,,,,
DateTime,VB1,VB2,VB3,VB4
2019-07-26 10:45:00,1505,,1557.5,582.5
2019-07-26 10:46:00,1495,,,
2019-07-26 10:47:00,1505,,,
2019-07-26 10:48:00,1480,,,
2019-07-26 10:49:00,1480,,,
2019-07-26 10:50:00,1495,,,
2019-07-26 10:51:00,1495,,,
2019-07-26 10:52:00,1490,,,
2019-07-26 10:53:00,1500,,,
2019-07-26 10:54:00,1470,,,
2019-07-26 10:55:00,1485,,,
2019-07-26 10:56:00,1485,,,
2019-07-26 10:57:00,1485,,,
2019-07-26 10:58:00,1485,,,
2019-07-26 10:59:00,1465,,,
2019-07-26 11:00:00,1480,,1552.5,587.5
2019-07-26 11:01:00,1490,,,577.5
2019-07-26 11:02:00,1470,,,587.5
2019-07-26 11:03:00,1470,,,587.5
2019-07-26 11:04:00,1470,,,582.5
2019-07-26 11:05:00,1480,,,582.5
2019-07-26 11:06:00,1475,,,582.5
2019-07-26 11:07:00,1470,,,592.5
2019-07-26 11:08:00,1460,,,582.5
2019-07-26 11:09:00,1450,,,37.5
2019-07-26 11:10:00,1480,,,37.5
2019-07-26 11:11:00,1465,,,37.5
2019-07-26 11:12:00,1470,,,37.5
2019-07-26 11:13:00,1450,,,37.5
2019-07-26 11:14:00,1455,,,37.5
2019-07-26 11:15:00,1460,,1497.5,37.5
2019-07-26 11:16:00,1455,,,37.5
2019-07-26 11:17:00,1455,,,37.5
2019-07-26 11:18:00,1460,,,37.5
2019-07-26 11:19:00,1460,,,37.5
2019-07-26 11:20:00,1450,,,37.5
2019-07-26 11:21:00,1475,,,37.5
2019-07-26 11:22:00,1450,,,37.5
2019-07-26 11:23:00,1455,,,37.5
2019-07-26 11:24:00,1445,,,37.5
2019-07-26 11:25:00,1435,,,37.5
2019-07-26 11:26:00,1435,,,37.5
2019-07-26 11:27:00,1440,,,37.5
2019-07-26 11:28:00,1445,,,37.5
2019-07-26 11:29:00,1435,,,37.5
2019-07-26 11:30:00,1435,,1497.5,37.5
2019-07-26 11:31:00,1435,,,37.5
2019-07-26 11:32:00,1440,,,37.5
2019-07-26 11:33:00,1420,,,37.5
2019-07-26 11:34:00,1435,,,37.5
2019-07-26 11:35:00,1435,,,37.5
2019-07-26 11:36:00,1415,,,37.5
2019-07-26 11:37:00,1445,,,37.5
