Distance,Avg,Stdv
245.23145,478.3333333,142.8869017
240.131,523.3333333,102.1110507
228.22,558.3333333,104.96031
225.566,566.6666667,99.33109617
217.636,603.3333333,89.36815242
208.216,568.3333333,104.96031
204.122,583.3333333,116.0459679
194.937,561.6666667,80.10409894
184.107,516.6666667,75.54248253
178.759,496.6666667,87.10147339
169.972,545,69.49820142
161.976,531.6666667,71.67054253
154.82,531.6666667,85.42052837
143.68,516.6666667,72.29568913
140.638,556.6666667,84.06346809
131.849,528.3333333,141.6215614
128.96,525,149.365324
124.229,663.3333333,129.0994449
107.753,868.3333333,346.3764811
102.753,1021.666667,219.582938
94.14,1298.333333,227.9839176
87.664,1390,292.3696291
81.871,1520,293.3939331
75.925,1901.666667,429.6238665
67.023,2010,461.5625635
63.659,2125,592.1739609
56.243,2216.666667,638.6443977
51.477,2293.333333,598.9880355
47.593,2426.666667,715.3367505
37.442,2515,699.3353988
34.256,2558.333333,791.7933232
25.495,2550,862.5833293
16.957,2538,862.6239041
12.337,2542,849.335034
4.002,2488,863.0874811
0,2534,840.4641575
