sampleID,DateCollected,DOC (mg/L),TDN (mg/L),PO4-P (mg/L),NO3-N (mg/L)
SSoutlet,7/11/2019,3.728,0.1499,<0.01,<0.05
SSoutlet,7/16/2019,4.764,0.2779,<0.01,<0.05
SSoutlet,7/19/2019,3.853,0.2252,<0.01,<0.05
SSoutlet,7/22/2019,3.723,0.1382,<0.01,<0.05
SSoutlet,7/22/2019,5.514,0.1676,<0.01,<0.05
SSoutlet,7/26/2019,5.561,0.1585,<0.01,<0.05
SSoutlet,7/31/2019,3.479,0.1356,<0.01,<0.05
SSoutlet,8/2/2019,3.224,0.2238,<0.01,<0.05
SSoutlet,8/5/2019,4.462,0.295,<0.01,<0.05
SSoutlet,8/8/2019,2.906,0.09103,<0.01,<0.05
SSoutlet,8/14/2019,7.187,0.2914,<0.01,<0.05
Station1,7/11/2019,3.763,0.1114,<0.01,<0.05
Station1,7/16/2019,4.61,0.1692,<0.01,<0.05
Station1,7/19/2019,3.74,0.1028,<0.01,<0.05
Station1,7/22/2019,5.06,0.2006,<0.01,<0.05
Station1,7/26/2019,4.002,0.117,<0.01,<0.05
Station1,7/31/2019,3.439,0.1178,<0.01,<0.05
Station1,8/2/2019,2.945,0.124,<0.01,<0.05
Station1,8/5/2019,4.225,0.1478,<0.01,<0.05
Station1,8/8/2019,3.661,0.2608,<0.01,<0.05
Station1,8/14/2019,5.165,0.1443,<0.01,<0.05
Groundwater,7/11/2019,3.938,0.1722,<0.01,<0.05
Groundwater,7/16/2019,4.218,0.1243,<0.01,<0.05
Groundwater,7/19/2019,4.518,0.1545,<0.01,<0.05
Groundwater,7/22/2019,5.455,0.1737,<0.01,<0.05
Groundwater,7/26/2019,4.553,0.1173,<0.01,<0.05
Groundwater,7/31/2019,6.875,0.2335,<0.01,<0.05
Groundwater,8/2/2019,4.217,0.308,<0.01,<0.05
Groundwater,8/5/2019,3.972,0.1235,<0.01,<0.05
Groundwater,8/8/2019,3.62,0.119,<0.01,<0.05
Groundwater,8/14/2019,5.035,0.1538,<0.01,<0.05
