code,Flouride,Chloride,Nitrite,Bromide,Nitrate,Phosphate,Sulfate,nitrite_UV,Bromide_UV
Detection Limit,0.003351596,0.058429477,0.035671156,0.003026047,0.051042846,0.032876526,0.036385045,0.051829738,0.004566576
station1_2019-07-11_1356,0.024596477,0.159313278,BTL,BTL,BTL,BTL,0.297899671,BTL,BTL
station1_2019-07-16_1437,0.063169306,0.422828711,BTL,BTL,BTL,BTL,0.32645397,BTL,BTL
staion1_2019-07-19_1313,0.094830637,0.997857345,BTL,BTL,BTL,BTL,0.2552707,BTL,BTL
station1_2019-07-22,0.088396015,0.566868332,BTL,BTL,0.06433214,BTL,0.303779857,BTL,BTL
station1_2019-07-26,0.019967597,0.180933122,BTL,BTL,BTL,BTL,0.264203218,BTL,BTL
station1_2019-07-31,0.033709483,0.281506048,BTL,BTL,BTL,BTL,0.228019744,BTL,BTL
station1_2019-08-02or12,0.177056024,0.58272457,BTL,BTL,BTL,BTL,0.306858399,BTL,BTL
station1_2019-08-05,0.056153519,0.398596246,BTL,BTL,BTL,BTL,0.245295457,BTL,BTL
station1_2019-08-08,0.0818129,0.716304862,BTL,BTL,BTL,1.334957079,0.230644603,BTL,BTL
station1_2019-08-14,0.019384385,0.26281235,BTL,BTL,BTL,BTL,0.233136755,BTL,BTL
groundwater_2019-07-11_1446,0.042013143,0.347260942,BTL,BTL,BTL,BTL,0.396143094,BTL,BTL
groundwater_2019-07-16_1551,0.018179261,0.13799172,BTL,BTL,BTL,BTL,0.358897991,BTL,BTL
groundwater_2019-07-19,0.03296534,0.237223602,BTL,BTL,BTL,BTL,0.364266569,BTL,BTL
groundwater_2019-07-22,0.030942001,0.443247151,BTL,BTL,0.041242837,BTL,0.326483122,BTL,BTL
groundwater_2019-07-26,0.019224173,0.140514842,BTL,BTL,BTL,BTL,0.327096828,BTL,BTL
groundwater_2019-07-31,0.072553483,0.879523669,BTL,BTL,BTL,BTL,0.30118948,BTL,BTL
groundwater_2019-08-02or12,0.040632653,0.287220679,BTL,BTL,0.056501116,BTL,0.374446136,BTL,BTL
groundwater_2019-08-05,0.018227744,0.134797243,BTL,BTL,BTL,BTL,0.351543949,BTL,BTL
groundwater_2019-08-08,0.019661646,0.166414712,BTL,BTL,BTL,BTL,0.34582119,BTL,BTL
groundwater_2019-08-14,0.036116182,0.1916467,BTL,BTL,BTL,1.487813958,0.333876914,BTL,BTL
ssoutlet_2019-07-11_1500,0.071881181,0.65600886,BTL,BTL,BTL,BTL,0.315976973,BTL,BTL
ssoutlet_2019-07-16_1800,0.076521157,0.767975693,BTL,BTL,0.041175128,BTL,0.392048808,BTL,BTL
ssoutlet_2019-07-19,0.082513961,0.88648654,BTL,BTL,0.040308311,BTL,0.307629226,BTL,BTL
ssoutlet_2019-07-22,0.035363777,0.482278446,BTL,BTL,0.066392671,BTL,0.245773872,BTL,BTL
ssoutlet_2019-07-26,0.023938301,0.26309818,BTL,BTL,BTL,BTL,0.431587529,BTL,BTL
ssoutlet_2019-07-31,0.036133255,0.338388267,BTL,BTL,BTL,BTL,0.250560094,BTL,BTL
ssoutlet_2019-08-02or12,0.026325204,0.160534328,BTL,BTL,0.040550747,BTL,0.285240636,BTL,BTL
ssoutlet_2019-08-05,0.026758693,0.187054753,BTL,BTL,BTL,BTL,0.2652393,BTL,BTL
ssoutlet_2019-08-08,0.022558331,0.168210498,BTL,BTL,BTL,BTL,0.238191663,BTL,BTL
ssoutlet_2019-08-14,0.064073545,1.441230392,BTL,BTL,0.101473783,BTL,0.488007865,BTL,BTL
ssoutlet_2019-08-14-REP,BTL,BTL,BTL,BTL,BTL,BTL,BTL,BTL,BTL
groundwater_2019-07-19-REP,0.030495655,0.230814622,BTL,BTL,0.042207615,BTL,0.362418179,BTL,BTL
