Date Time,Temp,SpCond,,,,,,,,,R int-
M/D/Y HH:MM:SS,C,uS,Time,Wdt Trap,Hgt Trap,Int,Sum,,,,111453.5
7/19/2019 15:23,8.71,299,0,1,250.5,250.5,111625.5,,,,Disch- .00819
7/19/2019 15:23,7.38,202,1,1,200.5,200.5,Disch.- .00818,,,,
7/19/2019 15:23,7.66,199,2,1,198,198,,,,,
7/19/2019 15:23,7.91,197,3,1,196,196,,,,,
7/19/2019 15:23,8.13,195,4,1,194,194,,,,,
7/19/2019 15:23,8.33,193,5,1,192.5,192.5,,,,,
7/19/2019 15:23,8.5,192,6,1,191,191,,,,,
7/19/2019 15:23,8.65,190,7,1,189.5,189.5,,,,,
7/19/2019 15:23,8.79,189,8,1,188,188,,,,,
7/19/2019 15:23,8.91,187,9,1,186.5,186.5,,,,,
7/19/2019 15:23,9.01,186,10,1,185,185,,,,,
7/19/2019 15:23,9.1,184,11,1,183.5,183.5,,,,,
7/19/2019 15:23,9.18,183,12,1,182.5,182.5,,,,,
7/19/2019 15:23,9.25,182,13,1,181,181,,,,,
7/19/2019 15:23,9.32,180,14,1,179.5,179.5,,,,,
7/19/2019 15:23,9.37,179,15,1,178.5,178.5,,,,,
7/19/2019 15:23,9.42,178,16,1,177.5,177.5,,,,,
7/19/2019 15:23,9.46,177,17,1,176.5,176.5,,,,,
7/19/2019 15:23,9.5,176,18,1,175.5,175.5,,,,,
7/19/2019 15:23,9.53,175,19,1,174.5,174.5,,,,,
7/19/2019 15:23,9.56,174,20,1,173.5,173.5,,,,,
7/19/2019 15:23,9.59,173,21,1,172.5,172.5,,,,,
7/19/2019 15:23,9.61,172,22,1,171.5,171.5,,,,,
7/19/2019 15:23,9.63,171,23,1,170.5,170.5,,,,,
7/19/2019 15:23,9.65,170,24,1,170,170,,,,,
7/19/2019 15:23,9.67,170,25,1,169.5,169.5,,,,,
7/19/2019 15:23,9.68,169,26,1,168.5,168.5,,,,,
7/19/2019 15:24,9.69,168,27,1,167.5,167.5,,,,,
7/19/2019 15:24,9.7,167,28,1,166.5,166.5,,,,,
7/19/2019 15:24,9.71,166,29,1,166,166,,,,,
7/19/2019 15:24,9.72,166,30,1,165.5,165.5,,,,,
