Date Time,Temp,SpCond,Sal,DOsat,DO,pH,pH,Orp,Baro,Cond,,,,,
M/D/Y HH:MM:SS,C,uS,ppt,%,mg/L,,mV,mV,mmHg,mS,Time Lapse,Wdth Trap,Hgt Trap,Integrate,Total
7/12/2019 14:36,12.84,44,0.02,96.8,10.24,-45.32,110.8,83.1,466.4,0.034,0,1,38,38,172737
7/12/2019 14:39,12.43,32,0.01,97.2,10.37,-111.1,202.9,134.9,466.4,0.024,1,1,31.5,31.5,
7/12/2019 14:39,12.43,31,0.01,98.1,10.47,-123.52,220.3,148.5,466.4,0.024,2,1,31,31,
7/12/2019 14:39,12.43,31,0.01,98.2,10.48,-122.37,218.6,146.3,466.4,0.024,3,1,31,31,
7/12/2019 14:39,12.43,31,0.01,98.2,10.48,-122.92,219.4,145.9,466.4,0.024,4,1,31,31,
7/12/2019 14:39,12.43,31,0.01,98.3,10.49,-121.96,218.1,145.1,466.4,0.024,5,1,31,31,
7/12/2019 14:39,12.43,31,0.01,98.3,10.49,-121.33,217.2,143.8,466.4,0.024,6,1,31,31,
7/12/2019 14:39,12.43,31,0.01,98.4,10.5,-122.14,218.3,143.7,466.4,0.024,7,1,31,31,
7/12/2019 14:39,12.43,31,0.01,98.5,10.51,-123.17,219.8,148.5,466.4,0.023,8,1,31,31,
7/12/2019 14:39,12.43,31,0.01,98.6,10.52,-124.4,221.5,151.4,466.4,0.023,9,1,31,31,
7/12/2019 14:39,12.43,31,0.01,98.6,10.52,-130.06,229.4,155,466.4,0.023,10,1,31,31,
7/12/2019 14:39,12.43,31,0.01,98.6,10.53,-128.77,227.6,152.7,466.4,0.024,11,1,31,31,
7/12/2019 14:39,12.43,31,0.01,98.7,10.53,-129.72,228.9,151,466.4,0.024,12,1,31,31,
7/12/2019 14:39,12.43,31,0.01,98.7,10.54,-130.04,229.4,150.5,466.4,0.024,13,1,31,31,
7/12/2019 14:39,12.44,31,0.01,98.8,10.54,-127.97,226.5,148,466.4,0.024,14,1,31,31,
7/12/2019 14:39,12.44,31,0.01,98.8,10.54,-127.54,225.9,149,466.4,0.024,15,1,31,31,
7/12/2019 14:39,12.44,31,0.01,98.9,10.55,-132.16,232.4,153.6,466.5,0.024,16,1,31,31,
7/12/2019 14:39,12.44,31,0.01,98.9,10.56,-129.46,228.6,150,466.5,0.023,17,1,31,31,
7/12/2019 14:39,12.44,31,0.01,99,10.57,-128.46,227.2,149.5,466.5,0.023,18,1,31,31,
7/12/2019 14:39,12.44,31,0.01,99.1,10.58,-127.64,226,147.2,466.5,0.023,19,1,31,31,
7/12/2019 14:39,12.44,31,0.01,99.2,10.59,-127.19,225.4,145.6,466.5,0.023,20,1,31,31,
7/12/2019 14:39,12.44,31,0.01,99.2,10.59,-126.77,224.8,144.6,466.5,0.023,21,1,31,31,
7/12/2019 14:39,12.44,31,0.01,99.4,10.6,-129.66,228.9,148.6,466.5,0.023,22,1,31,31,
7/12/2019 14:39,12.44,31,0.01,99.4,10.6,-129.88,229.2,153.1,466.5,0.023,23,1,31,31,
7/12/2019 14:39,12.44,31,0.01,99.4,10.61,-128.16,226.8,150.3,466.5,0.023,24,1,31,31,
7/12/2019 14:39,12.44,31,0.01,99.4,10.6,-126.71,224.7,148.1,466.5,0.023,25,1,31,31,
7/12/2019 14:39,12.44,31,0.01,99.4,10.61,-127.7,226.1,150.9,466.5,0.023,26,1,31,31,
7/12/2019 14:39,12.44,31,0.01,99.5,10.62,-130.47,230,162.3,466.5,0.023,27,1,31,31,
7/12/2019 14:39,12.44,31,0.01,99.6,10.63,-137.64,240,169.2,466.5,0.023,28,1,31,31,
7/12/2019 14:39,12.44,31,0.01,99.7,10.64,-135.15,236.5,164.9,466.5,0.023,29,1,31,31,
7/12/2019 14:39,12.44,31,0.01,99.8,10.64,-135.34,236.8,165.1,466.5,0.023,30,1,31,31,
7/12/2019 14:39,12.44,31,0.01,99.9,10.65,-135.74,237.4,165.9,466.5,0.023,31,1,31,31,
7/12/2019 14:39,12.44,31,0.01,100,10.67,-136.24,238.1,166.3,466.5,0.023,32,1,31,31,
7/12/2019 14:39,12.44,31,0.01,100,10.67,-135.91,237.6,165.3,466.5,0.023,33,1,31,31,
7/12/2019 14:39,12.44,31,0.01,100.1,10.68,-135.25,236.7,164.2,466.5,0.023,34,1,31,31,
7/12/2019 14:39,12.44,31,0.01,100.2,10.69,-135.25,236.7,164.1,466.5,0.023,35,1,31,31,
7/12/2019 14:39,12.44,31,0.01,100.3,10.7,-135.2,236.6,164.2,466.5,0.023,36,1,31,31,
7/12/2019 14:39,12.44,31,0.01,100.3,10.71,-135.35,236.8,164.4,466.5,0.023,37,1,31,31,
7/12/2019 14:39,12.44,31,0.01,100.4,10.72,-136.02,237.8,165.2,466.5,0.023,38,1,30.5,30.5,
7/12/2019 14:39,12.44,30,0.01,100.5,10.73,-137.6,240,168,466.5,0.023,39,1,30,30,
7/12/2019 14:39,12.44,30,0.01,100.6,10.74,-138.49,241.2,170.3,466.5,0.023,40,1,30.5,30.5,
7/12/2019 14:39,12.44,31,0.01,100.6,10.74,-138.94,241.9,170.8,466.5,0.023,41,1,31,31,
7/12/2019 14:39,12.44,31,0.01,100.7,10.75,-140.57,244.1,172.8,466.5,0.023,42,1,31,31,
7/12/2019 14:39,12.44,31,0.01,100.8,10.75,-142.46,246.8,175.3,466.5,0.023,43,1,31,31,
7/12/2019 14:39,12.44,31,0.01,100.8,10.76,-143,247.5,176,466.5,0.023,44,1,31,31,
7/12/2019 14:39,12.44,31,0.01,100.9,10.77,-144.39,249.5,177.4,466.5,0.023,45,1,31,31,
7/12/2019 14:39,12.44,31,0.01,101,10.78,-145.58,251.2,179.9,466.5,0.023,46,1,30.5,30.5,
7/12/2019 14:39,12.44,30,0.01,101.1,10.79,-146.43,252.4,185.9,466.5,0.023,47,1,30,30,
7/12/2019 14:39,12.44,30,0.01,101.3,10.8,-147.25,253.5,186.6,466.5,0.023,48,1,30,30,
7/12/2019 14:39,12.44,30,0.01,101.4,10.82,-146.55,252.5,184.5,466.5,0.023,49,1,30,30,
7/12/2019 14:39,12.44,30,0.01,101.5,10.83,-146.78,252.8,184.8,466.5,0.023,50,1,30,30,
7/12/2019 14:39,12.44,30,0.01,101.6,10.84,-147.31,253.6,185.2,466.5,0.023,51,1,30.5,30.5,
7/12/2019 14:39,12.44,31,0.01,101.7,10.85,-146.69,252.7,183.9,466.5,0.023,52,1,30.5,30.5,
7/12/2019 14:39,12.44,30,0.01,101.8,10.86,-146.92,253,183.4,466.5,0.023,53,1,30.5,30.5,
7/12/2019 14:39,12.44,31,0.01,101.9,10.88,-147.59,254,183.6,466.5,0.023,54,1,31,31,
7/12/2019 14:40,12.44,31,0.01,102.1,10.89,-148.54,255.3,185,466.5,0.023,55,1,31,31,
7/12/2019 14:40,12.44,31,0.01,102.1,10.9,-147.92,254.4,184.1,466.5,0.023,56,1,30.5,30.5,
7/12/2019 14:40,12.44,30,0.01,102.2,10.9,-146.81,252.9,181.9,466.5,0.023,57,1,30,30,
7/12/2019 14:40,12.44,30,0.01,102.2,10.91,-145.35,250.8,181.9,466.5,0.023,58,1,30,30,
7/12/2019 14:40,12.44,30,0.01,102.3,10.91,-144.37,249.5,183.5,466.5,0.023,59,1,30,30,
7/12/2019 14:40,12.44,30,0.01,102.3,10.92,-143.87,248.8,181.3,466.5,0.023,60,1,30,30,
7/12/2019 14:40,12.44,30,0.01,102.4,10.92,-146.3,252.2,182.9,466.5,0.023,61,1,30,30,
7/12/2019 14:40,12.44,30,0.01,102.4,10.93,-147.64,254,185.1,466.5,0.023,62,1,30,30,
7/12/2019 14:40,12.44,30,0.01,102.5,10.94,-148.53,255.3,188.4,466.5,0.023,63,1,30,30,
7/12/2019 14:40,12.44,30,0.01,102.6,10.95,-150.15,257.6,189.4,466.5,0.023,64,1,30.5,30.5,
7/12/2019 14:40,12.44,31,0.01,102.7,10.95,-150.94,258.7,189.6,466.5,0.023,65,1,31,31,
7/12/2019 14:40,12.44,31,0.01,102.8,10.97,-153.89,262.8,192.6,466.5,0.023,66,1,30.5,30.5,
7/12/2019 14:40,12.44,30,0.01,102.9,10.98,-154.1,263.1,192.6,466.5,0.023,67,1,30,30,
7/12/2019 14:40,12.44,30,0.01,103,10.99,-154.75,264,191.8,466.5,0.023,68,1,30,30,
7/12/2019 14:40,12.44,30,0.01,103,10.99,-152.32,260.6,191.5,466.5,0.023,69,1,30,30,
7/12/2019 14:40,12.44,30,0.01,103.1,11,-160.82,272.5,201.5,466.5,0.023,70,1,30,30,
7/12/2019 14:40,12.44,30,0.01,103.2,11.01,-166.49,280.5,210.1,466.5,0.023,71,1,30,30,
7/12/2019 14:40,12.44,30,0.01,103.2,11.02,-172.97,289.5,217.3,466.5,0.023,72,1,30,30,
7/12/2019 14:40,12.44,30,0.01,103.4,11.03,-177.26,295.5,222.5,466.5,0.023,73,1,30,30,
7/12/2019 14:40,12.44,30,0.01,103.5,11.05,-182.81,303.3,233,466.5,0.023,74,1,30,30,
7/12/2019 14:40,12.44,30,0.01,103.6,11.06,-191.44,315.4,243.6,466.5,0.023,75,1,30,30,
7/12/2019 14:40,12.43,30,0.01,103.8,11.07,-201.1,328.9,256.4,466.5,0.023,76,1,30,30,
7/12/2019 14:40,12.43,30,0.01,103.9,11.09,-195.67,321.3,252.8,466.5,0.023,77,1,30,30,
7/12/2019 14:40,12.43,30,0.01,103.9,11.09,-184.76,306.1,236.7,466.5,0.023,78,1,30,30,
7/12/2019 14:40,12.43,30,0.01,104,11.09,-177.4,295.7,225.6,466.5,0.023,79,1,30,30,
7/12/2019 14:40,12.43,30,0.01,104,11.1,-174.05,291,216.7,466.5,0.023,80,1,30,30,
7/12/2019 14:40,12.43,30,0.01,104.1,11.11,-178.38,297.1,223.6,466.5,0.023,81,1,30,30,
7/12/2019 14:40,12.44,30,0.01,104.1,11.11,-170.04,285.4,211.5,466.4,0.023,82,1,30,30,
7/12/2019 14:40,12.44,30,0.01,104.2,11.12,-164,277,205.7,466.4,0.023,83,1,30,30,
7/12/2019 14:40,12.44,30,0.01,104.2,11.12,-160.66,272.3,206.3,466.4,0.023,84,1,30,30,
7/12/2019 14:40,12.44,30,0.01,104.3,11.13,-155.69,265.3,198.7,466.4,0.023,85,1,30,30,
7/12/2019 14:40,12.44,30,0.01,104.4,11.14,-152.88,261.4,194.7,466.4,0.023,86,1,30,30,
7/12/2019 14:40,12.44,30,0.01,104.4,11.14,-155.15,264.6,191.1,466.4,0.023,87,1,30,30,
7/12/2019 14:40,12.44,30,0.01,104.5,11.15,-149.74,257,183.1,466.4,0.023,88,1,30,30,
7/12/2019 14:40,12.44,30,0.01,104.4,11.15,-145.2,250.6,176.9,466.4,0.023,89,1,30,30,
7/12/2019 14:40,12.44,30,0.01,104.5,11.15,-141.63,245.6,171.8,466.4,0.023,90,1,30,30,
7/12/2019 14:40,12.44,30,0.01,104.5,11.15,-138.28,240.9,167.9,466.4,0.023,91,1,30,30,
7/12/2019 14:40,12.44,30,0.01,104.5,11.15,-136.81,238.9,163.9,466.4,0.023,92,1,30,30,
7/12/2019 14:40,12.44,30,0.01,104.6,11.16,-133.9,234.8,160.8,466.4,0.023,93,1,30,30,
7/12/2019 14:40,12.44,30,0.01,104.6,11.16,-132.04,232.2,159.1,466.4,0.023,94,1,30,30,
7/12/2019 14:40,12.44,30,0.01,104.6,11.16,-130.22,229.6,166.3,466.4,0.023,95,1,30,30,
7/12/2019 14:40,12.44,30,0.01,104.7,11.17,-129.04,228,162,466.4,0.023,96,1,30,30,
7/12/2019 14:40,12.44,30,0.01,104.7,11.17,-127.05,225.2,158.1,466.4,0.023,97,1,30,30,
7/12/2019 14:40,12.44,30,0.01,104.8,11.18,-125.17,222.6,155.3,466.4,0.023,98,1,30,30,
7/12/2019 14:40,12.44,30,0.01,104.8,11.18,-125.9,223.6,152.2,466.4,0.023,99,1,30,30,
7/12/2019 14:40,12.44,30,0.01,104.9,11.19,-125.81,223.5,150.8,466.4,0.023,100,1,30,30,
7/12/2019 14:40,12.44,30,0.01,104.9,11.2,-124.63,221.8,148.1,466.4,0.023,101,1,30,30,
7/12/2019 14:40,12.44,30,0.01,105,11.2,-123.35,220,146,466.4,0.023,102,1,30,30,
7/12/2019 14:40,12.44,30,0.01,105.1,11.21,-122.29,218.5,144.6,466.4,0.023,103,1,30,30,
7/12/2019 14:40,12.45,30,0.01,105.2,11.22,-122.68,219.1,143.9,466.4,0.023,104,1,30,30,
7/12/2019 14:40,12.45,30,0.01,105.2,11.23,-129.99,229.3,154.6,466.4,0.023,105,1,30,30,
7/12/2019 14:40,12.45,30,0.01,105.3,11.23,-137.36,239.7,164.3,466.4,0.023,106,1,30,30,
7/12/2019 14:40,12.45,30,0.01,105.4,11.24,-143.32,248,172.5,466.4,0.023,107,1,30,30,
7/12/2019 14:40,12.45,30,0.01,105.5,11.25,-148.58,255.4,179.8,466.4,0.023,108,1,30,30,
7/12/2019 14:40,12.45,30,0.01,105.6,11.26,-152.99,261.5,185.6,466.4,0.023,109,1,30,30,
7/12/2019 14:40,12.45,30,0.01,105.6,11.27,-156.33,266.2,190.5,466.4,0.023,110,1,30,30,
7/12/2019 14:40,12.45,30,0.01,105.7,11.28,-153.67,262.5,188.3,466.4,0.023,111,1,30,30,
