point,Dist. (m),jul18V,jul25V,jul31V,aug6V,aug12V,Distance
34 to 35,4.002,5.1,2.3,7.1,1.9,3.7,4.002
33 to 34,8.335,4.2,2.6,2.1,0,1.3,12.337
32 to 33,4.62,1.8,3.9,1.3,1.6,1.7,16.957
31 to 32,8.538,0,5.2,1.7,1,1.1,25.495
30 to 31,8.761,0.9,8.4,1.8,0.8,2.5,34.256
29 to 30,3.186,1.4,4,3.6,2.9,5.5,37.442
28 to 29,10.151,0,2.1,0.8,0.7,3.5,47.593
27 to 28,3.884,5.9,9.6,9.8,6.6,7.3,51.477
26 to 27,4.766,1.9,8.1,3.4,2.9,7.8,56.243
25 to 26,7.416,8,10.5,10.8,8.9,13.1,63.659
24 to 25,3.364,11.1,15,8.5,2.3,9.6,67.023
23 to 24,8.902,7.6,9.5,1,2.1,11.1,75.925
22 to 23,5.946,7,19.7,12.7,6.5,8.2,81.871
21 to 22,5.793,10.2,18.3,16.2,12,16.5,87.664
20 to 21,6.476,13.5,23.8,12.4,13.8,14.1,94.14
19 to 20,8.613,9.7,20.8,10.9,9.5,12.7,102.753
18 to 19,21.476,5.1,17.3,6.8,11.4,11.4,124.229
17 to 18,4.731,1.6,7.5,4.4,21.2,13.2,128.96
16 to 17,2.889,0.7,1.8,19,1.1,2.3,131.849
15 to 16,8.789,1.4,2,8.5,0.8,4.7,140.638
14 to 15,3.042,1.5,4.8,1.4,1.8,0.9,143.68
13 to 14,11.114,7.5,14.3,35.5,2.8,2,154.794
12 to 13,7.156,2.2,17.3,12.9,9.3,9.7,161.95
11 to 12,7.996,5.8,7.8,10,5.3,7.2,169.946
10 to 11,8.787,15.7,24,13.8,17.2,10.9,178.733
9 to 10,5.348,13.3,15.8,16.1,11.8,12,184.081
8 to 9,10.83,4,11.4,29.7,26.3,26.7,194.911
7 to 8,9.185,9.7,26,22.6,16,19.3,204.096
6 to 7,4.094,19,24.6,21.1,16.7,12.7,208.19
5 to 6,9.42,8.3,22.8,9,15.3,10.6,217.61
4 to 5,7.93,7.2,13.8,14.2,7.6,3.3,225.54
3 to 4,2.654,19,23.3,22.3,15.5,20.5,228.194
2 to 3,11.911,13,26.7,17.7,20.1,21,240.105
1 to 2,5.10045,16.5,22.7,19.2,15.2,17.1,245.20545
