Serial_number:,,,,
2020425,,,,
Project ID:,,,,
,,,,
Location:,,,,
,,,,
LEVEL,,,,
UNIT: m,,,,
Offset: 0.000000 m,,,,
TEMPERATURE,,,,
UNIT: °C,,,,
Date,Time,ms,LEVEL,TEMPERATURE
7/10/2019,2:16:09 PM,0,6.2596,13.913
7/10/2019,2:31:09 PM,0,6.2628,7.755
7/10/2019,2:46:09 PM,0,7.0036,4.767
7/10/2019,3:01:09 PM,0,7.0005,4.765
7/10/2019,3:16:09 PM,0,6.9978,4.759
7/10/2019,3:31:09 PM,0,6.9945,4.682
7/10/2019,3:46:09 PM,0,6.9916,4.669
7/10/2019,4:01:09 PM,0,6.9904,4.682
7/10/2019,4:16:09 PM,0,6.9885,4.656
7/10/2019,4:31:09 PM,0,6.987,4.66
7/10/2019,4:46:09 PM,0,6.9869,4.667
7/10/2019,5:01:09 PM,0,6.9864,4.675
7/10/2019,5:16:09 PM,0,6.9855,4.678
7/10/2019,5:31:09 PM,0,6.9846,4.677
7/10/2019,5:46:09 PM,0,6.9845,4.675
7/10/2019,6:01:09 PM,0,6.9844,4.677
7/10/2019,6:16:09 PM,0,6.9839,4.679
7/10/2019,6:31:09 PM,0,6.9835,4.68
7/10/2019,6:46:09 PM,0,6.983,4.682
7/10/2019,7:01:09 PM,0,6.9833,4.682
7/10/2019,7:16:09 PM,0,6.9831,4.683
7/10/2019,7:31:09 PM,0,6.9844,4.683
7/10/2019,7:46:09 PM,0,6.9831,4.686
7/10/2019,8:01:09 PM,0,6.9828,4.687
7/10/2019,8:16:09 PM,0,6.9825,4.688
7/10/2019,8:31:09 PM,0,6.9825,4.689
7/10/2019,8:46:09 PM,0,6.9823,4.689
7/10/2019,9:01:09 PM,0,6.9818,4.689
7/10/2019,9:16:09 PM,0,6.9818,4.69
7/10/2019,9:31:09 PM,0,6.9817,4.691
7/10/2019,9:46:09 PM,0,6.9816,4.69
7/10/2019,10:01:09 PM,0,6.9813,4.689
7/10/2019,10:16:09 PM,0,6.9806,4.689
7/10/2019,10:31:09 PM,0,6.9798,4.69
7/10/2019,10:46:09 PM,0,6.9793,4.69
7/10/2019,11:01:09 PM,0,6.9792,4.691
7/10/2019,11:16:09 PM,0,6.9785,4.69
7/10/2019,11:31:09 PM,0,6.979,4.69
7/10/2019,11:46:09 PM,0,6.9782,4.691
7/11/2019,12:01:09 AM,0,6.9768,4.691
7/11/2019,12:16:09 AM,0,6.9764,4.691
7/11/2019,12:31:09 AM,0,6.9752,4.692
7/11/2019,12:46:09 AM,0,6.9751,4.691
7/11/2019,1:01:09 AM,0,6.9742,4.691
7/11/2019,1:16:09 AM,0,6.9732,4.69
7/11/2019,1:31:09 AM,0,6.972,4.692
7/11/2019,1:46:09 AM,0,6.9711,4.693
7/11/2019,2:01:09 AM,0,6.9698,4.693
7/11/2019,2:16:09 AM,0,6.9684,4.694
7/11/2019,2:31:09 AM,0,6.967,4.694
7/11/2019,2:46:09 AM,0,6.9673,4.695
7/11/2019,3:01:09 AM,0,6.9666,4.696
7/11/2019,3:16:09 AM,0,6.9655,4.696
7/11/2019,3:31:09 AM,0,6.9645,4.697
7/11/2019,3:46:09 AM,0,6.9644,4.697
7/11/2019,4:01:09 AM,0,6.9641,4.697
7/11/2019,4:16:09 AM,0,6.964,4.696
7/11/2019,4:31:09 AM,0,6.964,4.697
7/11/2019,4:46:09 AM,0,6.9633,4.697
7/11/2019,5:01:09 AM,0,6.9634,4.698
7/11/2019,5:16:09 AM,0,6.9637,4.697
7/11/2019,5:31:09 AM,0,6.9628,4.698
7/11/2019,5:46:09 AM,0,6.9628,4.699
7/11/2019,6:01:09 AM,0,6.9632,4.699
7/11/2019,6:16:09 AM,0,6.9625,4.699
7/11/2019,6:31:09 AM,0,6.962,4.699
7/11/2019,6:46:09 AM,0,6.962,4.7
7/11/2019,7:01:09 AM,0,6.9628,4.7
7/11/2019,7:16:09 AM,0,6.9633,4.7
7/11/2019,7:31:09 AM,0,6.9635,4.7
7/11/2019,7:46:09 AM,0,6.9638,4.702
7/11/2019,8:01:09 AM,0,6.9636,4.701
7/11/2019,8:16:09 AM,0,6.9638,4.701
7/11/2019,8:31:09 AM,0,6.9645,4.703
7/11/2019,8:46:09 AM,0,6.964,4.706
7/11/2019,9:01:09 AM,0,6.9633,4.706
7/11/2019,9:16:09 AM,0,6.9638,4.708
7/11/2019,9:31:09 AM,0,6.9639,4.71
7/11/2019,9:46:09 AM,0,6.9643,4.712
7/11/2019,10:01:09 AM,0,6.9636,4.714
7/11/2019,10:16:09 AM,0,6.9625,4.715
7/11/2019,10:31:09 AM,0,6.9621,4.716
7/11/2019,10:46:09 AM,0,6.9607,4.717
7/11/2019,11:01:09 AM,0,6.9597,4.718
7/11/2019,11:16:09 AM,0,6.9591,4.72
7/11/2019,11:31:09 AM,0,6.9583,4.723
7/11/2019,11:46:09 AM,0,6.9579,4.724
7/11/2019,12:01:09 PM,0,6.9558,4.726
7/11/2019,12:16:09 PM,0,6.9542,4.727
7/11/2019,12:31:09 PM,0,6.9532,4.727
7/11/2019,12:46:09 PM,0,6.9524,4.729
7/11/2019,1:01:09 PM,0,6.9511,4.731
7/11/2019,1:16:09 PM,0,6.9479,4.732
7/11/2019,1:31:09 PM,0,6.9449,4.733
7/11/2019,1:46:09 PM,0,6.9435,4.734
7/11/2019,2:01:09 PM,0,6.9421,4.735
7/11/2019,2:16:09 PM,0,6.9399,4.737
7/11/2019,2:31:09 PM,0,6.9383,4.736
7/11/2019,2:46:09 PM,0,6.9361,4.736
7/11/2019,3:01:09 PM,0,6.9342,4.737
7/11/2019,3:16:09 PM,0,6.9323,4.737
7/11/2019,3:31:09 PM,0,6.9311,4.737
7/11/2019,3:46:09 PM,0,6.9296,4.737
7/11/2019,4:01:09 PM,0,6.9279,4.737
7/11/2019,4:16:09 PM,0,6.926,4.738
7/11/2019,4:31:09 PM,0,6.925,4.737
7/11/2019,4:46:09 PM,0,6.9234,4.738
7/11/2019,5:01:09 PM,0,6.9232,4.739
