Serial_number:,,,,
2107266,,,,
Project ID:,,,,
,,,,
Location:,,,,
,,,,
LEVEL,,,,
UNIT: kPa,,,,
TEMPERATURE,,,,
UNIT: °C,,,,
Date,Time,ms,LEVEL,TEMPERATURE
7/9/2019,3:00:23 PM,0,62.5181,7.013
7/9/2019,3:15:23 PM,0,62.462,6.563
7/9/2019,3:30:23 PM,0,62.4689,6.259
7/9/2019,3:45:23 PM,0,62.4711,6.157
7/9/2019,4:00:23 PM,0,62.4696,6.107
7/9/2019,4:15:23 PM,0,62.4786,6.057
7/9/2019,4:30:23 PM,0,62.4812,6.023
7/9/2019,4:45:23 PM,0,62.4773,5.97
7/9/2019,5:00:23 PM,0,62.4703,5.958
7/9/2019,5:15:23 PM,0,62.4767,5.963
7/9/2019,5:30:23 PM,0,62.4855,5.955
7/9/2019,5:45:23 PM,0,62.4864,5.936
7/9/2019,6:00:23 PM,0,62.4931,5.912
7/9/2019,6:15:23 PM,0,62.4991,5.889
7/9/2019,6:30:23 PM,0,62.4894,5.868
7/9/2019,6:45:23 PM,0,62.4915,5.849
7/9/2019,7:00:23 PM,0,62.4975,5.842
7/9/2019,7:15:23 PM,0,62.5014,5.829
7/9/2019,7:30:23 PM,0,62.5,5.819
7/9/2019,7:45:23 PM,0,62.5127,5.811
7/9/2019,8:00:23 PM,0,62.5084,5.805
7/9/2019,8:15:23 PM,0,62.5216,5.801
7/9/2019,8:30:23 PM,0,62.5391,5.795
7/9/2019,8:45:23 PM,0,62.5417,5.785
7/9/2019,9:00:23 PM,0,62.5572,5.776
7/9/2019,9:15:23 PM,0,62.5537,5.768
7/9/2019,9:30:23 PM,0,62.5642,5.766
7/9/2019,9:45:23 PM,0,62.5804,5.76
7/9/2019,10:00:23 PM,0,62.5734,5.759
7/9/2019,10:15:23 PM,0,62.5785,5.756
7/9/2019,10:30:23 PM,0,62.56,5.746
7/9/2019,10:45:23 PM,0,62.5617,5.739
7/9/2019,11:00:23 PM,0,62.5689,5.73
7/9/2019,11:15:23 PM,0,62.5535,5.727
7/9/2019,11:30:23 PM,0,62.5466,5.724
7/9/2019,11:45:23 PM,0,62.5396,5.722
7/10/2019,12:00:23 AM,0,62.5278,5.721
7/10/2019,12:15:23 AM,0,62.5108,5.724
7/10/2019,12:30:23 AM,0,62.5014,5.724
7/10/2019,12:45:23 AM,0,62.4964,5.716
7/10/2019,1:00:23 AM,0,62.4938,5.71
7/10/2019,1:15:23 AM,0,62.4934,5.72
7/10/2019,1:30:23 AM,0,62.4763,5.72
7/10/2019,1:45:23 AM,0,62.4831,5.721
7/10/2019,2:00:23 AM,0,62.4716,5.725
7/10/2019,2:15:23 AM,0,62.4543,5.729
7/10/2019,2:30:23 AM,0,62.4567,5.728
7/10/2019,2:45:23 AM,0,62.4473,5.728
7/10/2019,3:00:23 AM,0,62.4548,5.724
7/10/2019,3:15:23 AM,0,62.4567,5.722
7/10/2019,3:30:23 AM,0,62.4428,5.718
7/10/2019,3:45:23 AM,0,62.4173,5.715
7/10/2019,4:00:23 AM,0,62.3979,5.701
7/10/2019,4:15:23 AM,0,62.3861,5.698
7/10/2019,4:30:23 AM,0,62.3726,5.694
7/10/2019,4:45:23 AM,0,62.3691,5.688
7/10/2019,5:00:23 AM,0,62.3713,5.673
7/10/2019,5:15:23 AM,0,62.3799,5.644
7/10/2019,5:30:23 AM,0,62.3955,5.633
7/10/2019,5:45:23 AM,0,62.4071,5.61
7/10/2019,6:00:23 AM,0,62.4408,5.58
7/10/2019,6:15:23 AM,0,62.4575,5.563
7/10/2019,6:30:23 AM,0,62.4355,5.543
7/10/2019,6:45:23 AM,0,62.4599,5.53
7/10/2019,7:00:23 AM,0,62.4562,5.529
7/10/2019,7:15:23 AM,0,62.4426,5.513
7/10/2019,7:30:23 AM,0,62.4729,5.517
7/10/2019,7:45:23 AM,0,62.4657,5.557
7/10/2019,8:00:23 AM,0,62.4877,5.625
7/10/2019,8:15:23 AM,0,62.5023,5.693
7/10/2019,8:30:23 AM,0,62.532,5.742
7/10/2019,8:45:23 AM,0,62.5202,5.781
7/10/2019,9:00:23 AM,0,62.5252,5.82
7/10/2019,9:15:23 AM,0,62.5473,5.833
7/10/2019,9:30:23 AM,0,62.5385,5.844
7/10/2019,9:45:23 AM,0,62.5386,5.853
7/10/2019,10:00:23 AM,0,62.5431,5.851
7/10/2019,10:15:23 AM,0,62.5602,5.857
7/10/2019,10:30:23 AM,0,62.5442,5.865
7/10/2019,10:45:23 AM,0,62.5487,5.865
7/10/2019,11:00:23 AM,0,62.5528,5.877
7/10/2019,11:15:23 AM,0,62.5378,5.906
