Serial_number:
2020436
Project ID:

Location:

LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
7/10/2019,11:59:31 am,0,6.3683,6.974
7/10/2019,12:14:31 pm,0,6.3740,7.866
7/10/2019,12:29:31 pm,0,6.3658,6.894
7/10/2019,12:44:31 pm,0,6.3668,7.404
7/10/2019,12:59:31 pm,0,6.3670,7.681
7/10/2019,01:14:31 pm,0,6.3644,7.531
7/10/2019,01:29:31 pm,0,6.3629,6.761
7/10/2019,01:44:31 pm,0,6.3693,9.565
7/10/2019,01:59:31 pm,0,6.3687,9.623
7/10/2019,02:14:31 pm,0,6.3646,9.909
7/10/2019,02:29:31 pm,0,6.3639,9.852
7/10/2019,02:44:31 pm,0,6.3635,9.842
7/10/2019,02:59:31 pm,0,6.3647,9.707
7/10/2019,03:14:31 pm,0,6.3635,9.248
7/10/2019,03:29:31 pm,0,6.3640,8.957
7/10/2019,03:44:31 pm,0,6.3620,8.804
7/10/2019,03:59:31 pm,0,6.3602,8.871
7/10/2019,04:14:31 pm,0,6.3587,8.724
7/10/2019,04:29:31 pm,0,6.3597,8.561
7/10/2019,04:44:31 pm,0,6.3600,8.043
7/10/2019,04:59:31 pm,0,6.3586,7.769
7/10/2019,05:14:31 pm,0,6.3585,7.544
7/10/2019,05:29:31 pm,0,6.3575,7.306
7/10/2019,05:44:31 pm,0,6.3584,6.915
7/10/2019,05:59:31 pm,0,6.3582,6.521
7/10/2019,06:14:31 pm,0,6.3576,6.179
7/10/2019,06:29:31 pm,0,6.3584,5.872
7/10/2019,06:44:31 pm,0,6.3591,5.633
7/10/2019,06:59:31 pm,0,6.3583,5.409
7/10/2019,07:14:31 pm,0,6.3601,5.162
7/10/2019,07:29:31 pm,0,6.3614,5.006
7/10/2019,07:44:31 pm,0,6.3604,4.795
7/10/2019,07:59:31 pm,0,6.3609,4.621
7/10/2019,08:14:31 pm,0,6.3614,4.376
7/10/2019,08:29:31 pm,0,6.3618,4.236
7/10/2019,08:44:31 pm,0,6.3623,4.086
7/10/2019,08:59:31 pm,0,6.3618,3.852
7/10/2019,09:14:31 pm,0,6.3615,3.642
7/10/2019,09:29:31 pm,0,6.3619,3.475
7/10/2019,09:44:31 pm,0,6.3625,3.347
7/10/2019,09:59:31 pm,0,6.3625,3.251
7/10/2019,10:14:31 pm,0,6.3609,3.108
7/10/2019,10:29:31 pm,0,6.3599,2.981
7/10/2019,10:44:31 pm,0,6.3593,2.870
7/10/2019,10:59:31 pm,0,6.3592,2.756
7/10/2019,11:14:31 pm,0,6.3585,2.739
7/10/2019,11:29:31 pm,0,6.3594,2.705
7/10/2019,11:44:31 pm,0,6.3579,2.635
7/10/2019,11:59:31 pm,0,6.3568,2.515
7/11/2019,12:14:31 am,0,6.3566,2.398
7/11/2019,12:29:31 am,0,6.3553,2.330
7/11/2019,12:44:31 am,0,6.3538,2.313
7/11/2019,12:59:31 am,0,6.3544,2.420
7/11/2019,01:14:31 am,0,6.3533,2.510
7/11/2019,01:29:31 am,0,6.3516,2.521
7/11/2019,01:44:31 am,0,6.3513,2.503
7/11/2019,01:59:31 am,0,6.3490,2.516
7/11/2019,02:14:31 am,0,6.3488,2.492
7/11/2019,02:29:31 am,0,6.3476,2.508
7/11/2019,02:44:31 am,0,6.3467,2.551
7/11/2019,02:59:31 am,0,6.3459,2.512
7/11/2019,03:14:31 am,0,6.3472,2.507
7/11/2019,03:29:31 am,0,6.3453,2.473
7/11/2019,03:44:31 am,0,6.3443,2.272
7/11/2019,03:59:31 am,0,6.3454,2.247
7/11/2019,04:14:31 am,0,6.3467,2.335
7/11/2019,04:29:31 am,0,6.3460,2.412
7/11/2019,04:44:31 am,0,6.3462,2.413
7/11/2019,04:59:31 am,0,6.3470,2.403
7/11/2019,05:14:31 am,0,6.3477,2.444
7/11/2019,05:29:31 am,0,6.3477,2.464
7/11/2019,05:44:31 am,0,6.3473,2.393
7/11/2019,05:59:31 am,0,6.3482,2.391
7/11/2019,06:14:31 am,0,6.3486,2.403
7/11/2019,06:29:31 am,0,6.3496,2.364
7/11/2019,06:44:31 am,0,6.3499,2.288
7/11/2019,06:59:31 am,0,6.3513,2.270
7/11/2019,07:14:31 am,0,6.3539,2.365
7/11/2019,07:29:31 am,0,6.3552,2.205
7/11/2019,07:44:31 am,0,6.3598,5.771
7/11/2019,07:59:31 am,0,6.3637,7.303
