Serial_number:
2020421
Project ID:

Location:

LEVEL
UNIT: kPa
Offset: 0.000000 kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
7/10/2019,11:57:00 am,0,0.0080,10.132
7/10/2019,12:12:00 pm,0,0.0060,8.100
7/10/2019,12:27:00 pm,0,0.0057,8.231
7/10/2019,12:42:00 pm,0,0.0046,9.050
7/10/2019,12:57:00 pm,0,0.0056,9.743
7/10/2019,01:12:00 pm,0,0.0039,9.046
7/10/2019,01:27:00 pm,0,0.0020,9.308
7/10/2019,01:42:00 pm,0,0.0011,10.837
7/10/2019,01:57:00 pm,0,0.0222,11.693
7/10/2019,02:12:00 pm,0,0.0238,11.930
7/10/2019,02:27:00 pm,0,0.0224,12.111
7/10/2019,02:42:00 pm,0,0.0210,12.238
7/10/2019,02:57:00 pm,0,0.0208,12.040
7/10/2019,03:12:00 pm,0,0.0238,11.804
7/10/2019,03:27:00 pm,0,0.0206,11.583
7/10/2019,03:42:00 pm,0,0.0187,11.368
7/10/2019,03:57:00 pm,0,0.0210,11.249
7/10/2019,04:12:00 pm,0,0.0210,11.215
7/10/2019,04:27:00 pm,0,0.0170,11.054
7/10/2019,04:42:00 pm,0,0.0189,10.843
7/10/2019,04:57:00 pm,0,0.0172,10.571
7/10/2019,05:12:00 pm,0,0.0167,10.375
7/10/2019,05:27:00 pm,0,0.0151,10.129
7/10/2019,05:42:00 pm,0,0.0188,9.861
7/10/2019,05:57:00 pm,0,0.0171,9.554
7/10/2019,06:12:00 pm,0,0.0158,9.280
7/10/2019,06:27:00 pm,0,0.0165,9.020
7/10/2019,06:42:00 pm,0,0.0167,8.777
7/10/2019,06:57:00 pm,0,0.0144,8.536
7/10/2019,07:12:00 pm,0,0.0164,8.305
7/10/2019,07:27:00 pm,0,0.0172,8.092
7/10/2019,07:42:00 pm,0,0.0118,7.897
7/10/2019,07:57:00 pm,0,0.0116,7.701
7/10/2019,08:12:00 pm,0,0.0093,7.491
7/10/2019,08:27:00 pm,0,0.0147,7.272
7/10/2019,08:42:00 pm,0,0.0137,7.120
7/10/2019,08:57:00 pm,0,0.0107,6.914
7/10/2019,09:12:00 pm,0,0.0096,6.699
7/10/2019,09:27:00 pm,0,0.0102,6.526
7/10/2019,09:42:00 pm,0,0.0090,6.346
7/10/2019,09:57:00 pm,0,0.0067,6.169
7/10/2019,10:12:00 pm,0,0.0062,6.001
7/10/2019,10:27:00 pm,0,0.0082,5.882
7/10/2019,10:42:00 pm,0,0.0060,5.754
7/10/2019,10:57:00 pm,0,0.0061,5.607
7/10/2019,11:12:00 pm,0,0.0063,5.493
7/10/2019,11:27:00 pm,0,0.0081,5.386
7/10/2019,11:42:00 pm,0,0.0062,5.294
7/10/2019,11:57:00 pm,0,0.0029,5.195
7/11/2019,12:12:00 am,0,0.0050,5.059
7/11/2019,12:27:00 am,0,0.0036,4.957
7/11/2019,12:42:00 am,0,0.0056,4.864
7/11/2019,12:57:00 am,0,0.0059,4.814
7/11/2019,01:12:00 am,0,0.0020,4.763
7/11/2019,01:27:00 am,0,0.0033,4.716
7/11/2019,01:42:00 am,0,0.0020,4.655
7/11/2019,01:57:00 am,0,0.0029,4.598
7/11/2019,02:12:00 am,0,0.0015,4.496
7/11/2019,02:27:00 am,0,0.0028,4.401
7/11/2019,02:42:00 am,0,0.0039,4.374
7/11/2019,02:57:00 am,0,0.0041,4.291
7/11/2019,03:12:00 am,0,0.0028,4.215
7/11/2019,03:27:00 am,0,0.0023,4.147
7/11/2019,03:42:00 am,0,0.0025,4.025
7/11/2019,03:57:00 am,0,0.0021,3.947
7/11/2019,04:12:00 am,0,0.0043,3.925
7/11/2019,04:27:00 am,0,0.0026,3.885
7/11/2019,04:42:00 am,0,0.0015,3.862
7/11/2019,04:57:00 am,0,0.0037,3.837
7/11/2019,05:12:00 am,0,0.0051,3.810
7/11/2019,05:27:00 am,0,0.0034,3.802
7/11/2019,05:42:00 am,0,0.0042,3.749
7/11/2019,05:57:00 am,0,0.0055,3.665
7/11/2019,06:12:00 am,0,0.0007,3.624
7/11/2019,06:27:00 am,0,0.0038,3.562
7/11/2019,06:42:00 am,0,0.0015,3.504
7/11/2019,06:57:00 am,0,0.0053,3.450
7/11/2019,07:12:00 am,0,0.0053,3.407
7/11/2019,07:27:00 am,0,0.0042,3.352
7/11/2019,07:42:00 am,0,0.0055,3.360
7/11/2019,07:57:00 am,0,0.0033,3.513
7/11/2019,08:12:00 am,0,0.0035,3.790
7/11/2019,08:27:00 am,0,0.0020,4.150
7/11/2019,08:42:00 am,0,0.0039,4.554
7/11/2019,08:57:00 am,0,0.0022,4.996
7/11/2019,09:12:00 am,0,0.0041,5.434
7/11/2019,09:27:00 am,0,0.0045,5.725
7/11/2019,09:42:00 am,0,0.0052,5.980
7/11/2019,09:57:00 am,0,0.0024,6.230
7/11/2019,10:12:00 am,0,0.0013,6.614
7/11/2019,10:27:00 am,0,0.0016,7.263
7/11/2019,10:42:00 am,0,0.0001,7.858
7/11/2019,10:57:00 am,0,0.0004,8.471
7/11/2019,11:12:00 am,0,0.0027,9.064
7/11/2019,11:27:00 am,0,-0.0000,9.673
7/11/2019,11:42:00 am,0,0.0009,10.075
7/11/2019,11:57:00 am,0,-0.0039,10.421
7/11/2019,12:12:00 pm,0,-0.0023,14.963
7/11/2019,12:27:00 pm,0,0.0118,12.326
7/11/2019,12:42:00 pm,0,0.0140,12.433
7/11/2019,12:57:00 pm,0,0.0108,12.781
7/11/2019,01:12:00 pm,0,0.0090,13.267
7/11/2019,01:27:00 pm,0,0.0138,13.822
7/11/2019,01:42:00 pm,0,0.1640,14.725
7/11/2019,01:57:00 pm,0,0.1706,14.963
7/11/2019,02:12:00 pm,0,0.1786,15.049
7/11/2019,02:27:00 pm,0,0.1724,15.000
7/11/2019,02:42:00 pm,0,0.1744,14.683
7/11/2019,02:57:00 pm,0,0.1749,14.356
7/11/2019,03:12:00 pm,0,0.1733,14.017
7/11/2019,03:27:00 pm,0,0.1741,13.623
7/11/2019,03:42:00 pm,0,0.1762,13.281
7/11/2019,03:57:00 pm,0,0.1769,13.011
7/11/2019,04:12:00 pm,0,0.1685,12.932
7/11/2019,04:27:00 pm,0,0.1776,12.646
7/11/2019,04:42:00 pm,0,0.1805,12.495
7/11/2019,04:57:00 pm,0,0.1799,12.396
7/11/2019,05:12:00 pm,0,0.1804,12.352
7/11/2019,05:27:00 pm,0,0.1784,12.204
7/11/2019,05:42:00 pm,0,0.1798,11.957
7/11/2019,05:57:00 pm,0,0.1764,11.684
7/11/2019,06:12:00 pm,0,0.1771,11.459
7/11/2019,06:27:00 pm,0,0.1824,11.217
7/11/2019,06:42:00 pm,0,0.1760,10.963
7/11/2019,06:57:00 pm,0,0.1799,10.761
7/11/2019,07:12:00 pm,0,0.1791,10.586
7/11/2019,07:27:00 pm,0,0.1742,10.436
7/11/2019,07:42:00 pm,0,0.1752,10.308
7/11/2019,07:57:00 pm,0,0.1727,10.190
7/11/2019,08:12:00 pm,0,0.1703,10.076
7/11/2019,08:27:00 pm,0,0.1736,9.966
7/11/2019,08:42:00 pm,0,0.1693,9.837
7/11/2019,08:57:00 pm,0,0.1752,9.720
7/11/2019,09:12:00 pm,0,0.1807,9.611
7/11/2019,09:27:00 pm,0,0.1789,9.505
7/11/2019,09:42:00 pm,0,0.1801,9.414
7/11/2019,09:57:00 pm,0,0.1802,9.319
7/11/2019,10:12:00 pm,0,0.1769,9.230
7/11/2019,10:27:00 pm,0,0.1823,9.140
7/11/2019,10:42:00 pm,0,0.1763,9.046
7/11/2019,10:57:00 pm,0,0.1778,8.972
7/11/2019,11:12:00 pm,0,0.1766,8.895
7/11/2019,11:27:00 pm,0,0.1797,8.843
7/11/2019,11:42:00 pm,0,0.1778,8.784
7/11/2019,11:57:00 pm,0,0.1778,8.716
7/12/2019,12:12:00 am,0,0.1792,8.632
7/12/2019,12:27:00 am,0,0.1765,8.571
7/12/2019,12:42:00 am,0,0.1802,8.508
7/12/2019,12:57:00 am,0,0.1774,8.453
7/12/2019,01:12:00 am,0,0.1770,8.403
7/12/2019,01:27:00 am,0,0.1804,8.331
7/12/2019,01:42:00 am,0,0.1781,8.273
7/12/2019,01:57:00 am,0,0.1764,8.224
7/12/2019,02:12:00 am,0,0.1767,8.168
7/12/2019,02:27:00 am,0,0.1804,8.110
7/12/2019,02:42:00 am,0,0.1816,8.054
7/12/2019,02:57:00 am,0,0.1792,8.004
7/12/2019,03:12:00 am,0,0.1795,7.966
7/12/2019,03:27:00 am,0,0.1739,7.928
7/12/2019,03:42:00 am,0,0.1778,7.888
7/12/2019,03:57:00 am,0,0.1777,7.848
7/12/2019,04:12:00 am,0,0.1767,7.798
7/12/2019,04:27:00 am,0,0.1780,7.741
7/12/2019,04:42:00 am,0,0.1746,7.683
7/12/2019,04:57:00 am,0,0.1756,7.626
7/12/2019,05:12:00 am,0,0.1782,7.556
7/12/2019,05:27:00 am,0,0.1794,7.486
7/12/2019,05:42:00 am,0,0.1782,7.423
7/12/2019,05:57:00 am,0,0.1810,7.370
7/12/2019,06:12:00 am,0,0.1784,7.315
7/12/2019,06:27:00 am,0,0.1809,7.265
7/12/2019,06:42:00 am,0,0.1819,7.218
7/12/2019,06:57:00 am,0,0.1819,7.188
7/12/2019,07:12:00 am,0,0.1833,7.183
7/12/2019,07:27:00 am,0,0.1842,7.173
7/12/2019,07:42:00 am,0,0.1853,7.195
7/12/2019,07:57:00 am,0,0.1817,7.220
7/12/2019,08:12:00 am,0,0.1853,7.308
7/12/2019,08:27:00 am,0,0.1814,7.425
7/12/2019,08:42:00 am,0,0.1820,7.526
7/12/2019,08:57:00 am,0,0.1823,7.626
7/12/2019,09:12:00 am,0,0.1845,7.750
7/12/2019,09:27:00 am,0,0.1802,7.835
7/12/2019,09:42:00 am,0,0.1840,7.990
7/12/2019,09:57:00 am,0,0.1856,8.134
7/12/2019,10:12:00 am,0,0.1836,8.350
7/12/2019,10:27:00 am,0,0.1827,8.605
7/12/2019,10:42:00 am,0,0.1856,8.937
7/12/2019,10:57:00 am,0,0.1846,9.373
7/12/2019,11:12:00 am,0,0.1837,9.697
7/12/2019,11:27:00 am,0,0.1873,9.941
7/12/2019,11:42:00 am,0,0.1837,10.415
7/12/2019,11:57:00 am,0,0.1923,10.448
7/12/2019,12:12:00 pm,0,0.1928,10.872
