Serial_number:
2020425
Project ID:

Location:

LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
8/2/2019,12:45:00 pm,0,0.5603,4.807
8/2/2019,01:00:00 pm,0,0.5602,4.670
8/2/2019,01:15:00 pm,0,0.5591,4.641
8/2/2019,01:30:00 pm,0,0.5591,4.627
8/2/2019,01:45:00 pm,0,0.5578,4.618
8/2/2019,02:00:00 pm,0,0.5567,4.615
8/2/2019,02:15:00 pm,0,0.5559,4.612
8/2/2019,02:30:00 pm,0,0.5531,4.610
8/2/2019,02:45:00 pm,0,0.5540,4.608
8/2/2019,03:00:00 pm,0,0.5542,4.607
8/2/2019,03:15:00 pm,0,0.5539,4.606
8/2/2019,03:30:00 pm,0,0.5534,4.606
8/2/2019,03:45:00 pm,0,0.5544,4.605
8/2/2019,04:00:00 pm,0,0.5522,4.604
8/2/2019,04:15:00 pm,0,0.5521,4.604
8/2/2019,04:30:00 pm,0,0.5510,4.603
8/2/2019,04:45:00 pm,0,0.5505,4.603
8/2/2019,05:00:00 pm,0,0.5500,4.603
8/2/2019,05:15:00 pm,0,0.5492,4.604
8/2/2019,05:30:00 pm,0,0.5484,4.603
8/2/2019,05:45:00 pm,0,0.5475,4.603
8/2/2019,06:00:00 pm,0,0.5469,4.604
8/2/2019,06:15:00 pm,0,0.5462,4.604
8/2/2019,06:30:00 pm,0,0.5456,4.605
8/2/2019,06:45:00 pm,0,0.5446,4.604
8/2/2019,07:00:00 pm,0,0.5436,4.604
8/2/2019,07:15:00 pm,0,0.5439,4.604
8/2/2019,07:30:00 pm,0,0.5439,4.604
8/2/2019,07:45:00 pm,0,0.5429,4.604
8/2/2019,08:00:00 pm,0,0.5424,4.604
8/2/2019,08:15:00 pm,0,0.5431,4.604
8/2/2019,08:30:00 pm,0,0.5444,4.603
8/2/2019,08:45:00 pm,0,0.5467,4.602
8/2/2019,09:00:00 pm,0,0.5516,4.602
8/2/2019,09:15:00 pm,0,0.5570,4.603
8/2/2019,09:30:00 pm,0,0.5621,4.601
8/2/2019,09:45:00 pm,0,0.5689,4.602
8/2/2019,10:00:00 pm,0,0.5803,4.603
8/2/2019,10:15:00 pm,0,0.5976,4.603
8/2/2019,10:30:00 pm,0,0.6211,4.602
8/2/2019,10:45:00 pm,0,0.6440,4.574
8/2/2019,11:00:00 pm,0,0.6641,4.547
8/2/2019,11:15:00 pm,0,0.6813,4.549
8/2/2019,11:30:00 pm,0,0.6901,4.551
8/2/2019,11:45:00 pm,0,0.6927,4.563
8/3/2019,12:00:00 am,0,0.6961,4.571
8/3/2019,12:15:00 am,0,0.6975,4.578
8/3/2019,12:30:00 am,0,0.6979,4.582
8/3/2019,12:45:00 am,0,0.6971,4.586
8/3/2019,01:00:00 am,0,0.6963,4.589
8/3/2019,01:15:00 am,0,0.6946,4.591
8/3/2019,01:30:00 am,0,0.6967,4.593
8/3/2019,01:45:00 am,0,0.7032,4.593
8/3/2019,02:00:00 am,0,0.7067,4.595
8/3/2019,02:15:00 am,0,0.7083,4.596
8/3/2019,02:30:00 am,0,0.7103,4.596
8/3/2019,02:45:00 am,0,0.7122,4.597
8/3/2019,03:00:00 am,0,0.7161,4.598
8/3/2019,03:15:00 am,0,0.7192,4.598
8/3/2019,03:30:00 am,0,0.7202,4.598
8/3/2019,03:45:00 am,0,0.7227,4.598
8/3/2019,04:00:00 am,0,0.7289,4.599
8/3/2019,04:15:00 am,0,0.7344,4.600
8/3/2019,04:30:00 am,0,0.7401,4.600
8/3/2019,04:45:00 am,0,0.7399,4.599
8/3/2019,05:00:00 am,0,0.7410,4.600
8/3/2019,05:15:00 am,0,0.7424,4.600
8/3/2019,05:30:00 am,0,0.7426,4.600
8/3/2019,05:45:00 am,0,0.7394,4.601
8/3/2019,06:00:00 am,0,0.7377,4.602
8/3/2019,06:15:00 am,0,0.7326,4.600
8/3/2019,06:30:00 am,0,0.7326,4.601
8/3/2019,06:45:00 am,0,0.7306,4.600
8/3/2019,07:00:00 am,0,0.7296,4.601
8/3/2019,07:15:00 am,0,0.7287,4.602
8/3/2019,07:30:00 am,0,0.7292,4.601
8/3/2019,07:45:00 am,0,0.7283,4.601
8/3/2019,08:00:00 am,0,0.7298,4.600
8/3/2019,08:15:00 am,0,0.7289,4.601
8/3/2019,08:30:00 am,0,0.7297,4.600
8/3/2019,08:45:00 am,0,0.7305,4.601
8/3/2019,09:00:00 am,0,0.7296,4.600
8/3/2019,09:15:00 am,0,0.7272,4.600
8/3/2019,09:30:00 am,0,0.7294,4.599
8/3/2019,09:45:00 am,0,0.7323,4.598
8/3/2019,10:00:00 am,0,0.7349,4.599
8/3/2019,10:15:00 am,0,0.7358,4.599
8/3/2019,10:30:00 am,0,0.7341,4.601
8/3/2019,10:45:00 am,0,0.7358,4.600
8/3/2019,11:00:00 am,0,0.7377,4.601
8/3/2019,11:15:00 am,0,0.7399,4.601
8/3/2019,11:30:00 am,0,0.7395,4.600
8/3/2019,11:45:00 am,0,0.7398,4.600
8/3/2019,12:00:00 pm,0,0.7351,4.600
8/3/2019,12:15:00 pm,0,0.7340,4.599
8/3/2019,12:30:00 pm,0,0.7304,4.597
8/3/2019,12:45:00 pm,0,0.7339,4.598
8/3/2019,01:00:00 pm,0,0.7339,4.596
8/3/2019,01:15:00 pm,0,0.7336,4.598
8/3/2019,01:30:00 pm,0,0.7312,4.598
8/3/2019,01:45:00 pm,0,0.7345,4.598
8/3/2019,02:00:00 pm,0,0.7323,4.598
8/3/2019,02:15:00 pm,0,0.7294,4.595
8/3/2019,02:30:00 pm,0,0.7291,4.595
8/3/2019,02:45:00 pm,0,0.7299,4.597
8/3/2019,03:00:00 pm,0,0.7275,4.597
8/3/2019,03:15:00 pm,0,0.7257,4.598
8/3/2019,03:30:00 pm,0,0.7218,4.598
8/3/2019,03:45:00 pm,0,0.7243,4.597
8/3/2019,04:00:00 pm,0,0.7235,4.597
8/3/2019,04:15:00 pm,0,0.7235,4.598
8/3/2019,04:30:00 pm,0,0.7200,4.597
8/3/2019,04:45:00 pm,0,0.7203,4.598
8/3/2019,05:00:00 pm,0,0.7186,4.597
8/3/2019,05:15:00 pm,0,0.7186,4.594
8/3/2019,05:30:00 pm,0,0.7174,4.596
8/3/2019,05:45:00 pm,0,0.7155,4.594
8/3/2019,06:00:00 pm,0,0.7147,4.593
8/3/2019,06:15:00 pm,0,0.7161,4.593
8/3/2019,06:30:00 pm,0,0.7150,4.593
8/3/2019,06:45:00 pm,0,0.7134,4.594
8/3/2019,07:00:00 pm,0,0.7128,4.593
8/3/2019,07:15:00 pm,0,0.7112,4.592
8/3/2019,07:30:00 pm,0,0.7116,4.592
8/3/2019,07:45:00 pm,0,0.7107,4.592
8/3/2019,08:00:00 pm,0,0.7111,4.593
8/3/2019,08:15:00 pm,0,0.7103,4.593
8/3/2019,08:30:00 pm,0,0.7070,4.593
8/3/2019,08:45:00 pm,0,0.7073,4.592
8/3/2019,09:00:00 pm,0,0.7066,4.592
8/3/2019,09:15:00 pm,0,0.7098,4.591
8/3/2019,09:30:00 pm,0,0.7065,4.589
8/3/2019,09:45:00 pm,0,0.7058,4.591
8/3/2019,10:00:00 pm,0,0.7054,4.591
8/3/2019,10:15:00 pm,0,0.7046,4.590
8/3/2019,10:30:00 pm,0,0.7087,4.591
8/3/2019,10:45:00 pm,0,0.7075,4.592
8/3/2019,11:00:00 pm,0,0.7059,4.591
8/3/2019,11:15:00 pm,0,0.7079,4.592
8/3/2019,11:30:00 pm,0,0.7064,4.590
8/3/2019,11:45:00 pm,0,0.7078,4.588
8/4/2019,12:00:00 am,0,0.7132,4.589
8/4/2019,12:15:00 am,0,0.7114,4.587
8/4/2019,12:30:00 am,0,0.7145,4.590
8/4/2019,12:45:00 am,0,0.7168,4.591
8/4/2019,01:00:00 am,0,0.7177,4.590
8/4/2019,01:15:00 am,0,0.7228,4.588
8/4/2019,01:30:00 am,0,0.7248,4.589
8/4/2019,01:45:00 am,0,0.7272,4.588
8/4/2019,02:00:00 am,0,0.7303,4.587
8/4/2019,02:15:00 am,0,0.7307,4.587
8/4/2019,02:30:00 am,0,0.7331,4.587
8/4/2019,02:45:00 am,0,0.7332,4.586
8/4/2019,03:00:00 am,0,0.7321,4.588
8/4/2019,03:15:00 am,0,0.7339,4.589
8/4/2019,03:30:00 am,0,0.7293,4.587
8/4/2019,03:45:00 am,0,0.7314,4.586
8/4/2019,04:00:00 am,0,0.7309,4.584
8/4/2019,04:15:00 am,0,0.7301,4.585
8/4/2019,04:30:00 am,0,0.7309,4.587
8/4/2019,04:45:00 am,0,0.7333,4.585
8/4/2019,05:00:00 am,0,0.7323,4.583
8/4/2019,05:15:00 am,0,0.7342,4.586
8/4/2019,05:30:00 am,0,0.7357,4.587
8/4/2019,05:45:00 am,0,0.7355,4.588
8/4/2019,06:00:00 am,0,0.7348,4.584
8/4/2019,06:15:00 am,0,0.7364,4.580
8/4/2019,06:30:00 am,0,0.7388,4.581
8/4/2019,06:45:00 am,0,0.7384,4.584
8/4/2019,07:00:00 am,0,0.7396,4.585
8/4/2019,07:15:00 am,0,0.7404,4.585
8/4/2019,07:30:00 am,0,0.7401,4.584
8/4/2019,07:45:00 am,0,0.7413,4.582
8/4/2019,08:00:00 am,0,0.7421,4.581
8/4/2019,08:15:00 am,0,0.7415,4.582
8/4/2019,08:30:00 am,0,0.7406,4.581
8/4/2019,08:45:00 am,0,0.7403,4.584
8/4/2019,09:00:00 am,0,0.7431,4.583
8/4/2019,09:15:00 am,0,0.7423,4.582
8/4/2019,09:30:00 am,0,0.7418,4.578
8/4/2019,09:45:00 am,0,0.7420,4.579
8/4/2019,10:00:00 am,0,0.7421,4.580
8/4/2019,10:15:00 am,0,0.7420,4.583
8/4/2019,10:30:00 am,0,0.7424,4.581
8/4/2019,10:45:00 am,0,0.7413,4.577
8/4/2019,11:00:00 am,0,0.7455,4.573
8/4/2019,11:15:00 am,0,0.7444,4.573
8/4/2019,11:30:00 am,0,0.7475,4.575
8/4/2019,11:45:00 am,0,0.7458,4.577
8/4/2019,12:00:00 pm,0,0.7430,4.577
8/4/2019,12:15:00 pm,0,0.7403,4.577
8/4/2019,12:30:00 pm,0,0.7401,4.577
8/4/2019,12:45:00 pm,0,0.7367,4.576
8/4/2019,01:00:00 pm,0,0.7373,4.571
8/4/2019,01:15:00 pm,0,0.7344,4.568
8/4/2019,01:30:00 pm,0,0.7343,4.571
8/4/2019,01:45:00 pm,0,0.7317,4.572
8/4/2019,02:00:00 pm,0,0.7305,4.571
8/4/2019,02:15:00 pm,0,0.7305,4.570
8/4/2019,02:30:00 pm,0,0.7306,4.571
8/4/2019,02:45:00 pm,0,0.7277,4.571
8/4/2019,03:00:00 pm,0,0.7267,4.570
8/4/2019,03:15:00 pm,0,0.7261,4.570
8/4/2019,03:30:00 pm,0,0.7260,4.566
8/4/2019,03:45:00 pm,0,0.7254,4.566
8/4/2019,04:00:00 pm,0,0.7248,4.563
8/4/2019,04:15:00 pm,0,0.7241,4.565
8/4/2019,04:30:00 pm,0,0.7225,4.565
8/4/2019,04:45:00 pm,0,0.7214,4.563
8/4/2019,05:00:00 pm,0,0.7210,4.567
8/4/2019,05:15:00 pm,0,0.7213,4.566
8/4/2019,05:30:00 pm,0,0.7195,4.563
8/4/2019,05:45:00 pm,0,0.7198,4.560
8/4/2019,06:00:00 pm,0,0.7190,4.560
8/4/2019,06:15:00 pm,0,0.7180,4.558
8/4/2019,06:30:00 pm,0,0.7168,4.559
8/4/2019,06:45:00 pm,0,0.7164,4.562
8/4/2019,07:00:00 pm,0,0.7147,4.563
8/4/2019,07:15:00 pm,0,0.7140,4.562
8/4/2019,07:30:00 pm,0,0.7140,4.565
8/4/2019,07:45:00 pm,0,0.7144,4.564
8/4/2019,08:00:00 pm,0,0.7122,4.563
8/4/2019,08:15:00 pm,0,0.7130,4.562
8/4/2019,08:30:00 pm,0,0.7102,4.558
8/4/2019,08:45:00 pm,0,0.7093,4.560
8/4/2019,09:00:00 pm,0,0.7099,4.562
8/4/2019,09:15:00 pm,0,0.7093,4.564
8/4/2019,09:30:00 pm,0,0.7074,4.558
8/4/2019,09:45:00 pm,0,0.7082,4.554
8/4/2019,10:00:00 pm,0,0.7090,4.549
8/4/2019,10:15:00 pm,0,0.7062,4.549
8/4/2019,10:30:00 pm,0,0.7066,4.553
8/4/2019,10:45:00 pm,0,0.7055,4.552
8/4/2019,11:00:00 pm,0,0.7074,4.553
8/4/2019,11:15:00 pm,0,0.7049,4.553
8/4/2019,11:30:00 pm,0,0.7046,4.554
8/4/2019,11:45:00 pm,0,0.7019,4.556
8/5/2019,12:00:00 am,0,0.7049,4.555
8/5/2019,12:15:00 am,0,0.7055,4.553
8/5/2019,12:30:00 am,0,0.7023,4.553
8/5/2019,12:45:00 am,0,0.7042,4.552
8/5/2019,01:00:00 am,0,0.7042,4.548
8/5/2019,01:15:00 am,0,0.7032,4.548
8/5/2019,01:30:00 am,0,0.7050,4.546
8/5/2019,01:45:00 am,0,0.7016,4.546
8/5/2019,02:00:00 am,0,0.7014,4.547
8/5/2019,02:15:00 am,0,0.7010,4.550
8/5/2019,02:30:00 am,0,0.7026,4.552
8/5/2019,02:45:00 am,0,0.7033,4.551
8/5/2019,03:00:00 am,0,0.7010,4.546
8/5/2019,03:15:00 am,0,0.7015,4.545
8/5/2019,03:30:00 am,0,0.7012,4.543
8/5/2019,03:45:00 am,0,0.6994,4.542
8/5/2019,04:00:00 am,0,0.7005,4.543
8/5/2019,04:15:00 am,0,0.6999,4.545
8/5/2019,04:30:00 am,0,0.7001,4.546
8/5/2019,04:45:00 am,0,0.6985,4.545
8/5/2019,05:00:00 am,0,0.6994,4.544
8/5/2019,05:15:00 am,0,0.6978,4.543
8/5/2019,05:30:00 am,0,0.6972,4.542
8/5/2019,05:45:00 am,0,0.6958,4.532
8/5/2019,06:00:00 am,0,0.6967,4.528
8/5/2019,06:15:00 am,0,0.6956,4.529
8/5/2019,06:30:00 am,0,0.6954,4.529
8/5/2019,06:45:00 am,0,0.6954,4.531
8/5/2019,07:00:00 am,0,0.6938,4.527
8/5/2019,07:15:00 am,0,0.6939,4.525
8/5/2019,07:30:00 am,0,0.6929,4.526
8/5/2019,07:45:00 am,0,0.6924,4.525
8/5/2019,08:00:00 am,0,0.6916,4.525
8/5/2019,08:15:00 am,0,0.6908,4.522
8/5/2019,08:30:00 am,0,0.6892,4.522
8/5/2019,08:45:00 am,0,0.6896,4.524
8/5/2019,09:00:00 am,0,0.6874,4.521
8/5/2019,09:15:00 am,0,0.6872,4.519
8/5/2019,09:30:00 am,0,0.6856,4.520
8/5/2019,09:45:00 am,0,0.6851,4.521
8/5/2019,10:00:00 am,0,0.6853,4.523
8/5/2019,10:15:00 am,0,0.6839,4.522
8/5/2019,10:30:00 am,0,0.6825,4.523
8/5/2019,10:45:00 am,0,0.6820,4.521
8/5/2019,11:00:00 am,0,0.6804,4.524
8/5/2019,11:15:00 am,0,0.6789,4.526
8/5/2019,11:30:00 am,0,0.6786,4.525
8/5/2019,11:45:00 am,0,0.6759,4.512
8/5/2019,12:00:00 pm,0,0.6761,4.515
8/5/2019,12:15:00 pm,0,0.6731,4.511
8/5/2019,12:30:00 pm,0,0.6714,4.501
8/5/2019,12:45:00 pm,0,0.6714,4.501
8/5/2019,01:00:00 pm,0,0.6698,4.504
8/5/2019,01:15:00 pm,0,0.6675,4.498
8/5/2019,01:30:00 pm,0,0.6672,4.496
8/5/2019,01:45:00 pm,0,0.6643,4.496
8/5/2019,02:00:00 pm,0,0.6626,4.495
8/5/2019,02:15:00 pm,0,0.6647,4.489
8/5/2019,02:30:00 pm,0,0.6593,4.487
8/5/2019,02:45:00 pm,0,0.6575,4.493
8/5/2019,03:00:00 pm,0,0.6563,4.496
8/5/2019,03:15:00 pm,0,0.6553,4.491
8/5/2019,03:30:00 pm,0,0.6528,4.495
8/5/2019,03:45:00 pm,0,0.6516,4.496
8/5/2019,04:00:00 pm,0,0.6502,4.496
8/5/2019,04:15:00 pm,0,0.6485,4.495
8/5/2019,04:30:00 pm,0,0.6465,4.496
8/5/2019,04:45:00 pm,0,0.6449,4.489
8/5/2019,05:00:00 pm,0,0.6433,4.495
8/5/2019,05:15:00 pm,0,0.6419,4.492
8/5/2019,05:30:00 pm,0,0.6398,4.494
8/5/2019,05:45:00 pm,0,0.6385,4.489
8/5/2019,06:00:00 pm,0,0.6380,4.493
8/5/2019,06:15:00 pm,0,0.6375,4.492
8/5/2019,06:30:00 pm,0,0.6361,4.493
8/5/2019,06:45:00 pm,0,0.6348,4.492
8/5/2019,07:00:00 pm,0,0.6345,4.492
8/5/2019,07:15:00 pm,0,0.6329,4.485
8/5/2019,07:30:00 pm,0,0.6322,4.478
8/5/2019,07:45:00 pm,0,0.6316,4.474
8/5/2019,08:00:00 pm,0,0.6300,4.482
8/5/2019,08:15:00 pm,0,0.6294,4.487
8/5/2019,08:30:00 pm,0,0.6289,4.488
8/5/2019,08:45:00 pm,0,0.6288,4.481
8/5/2019,09:00:00 pm,0,0.6269,4.477
8/5/2019,09:15:00 pm,0,0.6260,4.481
8/5/2019,09:30:00 pm,0,0.6255,4.487
8/5/2019,09:45:00 pm,0,0.6244,4.491
8/5/2019,10:00:00 pm,0,0.6242,4.488
8/5/2019,10:15:00 pm,0,0.6249,4.481
8/5/2019,10:30:00 pm,0,0.6233,4.481
8/5/2019,10:45:00 pm,0,0.6226,4.486
8/5/2019,11:00:00 pm,0,0.6216,4.480
8/5/2019,11:15:00 pm,0,0.6197,4.482
8/5/2019,11:30:00 pm,0,0.6204,4.484
8/5/2019,11:45:00 pm,0,0.6190,4.489
8/6/2019,12:00:00 am,0,0.6183,4.490
8/6/2019,12:15:00 am,0,0.6202,4.482
8/6/2019,12:30:00 am,0,0.6174,4.486
8/6/2019,12:45:00 am,0,0.6176,4.486
8/6/2019,01:00:00 am,0,0.6175,4.490
8/6/2019,01:15:00 am,0,0.6174,4.491
8/6/2019,01:30:00 am,0,0.6168,4.482
8/6/2019,01:45:00 am,0,0.6152,4.481
8/6/2019,02:00:00 am,0,0.6145,4.484
8/6/2019,02:15:00 am,0,0.6135,4.479
8/6/2019,02:30:00 am,0,0.6138,4.482
8/6/2019,02:45:00 am,0,0.6125,4.487
8/6/2019,03:00:00 am,0,0.6123,4.478
8/6/2019,03:15:00 am,0,0.6112,4.480
8/6/2019,03:30:00 am,0,0.6112,4.483
8/6/2019,03:45:00 am,0,0.6109,4.487
8/6/2019,04:00:00 am,0,0.6108,4.494
8/6/2019,04:15:00 am,0,0.6075,4.495
8/6/2019,04:30:00 am,0,0.6085,4.492
8/6/2019,04:45:00 am,0,0.6069,4.491
8/6/2019,05:00:00 am,0,0.6074,4.479
8/6/2019,05:15:00 am,0,0.6079,4.485
8/6/2019,05:30:00 am,0,0.6054,4.490
8/6/2019,05:45:00 am,0,0.6050,4.478
8/6/2019,06:00:00 am,0,0.6037,4.484
8/6/2019,06:15:00 am,0,0.6034,4.477
8/6/2019,06:30:00 am,0,0.6034,4.477
8/6/2019,06:45:00 am,0,0.6034,4.483
8/6/2019,07:00:00 am,0,0.6027,4.488
8/6/2019,07:15:00 am,0,0.6002,4.486
8/6/2019,07:30:00 am,0,0.6003,4.484
8/6/2019,07:45:00 am,0,0.5984,4.482
8/6/2019,08:00:00 am,0,0.5996,4.476
8/6/2019,08:15:00 am,0,0.5977,4.478
8/6/2019,08:30:00 am,0,0.5975,4.480
8/6/2019,08:45:00 am,0,0.5953,4.477
8/6/2019,09:00:00 am,0,0.5970,4.482
8/6/2019,09:15:00 am,0,0.5963,4.484
8/6/2019,09:30:00 am,0,0.5961,4.488
8/6/2019,09:45:00 am,0,0.5942,4.487
8/6/2019,10:00:00 am,0,0.5950,4.481
8/6/2019,10:15:00 am,0,0.5933,4.486
8/6/2019,10:30:00 am,0,0.5941,4.477
8/6/2019,10:45:00 am,0,0.5922,4.474
8/6/2019,11:00:00 am,0,0.5920,4.478
8/6/2019,11:15:00 am,0,0.5900,4.478
8/6/2019,11:30:00 am,0,0.5909,4.485
8/6/2019,11:45:00 am,0,0.5899,4.492
8/6/2019,12:00:00 pm,0,0.5889,4.485
8/6/2019,12:15:00 pm,0,0.5891,4.485
8/6/2019,12:30:00 pm,0,0.5881,4.487
8/6/2019,12:45:00 pm,0,0.5879,4.494
8/6/2019,01:00:00 pm,0,0.5864,4.494
8/6/2019,01:15:00 pm,0,0.5859,4.473
8/6/2019,01:30:00 pm,0,0.5850,4.481
8/6/2019,01:45:00 pm,0,0.5849,4.488
8/6/2019,02:00:00 pm,0,0.5829,4.492
8/6/2019,02:15:00 pm,0,0.5824,4.487
8/6/2019,02:30:00 pm,0,0.5817,4.485
8/6/2019,02:45:00 pm,0,0.5819,4.490
8/6/2019,03:00:00 pm,0,0.5795,4.496
8/6/2019,03:15:00 pm,0,0.5786,4.492
8/6/2019,03:30:00 pm,0,0.5787,4.494
8/6/2019,03:45:00 pm,0,0.5786,4.480
8/6/2019,04:00:00 pm,0,0.5764,4.481
8/6/2019,04:15:00 pm,0,0.5760,4.487
8/6/2019,04:30:00 pm,0,0.5751,4.481
8/6/2019,04:45:00 pm,0,0.5743,4.475
8/6/2019,05:00:00 pm,0,0.5738,4.481
8/6/2019,05:15:00 pm,0,0.5714,4.486
8/6/2019,05:30:00 pm,0,0.5714,4.479
8/6/2019,05:45:00 pm,0,0.5701,4.477
8/6/2019,06:00:00 pm,0,0.5697,4.479
8/6/2019,06:15:00 pm,0,0.5681,4.480
8/6/2019,06:30:00 pm,0,0.5687,4.482
8/6/2019,06:45:00 pm,0,0.5659,4.481
8/6/2019,07:00:00 pm,0,0.5660,4.480
8/6/2019,07:15:00 pm,0,0.5648,4.482
8/6/2019,07:30:00 pm,0,0.5642,4.477
8/6/2019,07:45:00 pm,0,0.5630,4.479
8/6/2019,08:00:00 pm,0,0.5618,4.483
8/6/2019,08:15:00 pm,0,0.5616,4.490
8/6/2019,08:30:00 pm,0,0.5605,4.475
8/6/2019,08:45:00 pm,0,0.5590,4.479
8/6/2019,09:00:00 pm,0,0.5581,4.485
8/6/2019,09:15:00 pm,0,0.5571,4.484
8/6/2019,09:30:00 pm,0,0.5565,4.480
8/6/2019,09:45:00 pm,0,0.5560,4.480
8/6/2019,10:00:00 pm,0,0.5551,4.477
8/6/2019,10:15:00 pm,0,0.5520,4.479
8/6/2019,10:30:00 pm,0,0.5528,4.484
8/6/2019,10:45:00 pm,0,0.5527,4.479
8/6/2019,11:00:00 pm,0,0.5508,4.478
8/6/2019,11:15:00 pm,0,0.5513,4.477
8/6/2019,11:30:00 pm,0,0.5482,4.475
8/6/2019,11:45:00 pm,0,0.5478,4.482
8/7/2019,12:00:00 am,0,0.5473,4.480
8/7/2019,12:15:00 am,0,0.5463,4.472
8/7/2019,12:30:00 am,0,0.5459,4.476
8/7/2019,12:45:00 am,0,0.5445,4.479
8/7/2019,01:00:00 am,0,0.5452,4.479
8/7/2019,01:15:00 am,0,0.5431,4.477
8/7/2019,01:30:00 am,0,0.5418,4.479
8/7/2019,01:45:00 am,0,0.5416,4.474
8/7/2019,02:00:00 am,0,0.5415,4.470
8/7/2019,02:15:00 am,0,0.5405,4.476
8/7/2019,02:30:00 am,0,0.5403,4.471
8/7/2019,02:45:00 am,0,0.5383,4.476
8/7/2019,03:00:00 am,0,0.5386,4.476
8/7/2019,03:15:00 am,0,0.5355,4.477
8/7/2019,03:30:00 am,0,0.5359,4.481
8/7/2019,03:45:00 am,0,0.5343,4.479
8/7/2019,04:00:00 am,0,0.5353,4.482
8/7/2019,04:15:00 am,0,0.5332,4.477
8/7/2019,04:30:00 am,0,0.5326,4.477
8/7/2019,04:45:00 am,0,0.5318,4.478
