Date,Discharge(m^3/s),Water Level (m),Station,
10-Jul,0.03925,,1,
11-Jul,0.00675,0.017146928,1,
12-Jul,0.00912,0.017287992,1,
15-Jul,0.0351,0.04394,1,
16-Jul,0.0113,0.020619,1,
19-Jul,0.014345,,1,
22-Jul,0.020525,,1,
24-Jul,0.060825,,1,
10-Jul,0.010425,,2,
11-Jul,0.0044,0.017172422,2,
12-Jul,0.00912,0.017287992,2,
15-Jul,0.0351,0.04394,2,
16-Jul,0.0113,0.020619,2,
19-Jul,0.00818,,2,
22-Jul,0.01788,,2,
24-Jul,0.30699,,2,
26-Jul,,,2,
10-Jul,0.04485,0.007271,3,
11-Jul,0.039275,0.019405652,3,
12-Jul,,,3,
15-Jul,0.06545,0.3354,3,
16-Jul,0.051075,0.231,3,
19-Jul,0.0241,0.210251,3,
22-Jul,0.0462,,3,
24-Jul,0.1437,,3,
26-Jul,0.060475,,3,
10-Jul,0.0201,0.008168,4,
11-Jul,0.027405,0.015479653,4,
15-Jul,0.1087,0.35544,4,
16-Jul,0.05055,0.22879,4,
19-Jul,0.010188,0.215701,4,
22-Jul,0.026025,,4,
24-Jul,0.0999,,4,
26-Jul,0.02805,,4,
