,"C02, ppm",Discharge,Flux
Syn 1,450,0.06204561,
Syn 2,440,0.06204561,
Syn 3,470,0.06204561,
Syn 4,490,0.06204561,
Syn 5,510,0.06204561,
Syn 6,470,0.06204561,
Syn 7,500,0.06204561,
Syn 8,530,0.06204561,
Syn 9,520,0.06204561,
Syn 10,480,0.06204561,
Syn 11,510,0.06204561,
Syn 12,550,0.06204561,
Syn 13,490,0.06204561,
Syn 14,540,0.06204561,
Syn 15,510,0.06204561,
Syn 16,470,0.06204561,
Syn 17,430,0.06204561,
Syn 18,580,0.06204561,
WF,490,,
Syn 19,850,0.0888,
Syn 20,990,0.0888,
Syn 21,930,0.0888,
Syn 22,1150,0.0888,
Syn 23,1270,0.0888,
Syn 24,1320,0.0888,
Syn 25,1150,0.0888,
Syn 26,1210,0.01825,
Syn 27,1470,0.01825,
Syn 28,1350,0.01825,
Syn 29,1560,0.01825,
Syn 30,1450,0.01825,
Syn 31,1420,0.01825,
Syn 32,1470,0.03477536,
Syn 33,1510,0.03477536,
Syn 34,1370,0.03477536,
Syn 35,1480,0.03477536,
