,,"CO2, ppm"
Syn 1,11:14,550
Syn 2,11:20,550
Syn 3,11:25,600
Syn 4,11:28,550
Syn 5,11:32,580
Syn 6,11:35,540
Syn 7,11:45,610
Syn 8,11:51,510
Syn 9,11:59,480
Syn 10,12:06,490
Syn 11,12:12,540
Syn 12,12:21,510
Syn 13,12:30,590
Syn 14,12:39,540
Syn 15,12:46,620
Syn 16,12:50,620
Syn 17,12:56,650
Syn 18,13:04,750
WF,13:15,950
Syn 19,13:23,1250
Syn 20,13:31,1610
Syn 21,13:41,1720
Syn 22,13:48,1820
Syn 23,13:55,2250
Syn 24,14:01,2280
Syn 25,14:05,2460
Syn 26,14:15,2500
Syn 27,14:21,2540
Syn 28,14:27,2700
Syn 29,14:36,2910
Syn 30,14:39,2860
Syn 31,14:46,2880
Syn 32,14:51,2730
Syn 33,14:58,2740
Syn 34,15:03,2730
Syn 35,15:08,2750
