Date,Velocity,Keff (m/Day),Synoptic,Distance going from Bottom to Top,Distance From Wetland
18-Jul,0.9438,22.13696042,1,5.10045,245.20545
18-Jul,0.47476,15.63198358,5,37.01545,217.61
18-Jul,0.2288,13.58299987,8,61.12445,194.911
18-Jul,0.33176,74.03480741,11,83.25545,169.946
18-Jul,0.0858,36.42035881,14,104.56745,143.68
18-Jul,0.55484,36.18153082,Waterfall,151.06545,102.753
18-Jul,0.7722,39.50682493,20,157.54145,94.14
18-Jul,0.43472,23.92071731,23,178.18245,75.925
18-Jul,0.08008,3.318513249,29,210.94945,37.442
18-Jul,0.29172,9.5814788,35,245.20545,4.002
25-Jul,1.19629,55.97772115,1,5.10045,245.20545
25-Jul,1.20156,17.69163514,5,37.01545,217.61
25-Jul,1.2648,23.73061861,10,75.25945,178.733
25-Jul,0.25296,9.735542192,14,104.56745,143.68
25-Jul,1.09616,52.14814521,Waterfall,151.06545,102.753
25-Jul,0.50065,760.1717638,23,157.54145,94.14
25-Jul,0.2108,21.8046498,29,178.18245,75.925
25-Jul,0.12121,24.80611959,35,210.94945,37.442
31-Jul,1.09824,9.633787391,1,245.20545,4.002
31-Jul,0.5148,16.56947947,5,37.01545,217.61
31-Jul,1.69884,31.7262156,8,61.12445,194.911
31-Jul,0.572,8.407380578,11,83.25545,169.946
31-Jul,0.08008,5.7106736,14,104.56745,143.68
31-Jul,0.62348,4.01300623,Waterfall,151.06545,102.753
31-Jul,0.70928,20.89720693,20,157.54145,94.14
31-Jul,0.0572,27.89336727,23,178.18245,75.925
31-Jul,0.20592,21.42543376,29,210.94945,37.442
31-Jul,0.40612,22.08952512,35,245.20545,4.002
6-Aug,0.86944,65.99297656,1,5.10045,245.20545
6-Aug,0.87516,7.082650606,5,37.01545,217.61
6-Aug,1.50436,33.38050375,8,61.12445,194.911
6-Aug,0.30316,23.01709676,11,83.25545,169.946
6-Aug,0.10296,1.851232655,14,104.56745,143.68
6-Aug,0.5434,8.494305706,Waterfall,151.06545,102.753
6-Aug,0.78936,33.24111487,20,157.54145,94.14
6-Aug,0.12012,26.7109929,23,178.18245,75.925
6-Aug,0.16588,4.786419879,29,210.94945,37.442
6-Aug,0.10868,11.84546615,35,245.20545,4.002
12-Aug,0.19499,13.84601749,1,5.10045,245.20545
12-Aug,0.13175,34.15081864,5,37.01545,217.61
12-Aug,,6.642901247,8,61.12445,194.911
12-Aug,,31.48081415,11,83.25545,169.946
12-Aug,,7.638164731,14,104.56745,143.68
12-Aug,,5.002524371,Waterfall,151.06545,102.753
12-Aug,,25.21460058,20,157.54145,94.14
12-Aug,,34.95830556,23,178.18245,75.925
12-Aug,,6.755340626,29,210.94945,37.442
12-Aug,,8.240696604,35,245.20545,4.002
