,CO2 PPM,"pCO2(uatm,aq)","pCO2(atm,aq)",Air PPM,"pCO2(uatm, air)","pCO2(atm,air)",pCO2(aq)-pCO2(air)(uatm),pCO2(aq)-pCO2(air)(atm),,,,
1,250,151.6837,0.00025,380,230.559148,0.000230559,19.440852,1.94E-05,,,,2                 254.8285
2,420,254.8285,0.00042,380,230.559148,0.000230559,189.440852,0.000189441,,,,3                 273.0306
3,450,273.0306,0.00045,380,230.559148,0.000230559,219.440852,0.000219441,,,,4                 279.0979
4,460,279.0979,0.00046,380,230.559148,0.000230559,229.440852,0.000229441,,,,5                 297.3000
5,490,297.3,0.00049,380,230.559148,0.000230559,259.440852,0.000259441,,,,6                 297.3000
6,490,297.3,0.00049,380,230.559148,0.000230559,259.440852,0.000259441,,,,7                 273.0306
7,450,273.0306,0.00045,380,230.559148,0.000230559,219.440852,0.000219441,,,,8                 327.6367
8,540,327.6367,0.00054,380,230.559148,0.000230559,309.440852,0.000309441,,,,9                 242.6938
9,400,242.6938,4.00E-04,380,230.559148,0.000230559,169.440852,0.000169441,,,,10                218.4245
10,360,218.4245,0.00036,380,230.559148,0.000230559,129.440852,0.000129441,,,,11                266.9632
11,440,266.9632,0.00044,380,230.559148,0.000230559,209.440852,0.000209441,,,,12                260.8959
12,430,260.8959,0.00043,380,230.559148,0.000230559,199.440852,0.000199441,,,,13                248.7612
13,410,248.7612,0.00041,380,230.559148,0.000230559,179.440852,0.000179441,,,,14                242.6938
14,400,242.6938,4.00E-04,380,230.559148,0.000230559,169.440852,0.000169441,,,,15                266.9632
15,440,266.9632,0.00044,380,230.559148,0.000230559,209.440852,0.000209441,,,,16                224.4918
16,370,224.4918,0.00037,380,230.559148,0.000230559,139.440852,0.000139441,,,,17                200.2224
17,330,200.2224,0.00033,380,230.559148,0.000230559,99.440852,9.94E-05,,,,18                291.2326
18,480,291.2326,0.00048,380,230.559148,0.000230559,249.440852,0.000249441,,,,19                327.6367
19,540,327.6367,0.00054,380,230.559148,0.000230559,309.440852,0.000309441,,,,20                588.5326
20,970,588.5326,0.00097,380,230.559148,0.000230559,739.440852,0.000739441,,,,21                703.8121
21,1160,703.8121,0.00116,380,230.559148,0.000230559,929.440852,0.000929441,,,,22                770.5529
22,1270,770.5529,0.00127,380,230.559148,0.000230559,1039.440852,0.001039441,,,,23                794.8223
23,1310,794.8223,0.00131,380,230.559148,0.000230559,1079.440852,0.001079441,,,,24                982.9101
24,1620,24                982.9101,0.00162,380,230.559148,0.000230559,1389.440852,0.001389441,,,,25               1061.7856
25,1750,25               1061.7856,0.00175,380,230.559148,0.000230559,1519.440852,0.001519441,,,,26               1098.1896
26,1810,26               1098.1896,0.00181,380,230.559148,0.000230559,1579.440852,0.001579441,,,,27               1140.6610
27,1880,27               1140.6610,0.00188,380,230.559148,0.000230559,1649.440852,0.001649441,,,,28               1183.1325
28,1950,28               1183.1325,0.00195,380,230.559148,0.000230559,1719.440852,0.001719441,,,,29               1274.1427
29,2100,29               1274.1427,0.0021,380,230.559148,0.000230559,1869.440852,0.001869441,,,,30               1268.0753
30,2090,30               1268.0753,0.00209,380,230.559148,0.000230559,1859.440852,0.001859441,,,,31               1383.3549
31,2280,31               1383.3549,0.00228,380,230.559148,0.000230559,2049.440852,0.002049441,,,,32               1255.9406
32,2070,32               1255.9406,0.00207,380,230.559148,0.000230559,1839.440852,0.001839441,,,,33               1231.6712
33,2030,33               1231.6712,0.00203,380,230.559148,0.000230559,1799.440852,0.001799441,,,,34               1213.4692
34,2000,34               1213.4692,0.002,380,230.559148,0.000230559,1769.440852,0.001769441,,,,35               1243.8059
35,2050,35               1243.8059,0.00205,380,230.559148,0.000230559,1819.440852,0.001819441,,,,36               1262.0080
36,2080,36               1262.0080,0.00208,380,230.559148,0.000230559,1849.440852,0.001849441,,,,
