Date,Site,Distance,Kkin,Keff,Average,Avg- Keff,,Std Dev.,Std Dev- Keff
18-Jul,1,5.10045,77.53167026,22.13696042,63.95646523,27.43161752,18-Jul,47.25092386,20.40280762
18-Jul,5,37.01545,51.57472159,15.63198358,102.8631218,120.7582744,25-Jul,71.87398255,258.8753868
18-Jul,8,61.12445,52.05900602,13.58299987,78.40817122,16.83660759,31-Jul,66.49769756,9.547113
18-Jul,11,83.25545,39.13519219,74.03480741,60.6590218,21.64027598,6-Aug,50.17622418,19.50361863
18-Jul,14,104.56745,21.28697768,36.42035881,38.65070513,17.3930184,12-Aug,23.67209925,12.57316034
18-Jul,Waterfall,151.06545,106.4480235,36.18153082,67.49267934,37.4808623,Total,55.32597414,107.7650655
18-Jul,20,157.54145,131.4487759,39.50682493,,,,,
18-Jul,23,178.18245,136.1875108,23.92071731,,,,,
18-Jul,29,210.94945,2.20576912,3.318513249,,,,,
18-Jul,35,245.20545,21.68700526,9.5814788,,,,,
25-Jul,1,5.10045,134.4408072,55.97772115,,,,,
25-Jul,5,37.01545,109.6560845,17.69163514,,,,,
25-Jul,10,75.25945,185.4189981,23.73061861,,,,,
25-Jul,14,104.56745,41.35765293,9.735542192,,,,,
25-Jul,Waterfall,151.06545,179.5414971,52.14814521,,,,,
25-Jul,23,157.54145,148.3667032,760.1717638,,,,,
25-Jul,29,178.18245,5.760051252,21.8046498,,,,,
25-Jul,35,210.94945,18.36318019,24.80611959,,,,,
31-Jul,1,245.20545,61.02395141,9.633787391,,,,,
31-Jul,5,37.01545,68.99577597,16.56947947,,,,,
31-Jul,8,61.12445,226.6925532,31.7262156,,,,,
31-Jul,11,83.25545,122.5700593,8.407380578,,,,,
31-Jul,14,104.56745,20.3445376,5.7106736,,,,,
31-Jul,Waterfall,151.06545,108.6598435,4.01300623,,,,,
31-Jul,20,157.54145,110.4452186,20.89720693,,,,,
31-Jul,23,178.18245,22.39820343,27.89336727,,,,,
31-Jul,29,210.94945,5.112288172,21.42543376,,,,,
31-Jul,35,245.20545,37.839281,22.08952512,,,,,
6-Aug,1,5.10045,61.70101455,65.99297656,,,,,
6-Aug,5,37.01545,76.09670387,7.082650606,,,,,
6-Aug,8,61.12445,160.2604825,33.38050375,,,,,
6-Aug,11,83.25545,33.60519573,23.01709676,,,,,
6-Aug,14,104.56745,16.93606753,1.851232655,,,,,
6-Aug,Waterfall,151.06545,77.24034784,8.494305706,,,,,
6-Aug,20,157.54145,121.4769855,33.24111487,,,,,
6-Aug,23,178.18245,43.34992567,26.7109929,,,,,
6-Aug,29,210.94945,4.217356545,4.786419879,,,,,
6-Aug,35,245.20545,11.70613828,11.84546615,,,,,
12-Aug,1,5.10045,19.05227959,13.84601749,,,,,
12-Aug,5,37.01545,12.78580831,34.15081864,,,,,
12-Aug,8,61.12445,30.73078099,6.642901247,,,,,
12-Aug,11,83.25545,39.18417779,31.48081415,,,,,
12-Aug,14,104.56745,66.60190081,7.638164731,,,,,
12-Aug,Waterfall,151.06545,29.54562394,5.002524371,,,,,
12-Aug,20,157.54145,55.81134456,25.21460058,,,,,
12-Aug,23,178.18245,79.97831798,34.95830556,,,,,
12-Aug,29,210.94945,6.904114717,6.755340626,,,,,
12-Aug,35,245.20545,45.91270257,8.240696604,,,,,
