,Synoptic1_071819,Synoptic2_072519,Synoptic3_072919,Synoptic4_073119,Synoptic5_080619,Synoptic6_081219,PPM Air
1,250,450,510,550,430,680,380
2,420,440,480,550,550,700,380
3,450,470,530,600,560,740,380
4,460,490,530,550,650,720,380
5,490,510,670,580,690,680,380
6,490,470,520,540,650,740,380
7,450,500,540,610,620,780,380
8,540,530,590,510,490,710,380
9,400,520,570,480,510,620,380
10,360,480,490,490,530,630,380
11,440,510,570,540,560,650,380
12,430,550,510,510,540,650,380
13,410,490,490,590,560,650,380
14,400,540,470,540,540,610,380
15,440,510,540,620,550,680,380
16,370,470,380,620,620,710,380
17,330,430,450,650,560,730,380
18,480,580,620,750,710,840,380
18.5,540,490,1100,950,740,1390,380
19,970,850,740,1250,1020,1300,380
20,1160,990,1240,1610,1280,1510,380
21,1270,930,1390,1720,1340,1690,380
22,1310,1150,1440,1820,1490,1910,380
23,1620,1270,1890,2250,1910,2470,380
24,1750,1320,2100,2280,1940,2670,380
25,1810,1150,2250,2460,2200,2880,380
26,1880,1210,2340,2500,2250,3120,380
27,1950,1470,2240,2540,2300,3260,380
28,2100,1350,2450,2700,2430,3530,380
29,2090,1560,2380,2910,2550,3600,380
30,2280,1450,2300,2860,2610,3850,380
31,2070,1420,,2880,2670,3710,380
32,2030,1470,,2730,2690,3770,380
33,2000,1510,,2740,2710,3750,380
34,2050,1370,,2730,2590,3700,380
35,2080,1480,,2750,2620,3740,380
