,Date,Time,ms,LEVEL.kPa,TEMPERATURE...C..,TempReachKelvin,Exponent,TempKelvin,KhPascal,KhAtm
570,7/18/2019,10:15:00 AM,0,62.5308,5.951,0.003584859,1.733201532,278.951,0.000571957,57.9489874
571,7/18/2019,10:30:00 AM,0,62.5288,5.953,0.003584833,1.733094622,278.953,0.000571921,57.94541291
572,7/18/2019,10:45:00 AM,0,62.5293,5.955,0.003584808,1.732987721,278.955,0.000571886,57.94183868
573,7/18/2019,11:00:00 AM,0,62.541,5.957,0.003584782,1.732880827,278.957,0.000571851,57.93826473
574,7/18/2019,11:15:00 AM,0,62.5434,5.96,0.003584743,1.732720502,278.96,0.000571798,57.93290431
575,7/18/2019,11:30:00 AM,0,62.5394,5.961,0.00358473,1.732667064,278.961,0.00057178,57.93111764
576,7/18/2019,11:45:00 AM,0,62.528,5.963,0.003584705,1.732560195,278.963,0.000571745,57.92754451
577,7/18/2019,12:00:00 PM,0,62.5397,5.963,0.003584705,1.732560195,278.963,0.000571745,57.92754451
578,7/18/2019,12:15:00 PM,0,62.5228,5.963,0.003584705,1.732560195,278.963,0.000571745,57.92754451
579,7/18/2019,12:30:00 PM,0,62.5168,5.966,0.003584666,1.732399906,278.966,0.000571692,57.92218531
580,7/18/2019,12:45:00 PM,0,62.5052,5.968,0.003584641,1.732293057,278.968,0.000571657,57.91861285
581,7/18/2019,1:00:00 PM,0,62.508,5.968,0.003584641,1.732293057,278.968,0.000571657,57.91861285
582,7/18/2019,1:15:00 PM,0,62.4931,5.968,0.003584641,1.732293057,278.968,0.000571657,57.91861285
583,7/18/2019,1:30:00 PM,0,62.488,5.967,0.003584653,1.732346481,278.967,0.000571674,57.92039905
584,7/18/2019,1:45:00 PM,0,62.4729,5.967,0.003584653,1.732346481,278.967,0.000571674,57.92039905
585,7/18/2019,2:00:00 PM,0,62.4634,5.967,0.003584653,1.732346481,278.967,0.000571674,57.92039905
586,7/18/2019,2:15:00 PM,0,62.4508,5.966,0.003584666,1.732399906,278.966,0.000571692,57.92218531
587,7/18/2019,2:30:00 PM,0,62.4327,5.965,0.003584679,1.732453334,278.965,0.00057171,57.92397164
588,7/18/2019,2:45:00 PM,0,62.423,7.882,0.003560214,1.633658657,280.882,0.000539107,54.62080616
