Fecha,Valor,Max absoluto,Min absoluto,Max promedio,Min promedio
7/1/2019 0:00,94.85441667,96.227,92.988,96.163,93.391
7/1/2019 1:00,89.86975,95.158,84.294,94.64,85.027
7/1/2019 2:00,92.39275,94.644,89.407,94.421,89.599
7/1/2019 3:00,90.2325,92.35,88.687,91.776,88.932
7/1/2019 4:00,89.23141667,94.213,81.354,93.671,82.113
7/1/2019 5:00,80.63275,83.686,77.668,82.574,78.491
7/1/2019 6:00,84.76566667,89.85,81.565,88.852,82.016
7/1/2019 7:00,92.58291667,94.851,89.703,94.604,90.239
7/1/2019 8:00,95.09325,96.431,94.141,96.102,94.401
7/1/2019 9:00,94.37616667,96.055,92.828,95.667,93.26
7/1/2019 10:00,95.50108333,98.433,93.302,98.172,93.65
7/1/2019 11:00,98.73616667,99.022,98.271,98.969,98.374
7/1/2019 12:00,98.71583333,99.024,98.143,98.932,98.258
7/1/2019 13:00,97.48791667,99.093,95.765,98.995,96.029
7/1/2019 14:00,98.20841667,98.963,96.889,98.934,97.046
7/1/2019 15:00,95.10241667,98.275,92.962,97.803,93.59
7/1/2019 16:00,95.969,98.242,93.979,98.008,94.866
7/1/2019 17:00,98.4065,99.094,95.541,99.055,96.057
7/1/2019 18:00,93.14716667,95.298,91.862,94.921,92.184
7/1/2019 19:00,92.971,94.618,91.973,94.471,92.114
7/1/2019 20:00,89.46433333,94.363,87.092,94.06,87.277
7/1/2019 21:00,92.76225,95.333,89.013,95.14,89.29
7/1/2019 22:00,94.06458333,95.694,91.844,95.499,92.459
7/1/2019 23:00,92.2955,93.935,90.724,93.581,91.134
7/2/2019 0:00,91.84466667,93.258,90.711,92.595,90.958
7/2/2019 1:00,91.73133333,92.699,90.839,92.494,91.047
7/2/2019 2:00,94.42366667,95.643,92.236,95.581,92.506
7/2/2019 3:00,95.06491667,95.985,94.585,95.735,94.753
7/2/2019 4:00,97.03,97.599,96.019,97.401,96.302
7/2/2019 5:00,98.4885,98.961,97.629,98.888,97.769
7/2/2019 6:00,98.10716667,98.729,96.877,98.668,97.044
7/2/2019 7:00,96.29841667,97.91,94.934,97.701,95.279
7/2/2019 8:00,97.19091667,98.437,95.808,98.288,96.193
7/2/2019 9:00,98.48308333,98.998,97.797,98.876,97.98
7/2/2019 10:00,95.75075,98.205,92.024,97.987,92.924
7/2/2019 11:00,94.66091667,98.203,87.601,97.9,89.086
7/2/2019 12:00,90.12275,96.889,84.99,96.237,86.464
7/2/2019 13:00,89.64525,96.908,84.316,95.621,86.045
7/2/2019 14:00,87.98941667,92.602,82.852,90.356,84.994
7/2/2019 15:00,86.23675,91.679,77.634,90.733,79.068
7/2/2019 16:00,83.42883333,96.795,74.455,96.331,76.372
7/2/2019 17:00,90.15108333,97.285,82.712,96.925,84.169
7/2/2019 18:00,95.06916667,97.354,93.436,97.034,93.979
7/2/2019 19:00,95.93225,96.532,95.413,96.379,95.554
7/2/2019 20:00,97.64858333,98.554,95.261,98.434,95.417
7/2/2019 21:00,97.95916667,98.227,97.334,98.176,97.471
7/2/2019 22:00,96.55158333,97.975,95.494,97.78,95.578
7/2/2019 23:00,94.57416667,96.624,92.454,96.505,93.087
7/3/2019 0:00,91.43458333,92.582,89.982,92.392,90.345
7/3/2019 1:00,87.49758333,90.608,84.477,90.195,84.591
7/3/2019 2:00,83.85358333,85.925,82.503,85.733,82.629
7/3/2019 3:00,82.28433333,83.638,81.305,83.365,81.559
7/3/2019 4:00,83.19066667,84.957,82.01,84.803,82.107
7/3/2019 5:00,86.21758333,87.52,84.969,87.265,85.257
7/3/2019 6:00,88.08233333,90.117,86.204,89.965,86.406
7/3/2019 7:00,89.64475,90.348,88.556,90.229,88.924
7/3/2019 8:00,83.682,88.906,78.051,88.156,79.093
7/3/2019 9:00,76.40766667,81.051,71.237,78.774,73.548
7/3/2019 10:00,70.60691667,75.352,64.433,73.157,66.971
7/3/2019 11:00,64.87258333,69.949,55.575,67.954,59.546
7/3/2019 12:00,61.61033333,72.685,53.85,67.753,59.023
7/3/2019 13:00,67.72191667,72.84,60.709,70.963,65.343
