Dist. From Upstream,18-Jul,25-Jul,31-Jul,6-Aug,12-Aug,Avg. Of Syn,Mean of Avg.,Std. Dev.,n^(1/2),Log Avg.,Mean,std. Dev.,n^((1/2)
4.002,77.53167026,134.4408072,61.02395141,61.70101455,19.05227959,70.7499446,59.39133427,41.49076454,5.830951895,2.833072644,3.080213379,0.489044007,
12.337,58.34617118,137.6992942,93.09922029,92.41935235,6.429690636,77.59874573,Std. Error,% Error,,1.625837953,Std. Error,% Error,
16.957,93.58825775,115.1235789,188.186005,69.21408181,14.7609863,96.17458195,7.115607414,20.22290544,,2.655000154,0.083870355,2.722874845,
25.495,57.11457622,65.16077006,79.33399758,45.48275984,7.569918152,50.93240437,,,,2.469779417,,,
34.256,51.57472159,109.6560845,68.99577597,76.09670387,12.78580831,63.82181885,,,,2.073035305,,,
37.442,35.69230496,58.333977,42.11249057,29.27859843,12.60879777,35.60523375,,,,2.730405657,,,
47.593,35.77514318,122.4385129,110.4249587,81.20401809,16.09953074,73.18843272,,,,2.613818433,,,
51.477,52.05900602,108.9696038,226.6925532,160.2604825,30.73078099,115.7424853,,,,3.192613034,,,
56.243,23.94263598,25.94644077,28.38043395,31.2950166,20.12766419,25.9384383,,,,2.745746534,,,
63.659,144.7094786,185.4189981,97.91299839,148.2714589,69.81666802,129.2259204,,,,3.262350561,,,
67.023,39.13519219,50.46985966,122.5700593,33.60519573,39.18417779,56.99289693,,,,2.943814382,,,
75.925,41.53565603,153.1607336,195.2753878,149.8354969,66.59556342,121.2805676,,,,2.67915111,,,
81.871,60.65811032,93.98099644,282.6535889,26.71554541,33.73356072,99.54836036,,,,3.114487713,,,
87.664,21.28697768,41.35765293,20.3445376,16.93606753,66.60190081,33.30542731,,,,3.474446193,,,
94.14,0.182455951,0.133623986,0.942903102,0.106530616,0.522656719,0.377634075,,,,3.387658622,,,
102.753,18.75738253,47.52659778,354.0998025,28.0462286,108.8019998,111.4464022,,,,2.715914861,,,
124.229,32.06077302,150.1450539,86.01684087,168.1767794,66.53664039,100.5872175,,,,3.175379714,,,
128.96,29.94726101,130.4719426,74.11516944,49.22386249,85.51804352,73.85525581,,,,3.578723271,,,
131.849,106.4480235,179.5414971,108.6598435,77.24034784,29.54562394,100.2870672,,,,3.56998265,,,
140.638,131.4487759,251.9597946,110.4452186,121.4769855,55.81134456,134.2284238,,,,3.292142414,,,
143.68,97.00387301,151.7208871,146.4209716,82.86396003,9.562874812,97.51451331,,,,3.521359639,,,
154.794,41.05955977,82.07559476,69.76897534,38.43880879,14.12063145,49.09271402,,,,3.046495288,,,
161.95,136.1875108,148.3667032,22.39820343,43.34992567,79.97831798,86.05613222,,,,3.54067611,,,
169.946,107.9693925,101.8095736,66.05736711,22.77372451,52.97772682,70.31755691,,,,3.069264036,,,
178.733,28.31633778,43.22144125,40.81238841,31.13465816,21.13673762,32.92431264,,,,3.398379412,,,
184.081,12.67865485,37.61023385,16.76411095,10.5937899,21.25346889,19.78005169,,,,3.095612684,,,
194.911,4.29153616,6.478238237,5.116198292,4.741858481,7.982225047,5.722011243,,,,3.466203775,,,
204.096,0,16.01457902,7.155377594,6.225423477,50.19063586,15.91720319,,,,3.60267348,,,
208.19,2.20576912,5.760051252,5.112288172,4.217356545,6.904114717,4.839915961,,,,2.819764876,,,
217.61,2.307958881,14.69831052,4.277054292,2.199942688,9.647173412,6.626087959,,,,2.771972465,,,
225.54,0,54.48105058,18.80371437,10.39471769,22.84264269,21.30442507,,,,3.387849546,,,
228.194,1.707029943,4.161246249,1.683668234,1.795487194,8.620341231,3.59355457,,,,4.128357163,,,
240.105,7.162508007,6.17452669,5.619589884,0,19.1832068,7.627966276,,,,3.580779277,,,
245.20545,21.68700526,18.36318019,37.839281,11.70613828,45.91270257,27.10166146,,,,3.164506514,,,
