Position,Dist. (m),Elev. (m),Slope (Unitless),Depth (m),Depth/2 (m),Velocity (m/s),K600 Avg. (m/day),K600 min (m/day),K600 max (m/day),Area,Velocity Corrected (m/s),Distance From Upstream
1 to 2,5.10045,-0.513428,0.068639617,0.08,0.04,16.5,77.53167026,956.7081622,1008.611229,0.204018,0.9438,4.002
2 to 3,11.911,2.964,0.068639617,0.07,0.035,13,58.34617118,726.3120865,752.3959523,0.416885,0.7436,12.337
3 to 4,2.654,-3.13,0.097948653,0.05,0.025,19,93.58825775,1159.662025,1212.428921,0.06635,1.0868,16.957
4 to 5,7.93,2.08,0.063994444,0.2,0.1,7.2,57.11457622,698.1050477,750.0982242,0.793,0.41184,25.495
5 to 6,9.42,0.489,0.086309148,0.08,0.04,8.3,51.57472159,642.2671488,664.8184657,0.3768,0.47476,34.256
6 to 7,4.094,0.156,0.027036277,0.07,0.035,19,35.69230496,449.2435586,455.2105611,0.14329,1.0868,37.442
7 to 8,9.185,2.549,0.06512113,0.05,0.025,9.7,35.77514318,452.9774909,453.5562306,0.229625,0.55484,47.593
8 to 9,10.83,1.87,0.090654528,0.25,0.125,4,52.05900602,635.1011459,685.0051636,1.35375,0.2288,51.477
9 to 10,5.348,-0.796,0.034631852,0.04,0.02,13.3,23.94263598,307.1268817,299.6202023,0.10696,0.76076,56.243
10 to 11,8.787,1.821,0.127020622,0.1,0.05,15.7,144.7094786,1753.782433,1916.740149,0.43935,0.89804,63.659
11 to 12,7.996,1.232,0.090577887,0.08,0.04,5.8,39.13519219,490.3881673,501.3487743,0.31984,0.33176,67.023
12 to 13,7.156,2.483,0.142158658,0.21,0.105,2.2,41.53565603,510.8869275,542.078717,0.75138,0.12584,75.925
13 to 14,11.114,-1.053,0.106707963,0.09,0.045,7.5,60.65811032,751.0531193,786.4155587,0.50013,0.429,81.871
14 to 15,3.042,-3.712,0.074785413,0.33,0.165,1.5,21.28697768,263.654166,275.8915311,0.50193,0.0858,87.664
15 to 16,8.789,3.686,0.000421359,0.28,0.14,1.4,0.182455951,2.522329966,2.118649732,1.23046,0.08008,94.14
16 to 17,2.889,1.871,0.188379804,0.2,0.1,0.7,18.75738253,235.0784955,240.2572856,0.2889,0.04004,102.753
17 to 18,4.731,2.04,0.138280041,0.23,0.115,1.6,32.06077302,396.0032767,416.6718852,0.544065,0.09152,124.229
18 to 19,21.476,5.059,0.138280041,0.03,0.015,5.1,29.94726101,384.194454,374.7210776,0.32214,0.29172,128.96
19 to 20,8.613,0.464,0.180778016,0.07,0.035,9.7,106.4480235,1307.315856,1391.360512,0.301455,0.55484,131.849
20 to 21,6.476,1.52,0.180778016,0.06,0.03,13.5,131.4487759,1611.152448,1721.55719,0.19428,0.7722,140.638
21 to 22,5.793,1.807,0.154875155,0.07,0.035,10.2,97.00387301,1193.819612,1265.273574,0.202755,0.58344,143.68
22 to 23,5.946,1.418,0.120621005,0.04,0.02,7,41.05955977,520.3508688,520.0885486,0.11892,0.4004,154.794
23 to 24,8.902,-0.65,0.19983921,0.14,0.07,7.6,136.1875108,1642.849461,1812.265372,0.62314,0.43472,161.95
24 to 25,3.364,0.457,0.148024304,0.08,0.04,11.1,107.9693925,1322.418915,1415.067839,0.13456,0.63492,169.946
25 to 26,7.416,2.054,0.060716812,0.05,0.025,8,28.31633778,360.4244297,357.1124134,0.1854,0.4576,178.733
26 to 27,4.766,0.403,0.036441336,0.28,0.14,1.9,12.67865485,159.3403237,161.944298,0.66724,0.10868,184.081
27 to 28,3.884,-0.944,0.006489303,0.1,0.05,5.9,4.29153616,56.28931836,52.52239976,0.1942,0.33748,194.911
28 to 29,10.151,2.058,0.046525835,0.32,0.16,0,0,0,0,1.62416,0,204.096
29 to 30,3.186,0.333,0.008501514,0.2,0.1,1.4,2.20576912,29.00620293,26.92614758,0.3186,0.08008,208.19
30 to 31,8.761,-0.234,0.014833501,0.18,0.09,0.9,2.307958881,30.37626571,28.14924487,0.78849,0.05148,217.61
31 to 32,8.538,-0.804,0.077783466,0.2,0.1,0,0,0,0,0.8538,0,225.54
32 to 33,4.62,-0.699,0.00675895,0.12,0.06,1.8,1.707029943,22.78436251,20.53006833,0.2772,0.10296,228.194
33 to 34,8.335,-0.0918,0.014511245,0.12,0.06,4.2,7.162508007,92.56883936,88.96320502,0.5001,0.24024,240.105
34 to 35,4.002,-0.591,0.053067203,0.08,0.04,5.1,21.68700526,275.3804925,274.1643582,0.16008,0.29172,245.20545
