Position,Dist. (m),Slope (Unitless),Velocity (m/s),Depth (m),Depth/2 (m),K600 Avg. (m/day),K600 Min (m/Day),K600 Max (m/Day),Area (m^2),K600 by Dist.,Corrected Velocity (m/s)
1 to 2,5.10045,0.068639617,19.2,0.04,0.02,61.02395141,63.59892339,57.71129458,0.102009,37.839281,1.09824
2 to 3,11.911,0.068639617,17.7,0.1,0.05,93.09922029,94.55050246,90.35208432,0.59555,5.619589884,1.01244
3 to 4,2.654,0.097948653,22.3,0.14,0.07,188.186005,186.9933554,186.6630681,0.18578,1.683668234,1.27556
4 to 5,7.93,0.063994444,14.2,0.12,0.06,79.33399758,80.59795983,76.96699979,0.4758,18.80371437,0.81224
5 to 6,9.42,0.086309148,9,0.12,0.06,68.99577597,70.31530079,66.72753735,0.5652,4.277054292,0.5148
6 to 7,4.094,0.027036277,21.1,0.08,0.04,42.11249057,43.71217336,39.98797232,0.16376,5.112288172,1.20692
7 to 8,9.185,0.06512113,22.6,0.1,0.05,110.4249587,111.7170342,107.5783856,0.45925,7.155377594,1.29272
8 to 9,10.83,0.090654528,29.7,0.14,0.07,226.6925532,224.3154843,225.8006478,0.7581,5.116198292,1.69884
9 to 10,5.348,0.034631852,16.1,0.04,0.02,28.38043395,30.09123137,26.38201925,0.10696,16.76411095,0.92092
10 to 11,8.787,0.127020622,13.8,0.06,0.03,97.91299839,100.2373337,94.26731204,0.26361,40.81238841,0.78936
11 to 12,7.996,0.090577887,10,0.27,0.135,122.5700593,121.53792,121.8335566,1.07946,66.05736711,0.572
12 to 13,7.156,0.142158658,12.9,0.2,0.1,195.2753878,192.6451627,195.0953143,0.7156,22.39820343,0.73788
13 to 14,11.114,0.106707963,35.5,0.12,0.06,282.6535889,279.0739651,282.162708,0.66684,69.76897534,2.0306
14 to 15,3.042,0.074785413,1.4,0.34,0.17,20.3445376,20.91767048,19.50258859,0.51714,146.4209716,0.08008
15 to 16,8.789,0.000421359,8.5,0.3,0.15,0.942903102,1.041071992,0.841711568,1.31835,110.4452186,0.4862
16 to 17,2.889,0.188379804,19,0.2,0.1,354.0998025,344.6892869,358.5366141,0.2889,108.6598435,1.0868
17 to 18,4.731,0.138280041,4.4,0.27,0.135,86.01684087,85.97399177,84.82225505,0.638685,74.11516944,0.25168
18 to 19,21.476,0.138280041,6.8,0.1,0.05,74.11516944,75.65724057,71.56054569,1.0738,86.01684087,0.38896
19 to 20,8.613,0.180778016,10.9,0.06,0.03,108.6598435,110.9792678,104.8591238,0.25839,354.0998025,0.62348
20 to 21,6.476,0.180778016,12.4,0.05,0.025,110.4452186,113.1293346,106.2743689,0.1619,0.942903102,0.70928
21 to 22,5.793,0.154875155,16.2,0.07,0.035,146.4209716,148.1389178,142.6419708,0.202755,20.3445376,0.92664
22 to 23,5.946,0.120621005,12.7,0.04,0.02,69.76897534,72.49445203,66.18047003,0.11892,282.6535889,0.72644
23 to 24,8.902,0.19983921,1,0.14,0.07,22.39820343,23.34664552,21.17931012,0.62314,195.2753878,0.0572
24 to 25,3.364,0.148024304,8.5,0.05,0.025,66.05736711,68.44880654,62.83282243,0.0841,122.5700593,0.4862
25 to 26,7.416,0.060716812,10.8,0.06,0.03,40.81238841,42.61098555,38.52763692,0.22248,97.91299839,0.61776
26 to 27,4.766,0.036441336,3.4,0.18,0.09,16.76411095,17.50933479,15.81981262,0.42894,28.38043395,0.19448
27 to 28,3.884,0.006489303,9.8,0.06,0.03,5.116198292,5.596842789,4.609582138,0.11652,226.6925532,0.56056
28 to 29,10.151,0.046525835,0.8,0.27,0.135,7.155377594,7.562836651,6.672526733,1.370385,110.4249587,0.04576
29 to 30,3.186,0.008501514,3.6,0.2,0.1,5.112288172,5.473652353,4.706124056,0.3186,42.11249057,0.20592
30 to 31,8.761,0.014833501,1.8,0.18,0.09,4.277054292,4.606435817,3.914122659,0.78849,68.99577597,0.10296
31 to 32,8.538,0.077783466,1.7,0.2,0.1,18.80371437,19.55216175,17.82388779,0.8538,79.33399758,0.09724
32 to 33,4.62,0.00675895,1.3,0.2,0.1,1.683668234,1.848238132,1.511698002,0.462,188.186005,0.07436
33 to 34,8.335,0.014511245,2.1,0.24,0.12,5.619589884,5.984509561,5.201044963,1.0002,93.09922029,0.12012
34 to 35,4.002,0.053067203,7.1,0.13,0.065,37.839281,39.03117665,36.15630462,0.26013,61.02395141,0.40612
