Position,Dist. (m),Elev. (m),Elev/Dist,Slope (°
1 to 2,5.10045,-0.513428,0.100663275,
2 to 3,11.911,2.964,0.248845605,
3 to 4,2.654,-3.13,1.179351922,
4 to 5,7.93,2.08,0.262295082,
5 to 6,9.42,0.489,0.051910828,
6 to 7,4.094,0.156,0.038104543,
7 to 8,9.185,2.549,0.277517692,
8 to 9,10.83,1.87,0.172668513,
9 to 10,5.348,-0.796,0.148840688,
10 to 11,8.787,1.821,0.207237965,
11 to 12,7.996,1.232,0.154077039,
12 to 13,7.156,2.483,0.346981554,
13 to 14,11.114,-1.053,0.094745366,
14 to 15,3.042,-3.712,1.220249836,
15 to 16,8.789,3.686,0.419387871,
16 to 17,2.889,1.871,0.647628937,
17 to 18,4.731,2.04,0.431198478,
18 to 19,21.476,5.059,0.235565282,
19 to 20,8.613,0.464,0.053872054,
20 to 21,6.476,1.52,0.234712786,
21 to 22,5.793,1.807,0.311928189,
22 to 23,5.946,1.418,0.23847965,
23 to 24,8.902,-0.65,0.073017299,
24 to 25,3.364,0.457,0.135850178,
25 to 26,7.416,2.054,0.276968716,
26 to 27,4.766,0.403,0.084557281,
27 to 28,3.884,-0.944,0.243048404,
28 to 29,10.151,2.058,0.202738646,
29 to 30,3.186,0.333,0.104519774,
30 to 31,8.761,-0.234,0.02670928,
31 to 32,8.538,-0.804,0.094167252,
32 to 33,4.62,-0.699,0.151298701,
33 to 34,8.335,-0.0918,0.011013797,
34 to 35,4.002,-0.591,0.147676162,
