Station,Dist (m),Slope  (Unitless),Velocity (m/s),Depth  (m),Depth/2 (m),K600 Avg. (m/Day),K600 Min (m/Day),K600 Max (m/Day),Area (m^2)
1 to 2,5.10045,0.100663275,15.2,0.06,0.03,1107.167835,1073.325162,1125.655609,0.1530135
2 to 3,11.911,0.248845605,20.1,0.08,0.04,3711.132964,3483.2767,3897.041081,0.47644
3 to 4,2.654,1.179351922,15.5,0.04,0.02,8088.835489,7553.380818,8537.693385,0.05308
4 to 5,7.93,0.262295082,7.6,0.12,0.06,2037.140367,1924.022395,2125.894536,0.4758
5 to6,9.42,0.051910828,15.3,0.06,0.03,617.6925779,606.7161256,619.8250973,0.2826
6  to7,4.094,0.038104543,16.7,0.06,0.03,507.1126032,500.3140307,506.6126797,0.12282
7 to  8,9.185,0.277517692,16,0.1,0.05,3765.401041,3519.003555,3971.117162,0.45925
8  too 9,10.83,0.172668513,26.3,0.09,0.045,3629.000499,3400.737066,3816.901303,0.48735
9 to 10,5.348,0.148840688,11.8,0.08,0.04,1462.115288,1401.372289,1503.556112,0.21392
10 to 11,8.787,0.207237965,17.2,0.09,0.045,2925.396384,2754.699118,3062.000096,0.395415
11  to 12,7.996,0.154077039,5.3,0.07,0.035,688.1149123,672.3949344,694.0766524,0.27986
12 to 13,7.156,0.346981554,9.3,0.21,0.105,4230.938198,3891.804325,4533.48618,0.75138
13 to 14,11.114,0.094745366,2.8,0.1,0.05,306.7065156,303.253179,305.7388103,0.5557
 14 to 15,3.042,1.220249836,1.8,0.16,0.08,2594.014909,2424.21494,2735.796197,0.24336
 15 to 16 ,8.789,0.419387871,0.8,0.26,0.13,633.2563751,605.5819658,652.6737366,1.14257
16 to 17,2.889,0.647628937,1.1,0.2,0.1,1074.216452,1019.913173,1115.142395,0.2889
17 to  18,4.731,0.431198478,21.2,0.07,0.035,5905.685784,5498.621347,6251.680692,0.165585
18 to 19,21.476,0.235565282,11.4,0.02,0.01,1009.244314,999.8659275,1004.062583,0.21476
19 to  20,8.613,0.053872054,9.5,0.04,0.02,335.5951702,336.6114152,329.7710244,0.17226
20 to 21,6.476,0.234712786,13.8,0.05,0.025,1955.823446,1878.057616,2007.522002,0.1619
21  to 22,5.793,0.311928189,12,0.04,0.02,1972.005278,1900.807934,2016.451771,0.11586
22 to 23,5.946,0.23847965,6.5,0.04,0.02,899.813938,882.7552375,904.0137965,0.11892
23 to24,8.902,0.073017299,2.1,0.14,0.07,225.8130294,223.4647033,224.9049367,0.62314
24 to 25,3.364,0.135850178,2.3,0.06,0.03,269.2643093,269.4605388,265.1992793,0.10092
 25 to 26,7.416,0.276968716,8.9,0.05,0.025,1533.839793,1480.918527,1565.808925,0.1854
26 to 27,4.766,0.084557281,2.9,0.1,0.05,285.9659789,283.1914054,284.6155327,0.2383
27 to 28,3.884,0.243048404,6.6,0.1,0.05,1521.51565,1451.203677,1572.296353,0.1942
28 to 29,10.151,0.202738646,0.7,0.26,0.13,294.4503939,286.4698548,298.3013925,1.31963
29 to 30,3.186,0.104519774,2.9,0.2,0.1,502.1029815,484.9384851,512.3997135,0.3186
30  to 31,8.761,0.02670928,0.8,0.2,0.1,47.38614477,48.25942177,45.85963238,0.8761
 31 to 32,8.538,0.094167252,1,0.16,0.08,157.2575312,156.5188096,155.7278543,0.68304
32 to 33,4.62,0.151298701,1.6,0.16,0.08,364.3851391,355.8890565,367.7194558,0.3696
33 to 34,8.335,0.011013797,0,0.14,0.07,0,0,0,0.58345
34 to 35,4.002,0.147676162,1.9,0.13,0.065,371.4686105,363.9981874,373.6413657,0.26013
