Position,Dist. (m),Slope (Unitless),Velocity (m/s),Depth (m),Depth/2 (m),K600 Avg. (m/day),K600 Min (m/Day),K600 Max (m/Day),Area (m^2),K600 by Dist.
1 to 2,5.10045,0.100663275,19.2,0.04,0.02,1095.018562,1069.529864,1104.994141,0.102009,1200.746548
2 to 3,11.911,0.248845605,17.7,0.1,0.05,3738.43331,3494.364891,3942.039317,0.59555,56.10854343
3 to 4,2.654,1.179351922,22.3,0.14,0.07,21992.71587,19635.98705,24278.11248,0.18578,341.6920407
4 to 5,7.93,0.262295082,14.2,0.12,0.06,3553.313157,3314.310228,3754.773466,0.4758,284.4738827
5 to 6,9.42,0.051910828,9,0.12,0.06,560.0528874,544.5280725,567.737703,0.5652,92.12654264
6 to 7,4.094,0.038104543,21.1,0.08,0.04,729.3988056,710.1070824,738.4416444,0.16376,608.6502542
7 to 8,9.185,0.277517692,22.6,0.1,0.05,5120.365523,4752.36362,5437.536634,0.45925,338.4354107
8 to 9,10.83,0.172668513,29.7,0.14,0.07,5133.314063,4735.55934,5484.465613,0.7581,1641.629712
9 to 10,5.348,0.148840688,16.1,0.04,0.02,1325.944859,1289.523893,1343.790181,0.10696,452.5260027
10 to 11,8.787,0.207237965,13.8,0.06,0.03,1931.823788,1849.492967,1988.80528,0.26361,2010.610332
11 to 12,7.996,0.154077039,10,0.27,0.135,2509.79897,2325.412195,2669.856117,1.07946,781.0268944
12 to 13,7.156,0.346981554,12.9,0.2,0.1,5514.034487,5046.349627,5938.428733,0.7156,116.6739295
13 to 14,11.114,0.094745366,35.5,0.12,0.06,3244.990737,3032.906191,3421.98321,0.66684,1633.221695
14 to 15,3.042,1.220249836,1.4,0.34,0.17,3116.073655,2861.333579,3344.697665,0.51714,3484.541756
15 to 16,8.789,0.419387871,8.5,0.3,0.15,5604.955846,5090.665282,6082.467236,1.31835,1778.208005
16 to 17,2.889,0.647628937,19,0.2,0.1,13562.6019,12163.74194,14904.88948,0.2889,472.1071266
17 to 18,4.731,0.431198478,4.4,0.27,0.135,3020.562269,2787.02563,3226.595717,0.638685,1519.594554
18 to 19,21.476,0.235565282,6.8,0.1,0.05,1519.594554,1449.412508,1570.266557,1.0738,3020.562269
19 to 20,8.613,0.053872054,10.9,0.06,0.03,472.1071266,466.5271236,470.8842271,0.25839,13562.6019
20 to 21,6.476,0.234712786,12.4,0.05,0.025,1778.208005,1711.16139,1821.310866,0.1619,5604.955846
21 to 22,5.793,0.311928189,16.2,0.07,0.035,3484.541756,3283.05395,3645.215902,0.202755,3116.073655
22 to 23,5.946,0.23847965,12.7,0.04,0.02,1633.221695,1580.938297,1662.973352,0.11892,3244.990737
23 to 24,8.902,0.073017299,1,0.14,0.07,116.6739295,117.1866525,114.4931305,0.62314,5514.034487
24 to 25,3.364,0.135850178,8.5,0.05,0.025,781.0268944,765.6036343,785.3042012,0.0841,2509.79897
25 to 26,7.416,0.276968716,10.8,0.06,0.03,2010.610332,1923.193415,2071.775943,0.22248,1931.823788
26 to 27,4.766,0.084557281,3.4,0.18,0.09,452.5260027,438.9039062,459.8620405,0.42894,1325.944859
27 to 28,3.884,0.243048404,9.8,0.06,0.03,1641.629712,1577.425908,1683.880886,0.11652,5133.314063
28 to 29,10.151,0.202738646,0.8,0.27,0.135,338.4354107,328.0129832,344.1680013,1.370385,5120.365523
29 to 30,3.186,0.104519774,3.6,0.2,0.1,608.6502542,585.306799,623.8238518,0.3186,729.3988056
30 to 31,8.761,0.02670928,1.8,0.18,0.09,92.12654264,92.60716401,90.33059916,0.78849,560.0528874
31 to 32,8.538,0.094167252,1.7,0.2,0.1,284.4738827,278.2794936,286.6246422,0.8538,3553.313157
32 to 33,4.62,0.151298701,1.3,0.2,0.1,341.6920407,332.8779835,345.6961816,0.462,21992.71587
33 to 34,8.335,0.011013797,2.1,0.24,0.12,56.10854343,56.74089871,54.68543968,1.0002,3738.43331
34 to 35,4.002,0.147676162,7.1,0.13,0.065,1200.746548,1145.983466,1240.035936,0.26013,1095.018562
