Position,Dist. (m),Elev. (m),Slope (Unitless),Depth (m),Depth/2 (m),Velocity (m/s),K600 Avg. (m/day),K600 min (m/day),K600 max (m/day),Area
1 to 2,5.10045,-0.513428,0.100663275,0.08,0.04,16.5,1391.234361,1334.925952,1429.069479,0.204018
2 to 3,11.911,2.964,0.248845605,0.07,0.035,13,2342.911887,2227.215439,2429.179529,0.416885
3 to 4,2.654,-3.13,1.179351922,0.05,0.025,19,10937.36998,10103.98152,11669.25668,0.06635
4 to 5,7.93,2.08,0.262295082,0.2,0.1,7.2,2558.121125,2381.904976,2707.869345,0.793
5 to 6,9.42,0.489,0.051910828,0.08,0.04,8.3,418.6426102,412.6869057,418.5777114,0.3768
6 to 7,4.094,0.156,0.038104543,0.07,0.035,19,618.1995948,605.5330445,622.0560431,0.14329
7 to 8,9.185,2.549,0.277517692,0.05,0.025,9.7,1658.880491,1598.826845,1696.440753,0.229625
8 to 9,10.83,1.87,0.172668513,0.25,0.125,4,1178.844315,1112.472978,1231.213491,1.35375
9 to 10,5.348,-0.796,0.148840688,0.04,0.02,13.3,1118.60922,1092.048204,1129.340517,0.10696
10 to 11,8.787,1.821,0.207237965,0.1,0.05,15.7,2855.1185,2684.932915,2992.435282,0.43935
11 to 12,7.996,1.232,0.154077039,0.08,0.04,5.8,801.3495758,778.5072722,813.0013716,0.31984
12 to 13,7.156,2.483,0.346981554,0.21,0.105,2.2,1172.851542,1110.397725,1221.005028,0.75138
13 to 14,11.114,-1.053,0.094745366,0.09,0.045,7.5,696.3824759,677.2435132,705.7660168,0.50013
14 to 15,3.042,-3.712,1.220249836,0.33,0.165,1.5,3260.422607,2992.432463,3501.332567,0.50193
15 to 16,8.789,3.686,0.419387871,0.28,0.14,1.4,1084.583924,1023.36421,1132.937706,1.23046
16 to 17,2.889,1.871,0.647628937,0.2,0.1,0.7,718.4384465,688.3144071,739.0982937,0.2889
17 to 18,4.731,2.04,0.431198478,0.23,0.115,1.6,1125.844199,1065.141229,1172.895507,0.544065
18 to 19,21.476,5.059,0.235565282,0.03,0.015,5.1,614.0132321,610.6989085,608.4687048,0.32214
19 to 20,8.613,0.464,0.053872054,0.07,0.035,9.7,462.4971735,455.9845383,462.3575764,0.301455
20 to 21,6.476,1.52,0.234712786,0.06,0.03,13.5,2116.372881,2022.02686,2183.269686,0.19428
21 to 22,5.793,1.807,0.311928189,0.07,0.035,10.2,2308.508421,2195.240499,2392.713771,0.202755
22 to 23,5.946,1.418,0.23847965,0.04,0.02,7,961.1630885,941.5447747,967.0815999,0.11892
23 to 24,8.902,-0.65,0.073017299,0.14,0.07,7.6,709.411006,684.2045753,724.9696057,0.62314
24 to 25,3.364,0.457,0.135850178,0.08,0.04,11.1,1276.572213,1227.27448,1308.756945,0.13456
25 to 26,7.416,2.054,0.276968716,0.05,0.025,8,1394.996067,1349.740095,1421.038179,0.1854
26 to 27,4.766,0.403,0.084557281,0.28,0.14,1.9,342.2442751,331.4057501,348.3551812,0.66724
27 to 28,3.884,-0.944,0.243048404,0.1,0.05,5.9,1377.021153,1316.334901,1419.792103,0.1942
28 to 29,10.151,2.058,0.202738646,0.32,0.16,0,0,0,0,1.62416
29 to 30,3.186,0.333,0.104519774,0.2,0.1,1.4,262.6107704,257.3545105,264.1211701,0.3186
30 to 31,8.761,-0.234,0.02670928,0.18,0.09,0.9,49.71278307,50.66971813,48.07259815,0.78849
31 to 32,8.538,-0.804,0.094167252,0.2,0.1,0,0,0,0,0.8538
32 to 33,4.62,-0.699,0.151298701,0.12,0.06,1.8,346.4331827,340.4854615,347.4164068,0.2772
33 to 34,8.335,-0.0918,0.011013797,0.12,0.06,4.2,71.51374031,72.82273885,69.21845587,0.5001
34 to 35,4.002,-0.591,0.147676162,0.08,0.04,5.1,688.1895218,670.8639039,695.8115219,0.16008
