,X,DateTime,PPM,VID,TimeLapse,TimeLapseSec,Moles,mL,Join
2379,2379,7/16/2019 14:03,1320,V2,0,0,0,0,0
2380,2380,7/16/2019 14:04,1325,V2,1,60,0.036742331,854.2731411,160
2381,2381,7/16/2019 14:05,1325,V2,2,120,0.073484663,1708.546282,2120
2382,2382,7/16/2019 14:06,1320,V2,3,180,0.109811043,2553.148407,3180
2383,2383,7/16/2019 14:07,1315,V2,4,240,0.145860123,3391.303187,4240
2384,2384,7/16/2019 14:08,1320,V2,5,300,0.183018405,4255.247344,5300
2385,2385,7/16/2019 14:09,1320,V2,6,360,0.219622086,5106.296813,6360
2386,2386,7/16/2019 14:10,1305,V2,7,420,0.25331411,5889.649165,7420
2387,2387,7/16/2019 14:11,1335,V2,8,480,0.296157055,6885.763885,8480
2388,2388,7/16/2019 14:12,1310,V2,9,540,0.326937423,7601.41912,9540
2389,2389,7/16/2019 14:13,1305,V2,10,600,0.361877301,8413.784522,10600
2390,2390,7/16/2019 14:14,1310,V2,11,660,0.399590184,9290.623369,11660
2391,2391,7/16/2019 14:15,1310,V2,12,720,0.435916564,10135.22549,12720
2392,2392,7/16/2019 14:16,1310,V2,13,780,0.472242945,10979.82762,13780
2393,2393,7/16/2019 14:17,1330,V2,14,840,0.516333742,12004.95539,14840
2394,2394,7/16/2019 14:18,1445,V2,15,900,0.60104908,13974.61912,15900
2395,2395,7/16/2019 14:19,1555,V2,16,960,0.689923926,16040.99302,16960
2396,2396,7/16/2019 14:20,1630,V2,17,1020,0.7684,17865.5915,171020
2397,2397,7/16/2019 14:21,1645,V2,18,1080,0.821087117,19090.58695,181080
2398,2398,7/16/2019 14:22,1680,V2,19,1140,0.885143558,20579.92352,191140
2399,2399,7/16/2019 14:23,1690,V2,20,1200,0.937276074,21792.02428,201200
2400,2400,7/16/2019 14:24,1710,V2,21,1260,0.995786503,23152.41396,211260
2401,2401,7/16/2019 14:25,1715,V2,22,1320,1.046255215,24325.83065,221320
2402,2402,7/16/2019 14:26,1720,V2,23,1380,1.097001227,25505.69469,231380
2403,2403,7/16/2019 14:27,1705,V2,24,1440,1.13471411,26382.53354,241440
2404,2404,7/16/2019 14:28,1705,V2,25,1500,1.181993865,27481.80577,251500
2405,2405,7/16/2019 14:29,1685,V2,26,1560,1.214853988,28245.81608,261560
2406,2406,7/16/2019 14:30,1695,V2,27,1620,1.269066258,29506.27193,271620
2407,2407,7/16/2019 14:31,1690,V2,28,1680,1.312186503,30508.83399,281680
2408,2408,7/16/2019 14:32,1670,V2,29,1740,1.342966871,31224.48923,291740
2409,2409,7/16/2019 14:33,1670,V2,30,1800,1.389276074,32301.19575,301800
2410,2410,7/16/2019 14:34,1660,V2,31,1860,1.426988957,33178.0346,311860
2411,2411,7/16/2019 14:35,1670,V2,32,1920,1.481894479,34454.6088,321920
2412,2412,7/16/2019 14:36,1655,V2,33,1980,1.514477301,35212.17178,331980
2413,2413,7/16/2019 14:37,1650,V2,34,2040,1.555656442,36169.60243,342040
2414,2414,7/16/2019 14:38,1655,V2,35,2100,1.606263804,37346.24279,352100
2415,2415,7/16/2019 14:39,1635,V2,36,2160,1.632191411,37949.0695,362160
2416,2416,7/16/2019 14:40,1645,V2,37,2220,1.687790184,39241.76206,372220
2417,2417,7/16/2019 14:41,1645,V2,38,2280,1.733406135,40302.35023,382280
2418,2418,7/16/2019 14:42,1630,V2,39,2340,1.7628,40985.76874,392340
2419,2419,7/16/2019 14:43,1640,V2,40,2400,1.819092025,42294.57967,402400
2420,2420,7/16/2019 14:44,1660,V2,41,2460,1.887307975,43880.6264,412460
2421,2421,7/16/2019 14:45,1660,V2,42,2520,1.933339877,44950.88558,422520
2422,2422,7/16/2019 14:46,1655,V2,43,2580,1.973409816,45882.52686,432580
2423,2423,7/16/2019 14:47,1645,V2,44,2640,2.00710184,46665.87921,442640
2424,2424,7/16/2019 14:48,1650,V2,45,2700,2.058957055,47871.53263,452700
2425,2425,7/16/2019 14:49,1660,V2,46,2760,2.117467485,49231.92231,462760
2426,2426,7/16/2019 14:50,1645,V2,47,2820,2.143949693,49847.6437,472820
2427,2427,7/16/2019 14:51,1660,V2,48,2880,2.209531288,51372.44067,482880
2428,2428,7/16/2019 14:52,1655,V2,49,2940,2.248769325,52284.73991,492940
2429,2429,7/16/2019 14:53,1640,V2,50,3000,2.273865031,52868.22458,503000
2430,2430,7/16/2019 14:54,1655,V2,51,3060,2.340555828,54418.81093,513060
2431,2431,7/16/2019 14:55,1660,V2,52,3120,2.393658896,55653.47739,523120
2432,2432,7/16/2019 14:56,1645,V2,53,3180,2.417645399,56211.17269,533180
2433,2433,7/16/2019 14:57,1660,V2,54,3240,2.485722699,57793.99575,543240
2434,2434,7/16/2019 14:58,1640,V2,55,3300,2.501251534,58155.04704,553300
2435,2435,7/16/2019 14:59,1635,V2,56,3360,2.538964417,59031.88589,563360
2436,2436,7/16/2019 15:00,1645,V2,57,3420,2.600109202,60453.52534,573420
2437,2437,7/16/2019 15:01,1640,V2,58,3480,2.637683436,61327.14052,583480
2438,2438,7/16/2019 15:02,1650,V2,59,3540,2.699521472,62764.89833,593540
2439,2439,7/16/2019 15:03,1665,V2,60,3600,2.770233129,64408.97117,603600
2440,2440,7/16/2019 15:04,1650,V2,61,3660,2.791030675,64892.522,613660
2441,2441,7/16/2019 15:05,1660,V2,62,3720,2.853977914,66356.0692,623720
2442,2442,7/16/2019 15:06,1650,V2,63,3780,2.882539877,67020.14568,633780
2443,2443,7/16/2019 15:07,1650,V2,64,3840,2.928294479,68083.95751,643840
2444,2444,7/16/2019 15:08,1665,V2,65,3900,3.00108589,69776.38543,653900
