3 to 3090,,Channel 1,,,,
Date,Time,Voltage (V),Conc. CO2 (ppm),Time Elapsed,Discharge,Mol CO2
6/13/2019,11:57:43 AM,0.6125,6125,0,,
6/13/2019,11:57:48 AM,0.613,6130,5,,
6/13/2019,11:57:53 AM,0.6145,6145,10,,
6/13/2019,11:57:58 AM,0.615,6150,15,,
6/13/2019,11:58:03 AM,0.614,6140,20,,
6/13/2019,11:58:08 AM,0.6125,6125,25,,
6/13/2019,11:58:13 AM,0.6135,6135,30,,
6/13/2019,11:58:18 AM,0.614,6140,35,,
6/13/2019,11:58:23 AM,0.6145,6145,40,,
6/13/2019,11:58:28 AM,0.6135,6135,45,,
6/13/2019,11:58:33 AM,0.6135,6135,50,,
6/13/2019,11:58:38 AM,0.6145,6145,55,,
6/13/2019,11:58:43 AM,0.615,6150,60,,
6/13/2019,11:58:48 AM,0.6155,6155,65,,
6/13/2019,11:58:53 AM,0.6155,6155,70,,
6/13/2019,11:58:58 AM,0.6155,6155,75,,
6/13/2019,11:59:03 AM,0.615,6150,80,,
6/13/2019,11:59:08 AM,0.614,6140,85,,
6/13/2019,11:59:13 AM,0.613,6130,90,,
6/13/2019,11:59:18 AM,0.612,6120,95,,
6/13/2019,11:59:23 AM,0.6125,6125,100,,
6/13/2019,11:59:28 AM,0.613,6130,105,,
6/13/2019,11:59:33 AM,0.6135,6135,110,,
6/13/2019,11:59:38 AM,0.614,6140,115,,
6/13/2019,11:59:43 AM,0.616,6160,120,,
6/13/2019,11:59:48 AM,0.6165,6165,125,,
6/13/2019,11:59:53 AM,0.6155,6155,130,,
6/13/2019,11:59:58 AM,0.614,6140,135,,
6/13/2019,12:00:03 PM,0.614,6140,140,,
6/13/2019,12:00:08 PM,0.615,6150,145,,
6/13/2019,12:00:13 PM,0.617,6170,150,,
6/13/2019,12:00:18 PM,0.617,6170,155,,
6/13/2019,12:00:23 PM,0.617,6170,160,,
6/13/2019,12:00:28 PM,0.616,6160,165,,
6/13/2019,12:00:33 PM,0.6155,6155,170,,
6/13/2019,12:00:38 PM,0.6145,6145,175,,
6/13/2019,12:00:43 PM,0.6145,6145,180,,
6/13/2019,12:00:48 PM,0.6155,6155,185,,
6/13/2019,12:00:53 PM,0.617,6170,190,,
6/13/2019,12:00:58 PM,0.6175,6175,195,,
6/13/2019,12:01:03 PM,0.6175,6175,200,,
6/13/2019,12:01:08 PM,0.6165,6165,205,,
6/13/2019,12:01:13 PM,0.6155,6155,210,,
6/13/2019,12:01:18 PM,0.615,6150,215,,
6/13/2019,12:01:23 PM,0.6155,6155,220,,
6/13/2019,12:01:28 PM,0.6155,6155,225,,
6/13/2019,12:01:33 PM,0.6155,6155,230,,
6/13/2019,12:01:38 PM,0.615,6150,235,,
6/13/2019,12:01:43 PM,0.6165,6165,240,,
6/13/2019,12:01:48 PM,0.618,6180,245,,
6/13/2019,12:01:53 PM,0.619,6190,250,,
6/13/2019,12:01:58 PM,0.62,6200,255,,
6/13/2019,12:02:03 PM,0.62,6200,260,,
6/13/2019,12:02:08 PM,0.6195,6195,265,,
6/13/2019,12:02:13 PM,0.618,6180,270,,
6/13/2019,12:02:18 PM,0.618,6180,275,,
6/13/2019,12:02:23 PM,0.619,6190,280,,
6/13/2019,12:02:28 PM,0.619,6190,285,,
6/13/2019,12:02:33 PM,0.619,6190,290,,
6/13/2019,12:02:38 PM,0.6195,6195,295,,
6/13/2019,12:02:43 PM,0.62,6200,300,,
6/13/2019,12:02:48 PM,0.62,6200,305,,
6/13/2019,12:02:53 PM,0.62,6200,310,,
6/13/2019,12:02:58 PM,0.621,6210,315,,
6/13/2019,12:03:03 PM,0.6215,6215,320,,
6/13/2019,12:03:08 PM,0.6205,6205,325,,
6/13/2019,12:03:13 PM,0.6185,6185,330,,
6/13/2019,12:03:18 PM,0.616,6160,335,,
6/13/2019,12:03:23 PM,0.614,6140,340,,
6/13/2019,12:03:28 PM,0.6135,6135,345,,
6/13/2019,12:03:33 PM,0.613,6130,350,,
6/13/2019,12:03:38 PM,0.613,6130,355,,
6/13/2019,12:03:43 PM,0.613,6130,360,,
6/13/2019,12:03:48 PM,0.612,6120,365,,
6/13/2019,12:03:53 PM,0.6125,6125,370,,
6/13/2019,12:03:58 PM,0.613,6130,375,,
6/13/2019,12:04:03 PM,0.6135,6135,380,,
6/13/2019,12:04:08 PM,0.613,6130,385,,
6/13/2019,12:04:13 PM,0.6125,6125,390,,
6/13/2019,12:04:18 PM,0.613,6130,395,,
6/13/2019,12:04:23 PM,0.6145,6145,400,,
6/13/2019,12:04:28 PM,0.6155,6155,405,,
6/13/2019,12:04:33 PM,0.6155,6155,410,,
6/13/2019,12:04:38 PM,0.615,6150,415,,
6/13/2019,12:04:43 PM,0.6155,6155,420,,
6/13/2019,12:04:48 PM,0.6155,6155,425,,
6/13/2019,12:04:53 PM,0.6155,6155,430,,
6/13/2019,12:04:58 PM,0.6155,6155,435,,
6/13/2019,12:05:03 PM,0.616,6160,440,,
6/13/2019,12:05:08 PM,0.6155,6155,445,,
6/13/2019,12:05:13 PM,0.615,6150,450,,
6/13/2019,12:05:18 PM,0.6155,6155,455,,
6/13/2019,12:05:23 PM,0.617,6170,460,,
6/13/2019,12:05:28 PM,0.617,6170,465,,
6/13/2019,12:05:33 PM,0.6165,6165,470,,
6/13/2019,12:05:38 PM,0.616,6160,475,,
6/13/2019,12:05:43 PM,0.617,6170,480,,
6/13/2019,12:05:48 PM,0.617,6170,485,,
6/13/2019,12:05:53 PM,0.615,6150,490,,
6/13/2019,12:05:58 PM,0.614,6140,495,,
6/13/2019,12:06:03 PM,0.6145,6145,500,,
6/13/2019,12:06:08 PM,0.615,6150,505,,
6/13/2019,12:06:13 PM,0.615,6150,510,,
6/13/2019,12:06:18 PM,0.6155,6155,515,,
6/13/2019,12:06:23 PM,0.6155,6155,520,,
6/13/2019,12:06:28 PM,0.6155,6155,525,,
6/13/2019,12:06:33 PM,0.6145,6145,530,,
6/13/2019,12:06:38 PM,0.615,6150,535,,
6/13/2019,12:06:43 PM,0.615,6150,540,,
6/13/2019,12:06:48 PM,0.6145,6145,545,,
6/13/2019,12:06:53 PM,0.613,6130,550,,
6/13/2019,12:06:58 PM,0.6125,6125,555,,
6/13/2019,12:07:03 PM,0.613,6130,560,,
6/13/2019,12:07:08 PM,0.6145,6145,565,,
6/13/2019,12:07:13 PM,0.6155,6155,570,,
6/13/2019,12:07:18 PM,0.617,6170,575,,
6/13/2019,12:07:23 PM,0.617,6170,580,,
6/13/2019,12:07:28 PM,0.617,6170,585,,
6/13/2019,12:07:33 PM,0.6175,6175,590,,
6/13/2019,12:07:38 PM,0.6175,6175,595,,
6/13/2019,12:07:43 PM,0.6175,6175,600,,
6/13/2019,12:07:48 PM,0.6165,6165,605,,
6/13/2019,12:07:53 PM,0.616,6160,610,,
6/13/2019,12:07:58 PM,0.616,6160,615,,
6/13/2019,12:08:03 PM,0.6165,6165,620,,
6/13/2019,12:08:08 PM,0.616,6160,625,,
6/13/2019,12:08:13 PM,0.615,6150,630,,
6/13/2019,12:08:18 PM,0.614,6140,635,,
6/13/2019,12:08:23 PM,0.614,6140,640,,
6/13/2019,12:08:28 PM,0.6135,6135,645,,
6/13/2019,12:08:33 PM,0.6135,6135,650,,
6/13/2019,12:08:38 PM,0.614,6140,655,,
6/13/2019,12:08:43 PM,0.615,6150,660,,
6/13/2019,12:08:48 PM,0.6155,6155,665,,
6/13/2019,12:08:53 PM,0.6165,6165,670,,
6/13/2019,12:08:58 PM,0.6175,6175,675,,
6/13/2019,12:09:03 PM,0.618,6180,680,,
6/13/2019,12:09:08 PM,0.6175,6175,685,,
6/13/2019,12:09:13 PM,0.617,6170,690,,
6/13/2019,12:09:18 PM,0.617,6170,695,,
6/13/2019,12:09:23 PM,0.6175,6175,700,,
6/13/2019,12:09:28 PM,0.6185,6185,705,,
6/13/2019,12:09:33 PM,0.6195,6195,710,,
6/13/2019,12:09:38 PM,0.621,6210,715,,
6/13/2019,12:09:43 PM,0.621,6210,720,,
6/13/2019,12:09:48 PM,0.62,6200,725,,
6/13/2019,12:09:53 PM,0.6185,6185,730,,
6/13/2019,12:09:58 PM,0.6175,6175,735,,
6/13/2019,12:10:03 PM,0.6165,6165,740,,
6/13/2019,12:10:08 PM,0.616,6160,745,,
6/13/2019,12:10:13 PM,0.616,6160,750,,
6/13/2019,12:10:18 PM,0.6165,6165,755,,
6/13/2019,12:10:23 PM,0.6165,6165,760,,
6/13/2019,12:10:28 PM,0.6155,6155,765,,
6/13/2019,12:10:33 PM,0.614,6140,770,,
6/13/2019,12:10:38 PM,0.6135,6135,775,,
6/13/2019,12:10:43 PM,0.614,6140,780,,
6/13/2019,12:10:48 PM,0.6145,6145,785,,
6/13/2019,12:10:53 PM,0.6155,6155,790,,
6/13/2019,12:10:58 PM,0.6155,6155,795,,
6/13/2019,12:11:03 PM,0.6155,6155,800,,
6/13/2019,12:11:08 PM,0.615,6150,805,,
6/13/2019,12:11:13 PM,0.615,6150,810,,
6/13/2019,12:11:18 PM,0.615,6150,815,,
6/13/2019,12:11:23 PM,0.6155,6155,820,,
6/13/2019,12:11:28 PM,0.617,6170,825,,
6/13/2019,12:11:33 PM,0.6175,6175,830,,
6/13/2019,12:11:38 PM,0.6185,6185,835,,
6/13/2019,12:11:43 PM,0.6185,6185,840,,
6/13/2019,12:11:48 PM,0.618,6180,845,,
6/13/2019,12:11:53 PM,0.6175,6175,850,,
6/13/2019,12:11:58 PM,0.617,6170,855,,
6/13/2019,12:12:03 PM,0.6165,6165,860,,
6/13/2019,12:12:08 PM,0.6155,6155,865,,
6/13/2019,12:12:13 PM,0.616,6160,870,,
6/13/2019,12:12:18 PM,0.617,6170,875,,
6/13/2019,12:12:23 PM,0.6185,6185,880,,
6/13/2019,12:12:28 PM,0.619,6190,885,,
6/13/2019,12:12:33 PM,0.619,6190,890,,
6/13/2019,12:12:38 PM,0.6195,6195,895,,
6/13/2019,12:12:43 PM,0.621,6210,900,,
6/13/2019,12:12:48 PM,0.6205,6205,905,,
6/13/2019,12:12:53 PM,0.6205,6205,910,,
6/13/2019,12:12:58 PM,0.621,6210,915,,
6/13/2019,12:13:03 PM,0.621,6210,920,,
6/13/2019,12:13:08 PM,0.621,6210,925,,
6/13/2019,12:13:13 PM,0.6215,6215,930,,
6/13/2019,12:13:18 PM,0.6215,6215,935,,
6/13/2019,12:13:23 PM,0.6215,6215,940,,
6/13/2019,12:13:28 PM,0.6205,6205,945,,
6/13/2019,12:13:33 PM,0.62,6200,950,,
6/13/2019,12:13:38 PM,0.619,6190,955,,
6/13/2019,12:13:43 PM,0.618,6180,960,,
6/13/2019,12:13:48 PM,0.616,6160,965,,
6/13/2019,12:13:53 PM,0.615,6150,970,,
6/13/2019,12:13:58 PM,0.6145,6145,975,,
6/13/2019,12:14:03 PM,0.6145,6145,980,,
6/13/2019,12:14:08 PM,0.6135,6135,985,,
6/13/2019,12:14:13 PM,0.6135,6135,990,,
6/13/2019,12:14:18 PM,0.6145,6145,995,,
6/13/2019,12:14:23 PM,0.615,6150,1000,,
6/13/2019,12:14:28 PM,0.6155,6155,1005,,
6/13/2019,12:14:33 PM,0.6155,6155,1010,,
6/13/2019,12:14:38 PM,0.6155,6155,1015,,
6/13/2019,12:14:43 PM,0.6165,6165,1020,,
6/13/2019,12:14:48 PM,0.6165,6165,1025,,
6/13/2019,12:14:53 PM,0.617,6170,1030,,
6/13/2019,12:14:58 PM,0.617,6170,1035,,
6/13/2019,12:15:03 PM,0.6165,6165,1040,,
6/13/2019,12:15:08 PM,0.6155,6155,1045,,
6/13/2019,12:15:13 PM,0.6155,6155,1050,,
6/13/2019,12:15:18 PM,0.6155,6155,1055,,
6/13/2019,12:15:23 PM,0.6145,6145,1060,,
6/13/2019,12:15:28 PM,0.613,6130,1065,,
6/13/2019,12:15:33 PM,0.6135,6135,1070,,
6/13/2019,12:15:38 PM,0.614,6140,1075,,
6/13/2019,12:15:43 PM,0.615,6150,1080,,
6/13/2019,12:15:48 PM,0.615,6150,1085,,
6/13/2019,12:15:53 PM,0.615,6150,1090,,
6/13/2019,12:15:58 PM,0.6145,6145,1095,,
6/13/2019,12:16:03 PM,0.614,6140,1100,,
6/13/2019,12:16:08 PM,0.615,6150,1105,,
6/13/2019,12:16:13 PM,0.616,6160,1110,,
6/13/2019,12:16:18 PM,0.6165,6165,1115,,
6/13/2019,12:16:23 PM,0.616,6160,1120,,
6/13/2019,12:16:28 PM,0.614,6140,1125,,
6/13/2019,12:16:33 PM,0.613,6130,1130,,
6/13/2019,12:16:38 PM,0.612,6120,1135,,
6/13/2019,12:16:43 PM,0.612,6120,1140,,
6/13/2019,12:16:48 PM,0.6115,6115,1145,,
6/13/2019,12:16:53 PM,0.612,6120,1150,,
6/13/2019,12:16:58 PM,0.613,6130,1155,,
6/13/2019,12:17:03 PM,0.6125,6125,1160,,
6/13/2019,12:17:08 PM,0.612,6120,1165,,
6/13/2019,12:17:13 PM,0.6125,6125,1170,,
6/13/2019,12:17:18 PM,0.614,6140,1175,,
6/13/2019,12:17:23 PM,0.615,6150,1180,,
6/13/2019,12:17:28 PM,0.6155,6155,1185,,
6/13/2019,12:17:33 PM,0.615,6150,1190,,
6/13/2019,12:17:38 PM,0.6145,6145,1195,,
6/13/2019,12:17:43 PM,0.614,6140,1200,,
6/13/2019,12:17:48 PM,0.615,6150,1205,,
6/13/2019,12:17:53 PM,0.616,6160,1210,,
6/13/2019,12:17:58 PM,0.617,6170,1215,,
6/13/2019,12:18:03 PM,0.6175,6175,1220,,
6/13/2019,12:18:08 PM,0.617,6170,1225,,
6/13/2019,12:18:13 PM,0.616,6160,1230,,
6/13/2019,12:18:18 PM,0.615,6150,1235,,
6/13/2019,12:18:23 PM,0.6145,6145,1240,,
6/13/2019,12:18:28 PM,0.615,6150,1245,,
