M/D/Y,C,mS/cm,mg/L,pH,mV,mV,psi
06/13/19 11:24:03,18.81,0.132,9.73,4.84,119.2,330,14.41
06/13/19 11:26:03,17.91,0.144,7.86,6.64,79.2,230,14.41
06/13/19 11:28:03,17.92,0.144,7.8,7.04,70.4,214,14.41
06/13/19 11:30:03,17.93,0.144,7.8,7.27,65.3,202,14.42
06/13/19 11:32:03,17.93,0.144,7.8,7.39,62.6,195,14.42
06/13/19 11:34:03,17.94,0.144,7.79,7.43,61.7,190,14.43
06/13/19 11:36:03,17.95,0.144,7.74,7.47,60.8,185,14.44
06/13/19 11:38:03,17.96,0.144,7.76,7.48,60.5,182,14.44
06/13/19 11:40:03,17.96,0.144,7.76,7.47,60.7,179,14.43
06/13/19 11:42:03,17.98,0.144,7.75,7.48,60.6,176,14.43
06/13/19 11:44:03,17.98,0.144,7.7,7.48,60.6,174,14.43
06/13/19 12:50:58,18.39,0.145,7.88,6.65,78.9,213,14.42
06/13/19 12:52:58,18.4,0.145,7.77,7,71.2,196,14.42
06/13/19 12:54:58,18.41,0.144,7.82,7.16,67.7,188,14.42
06/13/19 12:56:58,18.42,0.144,7.78,7.25,65.6,184,14.42
06/13/19 12:58:58,18.43,0.144,7.8,7.3,64.5,180,14.42
06/13/19 13:00:58,18.44,0.144,7.79,7.33,63.9,178,14.42
06/13/19 13:02:58,18.45,0.143,7.81,7.34,63.6,177,14.42
06/13/19 13:04:58,18.47,0.143,7.81,7.37,62.9,175,14.42
06/13/19 13:06:58,18.49,0.143,7.82,7.37,63,174,14.42
06/13/19 13:08:58,18.5,0.143,7.83,7.39,62.6,173,14.43
06/13/19 13:10:58,18.52,0.143,7.82,7.39,62.5,172,14.43
06/13/19 13:12:58,18.52,0.143,7.86,7.38,62.7,172,14.43
06/13/19 13:14:58,18.53,0.142,7.85,7.37,62.9,171,14.43
06/13/19 13:16:58,18.54,0.142,7.86,7.38,62.8,171,14.43
06/13/19 13:18:58,18.55,0.142,7.86,7.36,63.2,171,14.43
06/13/19 13:20:58,18.56,0.142,7.86,7.37,63,171,14.43
06/13/19 13:22:58,18.58,0.142,7.87,7.35,63.4,170,14.42
06/13/19 13:24:58,18.61,0.142,7.88,7.35,63.4,170,14.42
06/13/19 13:26:58,18.63,0.142,7.85,7.36,63.2,170,14.43
06/13/19 13:28:58,18.64,0.141,7.89,7.32,64,171,14.42
06/13/19 13:30:58,18.66,0.141,7.85,7.34,63.5,170,14.42
06/13/19 13:32:58,18.67,0.141,7.87,7.34,63.7,171,14.43
06/13/19 13:34:58,18.68,0.141,7.9,7.33,63.9,171,14.43
06/13/19 13:36:58,18.69,0.141,7.84,7.33,63.9,171,14.42
06/13/19 13:38:58,18.69,0.141,7.89,7.33,63.8,171,14.42
06/13/19 13:40:58,18.7,0.141,7.89,7.29,64.8,172,14.43
06/13/19 13:42:58,18.71,0.14,7.87,7.3,64.5,172,14.42
06/13/19 13:44:58,18.71,0.14,7.88,7.28,64.9,172,14.43
06/13/19 13:46:58,18.72,0.14,7.87,7.27,65.2,174,14.42
06/13/19 13:48:58,18.73,0.14,7.85,7.22,66.2,176,14.42
06/13/19 13:50:58,18.74,0.14,7.87,7.15,67.9,179,14.42
06/13/19 13:52:58,18.75,0.14,7.84,7.14,68.1,181,14.42
06/13/19 13:54:58,18.76,0.14,7.84,7.11,68.7,183,14.43
06/13/19 13:56:58,18.77,0.14,7.81,7.02,70.8,186,14.43
06/13/19 13:58:58,18.78,0.14,7.82,7.03,70.6,187,14.43
06/13/19 14:00:58,18.8,0.14,7.82,7.05,70.1,186,14.43
06/13/19 14:02:58,18.81,0.14,7.8,7.03,70.5,186,14.43
06/13/19 14:04:58,18.82,0.14,7.82,7.1,69,184,14.43
06/13/19 14:06:58,18.84,0.139,7.81,7.11,68.7,182,14.43
06/13/19 14:08:58,18.85,0.139,7.83,7.16,67.7,180,14.43
06/13/19 14:10:58,18.87,0.139,7.81,7.17,67.4,178,14.43
06/13/19 14:12:58,18.88,0.139,7.8,7.17,67.3,177,14.43
06/13/19 14:14:58,18.89,0.139,7.77,7.19,66.9,177,14.43
06/13/19 14:16:58,18.91,0.139,7.83,7.19,67,176,14.43
06/13/19 14:18:58,18.91,0.139,7.8,7.17,67.3,177,14.43
06/13/19 14:20:58,18.93,0.139,7.79,7.17,67.5,178,14.44
06/13/19 14:22:58,18.95,0.139,7.8,7.15,67.8,178,14.44
06/13/19 14:24:58,18.97,0.139,7.76,7.16,67.6,178,14.44
06/13/19 14:26:58,18.98,0.139,7.77,7.15,67.9,179,14.44
06/13/19 14:28:58,18.99,0.139,7.78,7.14,68,179,14.44
06/13/19 14:30:58,19,0.139,7.74,7.14,68.1,179,14.44
06/13/19 14:32:58,19,0.14,7.73,7.14,68.2,180,14.44
06/13/19 14:34:58,19.02,0.14,7.77,7.14,68,180,14.44
06/13/19 14:36:58,19.03,0.14,7.74,7.15,67.9,179,14.44
06/13/19 14:38:58,19.04,0.14,7.73,7.16,67.6,179,14.44
06/13/19 14:40:58,19.05,0.14,7.7,7.17,67.4,179,14.44
06/13/19 14:42:58,19.04,0.14,7.72,7.16,67.5,179,14.44
06/13/19 14:44:58,19.05,0.14,7.71,7.16,67.7,179,14.44
06/13/19 14:46:58,19.06,0.14,7.7,7.16,67.7,179,14.43
06/13/19 14:48:58,19.07,0.14,7.69,7.13,68.3,180,14.43
06/13/19 14:50:58,19.08,0.14,7.7,7.17,67.5,179,14.43
06/13/19 14:52:58,19.09,0.14,7.69,7.17,67.4,179,14.43
06/13/19 14:54:58,19.09,0.14,7.65,7.18,67.1,178,14.43
06/13/19 14:56:58,19.08,0.14,7.63,7.19,67,178,14.43
06/13/19 14:58:58,19.1,0.141,7.61,7.19,67,177,14.43
06/13/19 15:00:58,19.1,0.141,7.66,7.22,66.3,176,14.43
06/13/19 15:02:58,19.12,0.141,7.67,7.27,65.2,174,14.43
06/13/19 15:04:58,19.13,0.141,7.67,7.28,64.9,173,14.43
06/13/19 15:12:54,19.16,0.141,19.9,6.86,74.3,180,14.43
06/13/19 15:14:54,19.16,0.141,7.86,7.36,63.1,171,14.43
