Time,pH,[H+]
16:15,3.5,0.000316228
16:16,3.6,0.000251189
16:17,3.65,0.000223872
16:18,3.68,0.00020893
16:19,3.71,0.000194984
16:20,3.77,0.000169824
16:21,3.82,0.000151356
16:22,3.88,0.000131826
16:23,3.93,0.00011749
16:24,3.98,0.000104713
16:25,4,0.0001
16:26,4.06,8.70964E-05
16:27,4.11,7.76247E-05
16:28,4.16,6.91831E-05
16:29,4.19,6.45654E-05
16:30,4.23,5.88844E-05
16:31,4.26,5.49541E-05
16:32,4.22,6.0256E-05
16:33,4.18,6.60693E-05
16:34,4.18,6.60693E-05
16:35,4.21,6.16595E-05
16:36,4.25,5.62341E-05
16:37,4.29,5.12861E-05
16:38,4.33,4.67735E-05
16:39,4.38,4.16869E-05
16:40,4.42,3.80189E-05
16:41,4.46,3.46737E-05
16:42,4.5,3.16228E-05
16:43,4.54,2.88403E-05
16:44,4.58,2.63027E-05
16:45,4.61,2.45471E-05
16:46,4.64,2.29087E-05
16:47,4.68,2.0893E-05
16:48,4.71,1.94984E-05
16:48,4.73,1.86209E-05
16:50,4.76,1.7378E-05
16:51,4.79,1.62181E-05
16:52,4.82,1.51356E-05
16:53,4.86,1.38038E-05
16:54,4.88,1.31826E-05
16:55,4.92,1.20226E-05
16:56,4.95,1.12202E-05
16:57,4.97,1.07152E-05
16:58,5,0.00001
16:59,5.03,9.33254E-06
17:00,5.05,8.91251E-06
17:01,5.09,8.12831E-06
17:02,5.12,7.58578E-06
17:03,5.15,7.07946E-06
17:04,5.18,6.60693E-06
17:05,5.2,6.30957E-06
17:06,5.23,5.88844E-06
17:07,5.25,5.62341E-06
17:08,5.28,5.24807E-06
17:09,5.31,4.89779E-06
17:10,5.33,4.67735E-06
17:11,5.36,4.36516E-06
17:12,5.39,4.0738E-06
17:13,5.42,3.80189E-06
17:14,5.44,3.63078E-06
17:15,5.46,3.46737E-06
17:16,5.48,3.31131E-06
17:17,5.51,3.0903E-06
17:18,5.53,2.95121E-06
17:19,5.56,2.75423E-06
17:20,5.58,2.63027E-06
17:21,5.6,2.51189E-06
17:22,5.62,2.39883E-06
17:23,5.64,2.29087E-06
17:24,5.69,2.04174E-06
17:25,5.72,1.90546E-06
17:26,5.73,1.86209E-06
17:27,5.75,1.77828E-06
17:28,5.78,1.65959E-06
17:29,5.8,1.58489E-06
17:30,5.83,1.47911E-06
17:31,5.84,1.44544E-06
17:32,5.86,1.38038E-06
17:33,5.89,1.28825E-06
17:34,5.9,1.25893E-06
17:35,5.93,1.1749E-06
17:36,5.95,1.12202E-06
17:37,5.98,1.04713E-06
17:38,5.99,1.02329E-06
17:39,6.01,9.77237E-07
17:40,6.05,8.91251E-07
17:41,6.08,8.31764E-07
17:42,6.1,7.94328E-07
17:43,6.12,7.58578E-07
17:44,6.14,7.24436E-07
17:45,6.16,6.91831E-07
17:46,6.17,6.76083E-07
17:47,6.19,6.45654E-07
17:48,6.22,6.0256E-07
17:49,6.23,5.88844E-07
17:50,6.26,5.49541E-07
17:51,6.28,5.24807E-07
17:52,6.31,4.89779E-07
17:53,6.33,4.67735E-07
17:54,6.33,4.67735E-07
17:55,6.37,4.2658E-07
17:56,6.4,3.98107E-07
17:57,6.41,3.89045E-07
17:58,6.42,3.80189E-07
17:59,6.44,3.63078E-07
18:00,6.46,3.46737E-07
18:01,6.48,3.31131E-07
18:02,6.5,3.16228E-07
18:03,6.52,3.01995E-07
18:04,6.55,2.81838E-07
18:05,6.57,2.69153E-07
18:06,6.59,2.5704E-07
18:08,6.62,2.39883E-07
18:09,6.64,2.29087E-07
18:10,6.65,2.23872E-07
18:11,6.68,2.0893E-07
18:12,6.69,2.04174E-07
18:13,6.73,1.86209E-07
18:14,6.74,1.8197E-07
18:15,6.76,1.7378E-07
18:16,6.78,1.65959E-07
18:17,6.8,1.58489E-07
18:18,6.82,1.51356E-07
18:19,6.85,1.41254E-07
18:20,6.88,1.31826E-07
18:23,6.91,1.23027E-07
18:24,6.94,1.14815E-07
18:25,6.95,1.12202E-07
18:26,6.97,1.07152E-07
18:27,6.99,1.02329E-07
18:28,6.99,1.02329E-07
18:29,7.01,9.77237E-08
18:30,7.03,9.33254E-08
18:31,7.05,8.91251E-08
18:32,7.07,8.51138E-08
18:34,7.11,7.76247E-08
18:39,6.92,1.20226E-07
18:44,7.07,8.51138E-08
18:49,7.19,6.45654E-08
18:54,7.3,5.01187E-08
18:59,7.41,3.89045E-08
19:09,7.56,2.75423E-08
19:24,7.8,1.58489E-08
19:39,8.03,9.33254E-09
19:41,8.12,7.58578E-09
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
