"","DateTime","Flux_1","Temp_C_1","CO2_Soil_1","CO2_Soil_STD_1","CO2_ATM_1","CO2_ATM_STD_1","Mode_1","Flux_2","Temp_C_2","CO2_Soil_2","CO2_Soil_STD_2","CO2_ATM_2","CO2_ATM_STD_2","Mode_2"
"1",2019-07-11 13:15:00,1.43,29,351.92,4.975,270.88,3.432,1.75893,0.04,33.1,-14.67,4.753,-16.46,1.987,0
"2",2019-07-11 13:30:00,1.28,29.1,347.46,3.99,274.7,5.442,1.7591,-0.08,34.6,-13.24,4.941,-9.43,2.777,0
"3",2019-07-11 13:45:00,1.21,29.2,346.49,5.152,278.02,6.632,1.75918,-0.05,34.1,-2.91,2.632,-0.34,3.262,0
"4",2019-07-11 14:00:00,1.3,29,348.43,4.951,274.81,4.972,1.7588,0.05,33.6,12.21,2.48,9.83,3.335,0
"5",2019-07-11 14:15:00,1.3,27.8,349.66,2.688,275.98,4.72,1.75772,0.14,31.9,13.94,2.211,6.78,3.511,0
"6",2019-07-11 14:30:00,1.32,26.5,347.3,2.692,272.61,2.121,1.75614,0.02,29.7,16.95,2.863,16.04,3.014,0
"7",2019-07-11 14:45:00,1.3,25.3,348.57,4.235,275.01,2.786,1.75551,0.09,27.4,19.66,3.301,14.94,2.216,0
"8",2019-07-11 15:00:00,1.32,24.2,355.09,5.948,280.15,4.247,1.75401,0.05,25.7,25.14,3.887,22.79,1.139,0
"9",2019-07-11 15:15:00,1.52,23.2,362.36,5.234,276.11,3.942,1.75326,0.03,24.2,26.4,3.051,24.89,2.332,0
"10",2019-07-11 15:30:00,1.48,22.3,362.98,4.78,278.74,4.002,1.75276,0.13,23,31.98,1.507,25.5,1.469,0
"11",2019-07-11 15:45:00,1.49,21.8,362.42,2.633,277.65,5.431,1.75297,0.01,22.6,29.44,2.737,28.87,2.748,0
"12",2019-07-11 16:00:00,1.51,21.7,369.71,5.526,283.96,5.514,1.75297,0.03,22.6,36.86,2.299,35.12,1.956,0
"13",2019-07-11 16:15:00,1.5,21.3,365.4,4.437,279.98,4.785,1.75293,0.04,21.9,33.83,1.575,31.89,3.289,0
"14",2019-07-11 16:30:00,1.6,20.8,373.66,5.16,282.85,5.615,1.75189,0.07,21.4,36.31,3.642,32.75,0.996,0
"15",2019-07-11 16:45:00,1.64,20.3,376.68,6.535,283.65,7.122,1.75168,0.12,20.7,40.65,2.296,34.57,4.149,0
"16",2019-07-11 17:00:00,1.62,20.2,375.89,5.413,284.03,2.902,1.75214,0.09,20.7,39.78,1.463,35.43,3.064,0
"17",2019-07-11 17:15:00,1.72,20.1,382.85,7.711,284.95,6.803,1.75189,0.05,20.4,41.86,2.349,39.35,2.388,0
"18",2019-07-11 17:30:00,1.62,19.6,377.76,7.063,286.02,5.678,1.75093,-0.04,19.7,40.64,2.918,42.82,1.736,0
"19",2019-07-11 17:45:00,1.79,18.9,387.66,6.244,286.13,5.742,1.75022,0.05,18.8,42.07,4.502,39.68,2.957,0
"20",2019-07-11 18:00:00,1.93,18.2,398.09,7.908,288.32,6.11,1.74993,0.1,18.1,44.79,2.425,39.76,0.93,0
"21",2019-07-11 18:15:00,1.92,17.7,403.03,7.512,293.93,5.936,1.74939,0.04,17.5,46.19,2.031,44.41,2.629,0
"22",2019-07-11 18:30:00,1.99,17.2,406.92,5.799,293.9,4.845,1.74885,0.05,17,45.53,1.613,43.13,1.96,0
"23",2019-07-11 18:45:00,1.98,16.6,405.98,6.007,293.69,5.035,1.74843,0,16.4,46.66,3.527,46.7,3.551,0
"24",2019-07-11 19:00:00,2.08,16.3,415.84,8.309,297.51,5.504,1.74843,0.09,16.1,49.39,1.305,44.94,2.001,0
"25",2019-07-11 19:15:00,2.21,16,422.58,8.08,297.03,4.533,1.7483,0.14,15.9,54.26,2.854,47.04,1.41,0
