"","Date","Time","ms","LEVEL","TEMPERATURE"
"1","6/18/2019","10:55:11 am",0,10.1815,25.946
"2","6/18/2019","11:00:11 am",0,10.1778,27.818
"3","6/18/2019","11:05:11 am",0,10.231,20.556
"4","6/18/2019","11:10:11 am",0,10.2312,20.245
"5","6/18/2019","11:15:11 am",0,10.2324,20.26
"6","6/18/2019","11:20:11 am",0,10.2323,20.278
"7","6/18/2019","11:25:11 am",0,10.2325,20.31
"8","6/18/2019","11:30:11 am",0,10.2322,20.342
"9","6/18/2019","11:35:11 am",0,10.232,20.287
"10","6/18/2019","11:40:11 am",0,10.2317,20.288
"11","6/18/2019","11:45:11 am",0,10.2321,20.357
"12","6/18/2019","11:50:11 am",0,10.2324,20.382
"13","6/18/2019","11:55:11 am",0,10.233,20.417
"14","6/18/2019","12:00:11 pm",0,10.2322,20.473
"15","6/18/2019","12:05:11 pm",0,10.2321,20.455
"16","6/18/2019","12:10:11 pm",0,10.2318,20.484
"17","6/18/2019","12:15:11 pm",0,10.2324,20.52
"18","6/18/2019","12:20:11 pm",0,10.2318,20.529
"19","6/18/2019","12:25:11 pm",0,10.2322,20.523
"20","6/18/2019","12:30:11 pm",0,10.2315,20.611
"21","6/18/2019","12:35:11 pm",0,10.2317,20.603
"22","6/18/2019","12:40:11 pm",0,10.2308,20.631
"23","6/18/2019","12:45:11 pm",0,10.2307,20.616
"24","6/18/2019","12:50:11 pm",0,10.23,20.649
"25","6/18/2019","12:55:11 pm",0,10.23,20.694
"26","6/18/2019","01:00:11 pm",0,10.2293,20.724
"27","6/18/2019","01:05:11 pm",0,10.2289,20.716
"28","6/18/2019","01:10:11 pm",0,10.2281,20.746
"29","6/18/2019","01:15:11 pm",0,10.2276,20.773
"30","6/18/2019","01:20:11 pm",0,10.227,20.803
"31","6/18/2019","01:25:11 pm",0,10.2264,20.839
"32","6/18/2019","01:30:11 pm",0,10.2275,20.942
"33","6/18/2019","01:35:11 pm",0,10.2304,20.909
"34","6/18/2019","01:40:11 pm",0,10.2329,20.839
"35","6/18/2019","01:45:11 pm",0,10.2339,20.832
"36","6/18/2019","01:50:11 pm",0,10.2359,20.884
"37","6/18/2019","01:55:11 pm",0,10.2347,20.811
"38","6/18/2019","02:00:11 pm",0,10.2352,20.856
"39","6/18/2019","02:05:11 pm",0,10.2363,20.884
"40","6/18/2019","02:10:11 pm",0,10.2357,20.937
"41","6/18/2019","02:15:11 pm",0,10.2348,20.989
"42","6/18/2019","02:20:11 pm",0,10.2342,20.999
"43","6/18/2019","02:25:11 pm",0,10.233,21.074
"44","6/18/2019","02:30:11 pm",0,10.2311,21.107
"45","6/18/2019","02:35:11 pm",0,10.2309,21.125
"46","6/18/2019","02:40:11 pm",0,10.1611,23.922
"47","6/18/2019","02:45:11 pm",0,10.1595,25.971
"48","6/18/2019","02:50:11 pm",0,10.1448,26.871
"49","6/18/2019","02:55:11 pm",0,10.1422,27.851
"50","6/18/2019","03:00:11 pm",0,10.1413,28.44
"51","6/18/2019","03:05:11 pm",0,10.1393,28.836
"52","6/18/2019","03:10:11 pm",0,10.1386,29.116
"53","6/18/2019","03:15:11 pm",0,10.145,29.39
"54","6/18/2019","03:20:11 pm",0,10.1397,29.735
"55","6/18/2019","03:25:11 pm",0,10.1494,30.141
"56","6/18/2019","03:30:11 pm",0,10.1483,30.542
"57","6/18/2019","03:35:11 pm",0,10.1487,30.838
"58","6/18/2019","03:40:11 pm",0,10.1389,30.615
"59","6/18/2019","03:45:11 pm",0,10.1411,28.927
"60","6/18/2019","03:50:11 pm",0,10.1418,27.611
"61","6/18/2019","03:55:11 pm",0,10.1428,26.567
"62","6/18/2019","04:00:11 pm",0,10.1423,25.803
"63","6/18/2019","04:05:11 pm",0,10.1409,25.208
"64","6/18/2019","04:10:11 pm",0,10.1404,24.701
"65","6/18/2019","04:15:11 pm",0,10.1403,24.258
