"","DATE","TIME","X12CO2","Delta_Raw_iCO2"
"1","2019-07-17","14:48:44.740",432.64559053,-9.8900864939
"2","2019-07-17","14:48:45.961",432.64559053,-9.8900864939
"3","2019-07-17","14:48:46.500",432.79139725,-9.8900864939
"4","2019-07-17","14:48:47.033",432.79139725,-8.6785676966
"5","2019-07-17","14:48:48.247",432.79139725,-8.6785676966
"6","2019-07-17","14:48:49.453",432.79139725,-8.6785676966
"7","2019-07-17","14:48:49.999",432.96182907,-8.6785676966
"8","2019-07-17","14:48:50.532",432.96182907,-8.4659241122
"9","2019-07-17","14:48:51.753",432.96182907,-8.4659241122
"10","2019-07-17","14:48:52.960",432.96182907,-8.4659241122
"11","2019-07-17","14:48:53.500",432.51165568,-8.4659241122
"12","2019-07-17","14:48:54.023",432.51165568,-6.0161278752
"13","2019-07-17","14:48:55.240",432.51165568,-6.0161278752
"14","2019-07-17","14:48:56.440",432.51165568,-6.0161278752
"15","2019-07-17","14:48:56.997",432.55674118,-6.0161278752
"16","2019-07-17","14:48:57.546",432.55674118,-9.0772513925
"17","2019-07-17","14:48:58.776",432.55674118,-9.0772513925
"18","2019-07-17","14:48:59.980",432.55674118,-9.0772513925
"19","2019-07-17","14:49:00.509",432.73445478,-9.0772513925
"20","2019-07-17","14:49:01.026",432.73445478,-7.3691191532
"21","2019-07-17","14:49:02.240",432.73445478,-7.3691191532
"22","2019-07-17","14:49:03.453",432.73445478,-7.3691191532
"23","2019-07-17","14:49:04.006",432.51177884,-7.3691191532
"24","2019-07-17","14:49:04.542",432.51177884,-8.5355264055
"25","2019-07-17","14:49:05.769",432.51177884,-8.5355264055
"26","2019-07-17","14:49:06.993",432.51177884,-8.5355264055
"27","2019-07-17","14:49:07.519",432.46433421,-8.5355264055
"28","2019-07-17","14:49:08.032",432.46433421,-6.1302184474
"29","2019-07-17","14:49:09.249",432.46433421,-6.1302184474
"30","2019-07-17","14:49:10.464",432.46433421,-6.1302184474
"31","2019-07-17","14:49:11.016",432.7955594,-6.1302184474
"32","2019-07-17","14:49:11.555",432.7955594,-7.5441688644
"33","2019-07-17","14:49:12.786",432.7955594,-7.5441688644
"34","2019-07-17","14:49:13.996",432.7955594,-7.5441688644
"35","2019-07-17","14:49:14.526",432.69682204,-7.5441688644
"36","2019-07-17","14:49:15.046",432.69682204,-9.7389830842
"37","2019-07-17","14:49:16.263",432.69682204,-9.7389830842
"38","2019-07-17","14:49:17.463",432.69682204,-9.7389830842
"39","2019-07-17","14:49:18.016",432.79625297,-9.7389830842
"40","2019-07-17","14:49:18.549",432.79625297,-10.20398747
"41","2019-07-17","14:49:19.763",432.79625297,-10.20398747
"42","2019-07-17","14:49:20.970",432.79625297,-10.20398747
"43","2019-07-17","14:49:21.505",432.57665971,-10.20398747
"44","2019-07-17","14:49:22.029",432.57665971,-7.1952276879
"45","2019-07-17","14:49:23.256",432.57665971,-7.1952276879
"46","2019-07-17","14:49:24.469",432.57665971,-7.1952276879
"47","2019-07-17","14:49:25.020",432.350812,-7.1952276879
"48","2019-07-17","14:49:25.549",432.350812,-7.0734965213
"49","2019-07-17","14:49:26.766",432.350812,-7.0734965213
"50","2019-07-17","14:49:27.973",432.350812,-7.0734965213
"51","2019-07-17","14:49:28.506",432.19669091,-7.0734965213
"52","2019-07-17","14:49:29.023",432.19669091,-8.3624955295
"53","2019-07-17","14:49:30.233",432.19669091,-8.3624955295
"54","2019-07-17","14:49:31.437",432.19669091,-8.3624955295
"55","2019-07-17","14:49:31.990",432.1094952,-8.3624955295
"56","2019-07-17","14:49:32.529",432.1094952,-8.5333866265
"57","2019-07-17","14:49:33.743",432.1094952,-8.5333866265
"58","2019-07-17","14:49:34.951",432.1094952,-8.5333866265
"59","2019-07-17","14:49:35.494",432.42839654,-8.5333866265
"60","2019-07-17","14:49:36.028",432.42839654,-9.6072991455
"61","2019-07-17","14:49:37.246",432.42839654,-9.6072991455
"62","2019-07-17","14:49:38.453",432.42839654,-9.6072991455
"63","2019-07-17","14:49:39.003",431.79198094,-9.6072991455
"64","2019-07-17","14:49:39.530",431.79198094,-5.2948000416
"65","2019-07-17","14:49:40.753",431.79198094,-5.2948000416
"66","2019-07-17","14:49:41.967",431.79198094,-5.2948000416
"67","2019-07-17","14:49:42.506",432.32906894,-5.2948000416
"68","2019-07-17","14:49:43.023",432.32906894,-9.3186490935
"69","2019-07-17","14:49:44.234",432.32906894,-9.3186490935
"70","2019-07-17","14:49:45.437",432.32906894,-9.3186490935
"71","2019-07-17","14:49:45.993",431.62020014,-9.3186490935
"72","2019-07-17","14:49:46.523",431.62020014,-7.4715580032
"73","2019-07-17","14:49:47.753",431.62020014,-7.4715580032
"74","2019-07-17","14:49:48.976",431.62020014,-7.4715580032
"75","2019-07-17","14:49:49.509",431.78519644,-7.4715580032
"76","2019-07-17","14:49:50.026",431.78519644,-8.3194691394
"77","2019-07-17","14:49:51.262",431.78519644,-8.3194691394
"78","2019-07-17","14:49:52.464",431.78519644,-8.3194691394
"79","2019-07-17","14:49:53.013",431.74476717,-8.3194691394
"80","2019-07-17","14:49:53.555",431.74476717,-7.1534526229
"81","2019-07-17","14:49:54.786",431.74476717,-7.1534526229
"82","2019-07-17","14:49:55.979",431.74476717,-7.1534526229
"83","2019-07-17","14:49:56.506",432.04870309,-7.1534526229
"84","2019-07-17","14:49:57.016",432.04870309,-9.2148974227
"85","2019-07-17","14:49:58.240",432.04870309,-9.2148974227
"86","2019-07-17","14:49:59.457",432.04870309,-9.2148974227
"87","2019-07-17","14:50:00.013",431.91442234,-9.2148974227
"88","2019-07-17","14:50:00.555",431.91442234,-7.3814232358
"89","2019-07-17","14:50:01.769",431.91442234,-7.3814232358
"90","2019-07-17","14:50:02.979",431.91442234,-7.3814232358
"91","2019-07-17","14:50:03.506",431.98957987,-7.3814232358
