"","X","PosixCT","HR_12CH4","HP_12CH4","Delta_iCH4_Raw","HR_Delta_iCH4_Raw","HR_Delta_iCH4_30s","HP_Delta_iCH4_Raw","HP_Delta_iCH4_30s","Sample"
"73748",73748,2019-07-17 18:11:11,1.8599026364,1.9157458264,-42.473355782,-45.21299359,-52.783454969,-42.473355782,-46.786695939,"col1"
"73749",73749,2019-07-17 18:11:12,1.8599026364,1.9157458264,-42.473355782,-45.21299359,-52.783454969,-42.473355782,-46.786695939,"col1"
"73750",73750,2019-07-17 18:11:12,1.8599026364,1.9157458264,-42.473355782,-45.21299359,-52.783454969,-42.473355782,-46.786695939,"col1"
"73751",73751,2019-07-17 18:11:13,1.8599026364,1.9157458264,-42.473355782,-45.21299359,-52.783454969,-42.473355782,-46.786695939,"col1"
"73752",73752,2019-07-17 18:11:14,1.8851186194,1.9279481087,-42.444933101,-51.972675186,-52.953893969,-42.444933101,-46.152283044,"col1"
"73753",73753,2019-07-17 18:11:15,1.8851186194,1.9279481087,-42.444933101,-51.972675186,-52.953893969,-42.444933101,-46.152283044,"col1"
"73754",73754,2019-07-17 18:11:16,1.8851186194,1.9279481087,-42.444933101,-51.972675186,-52.953893969,-42.444933101,-46.152283044,"col1"
"73755",73755,2019-07-17 18:11:16,1.8851186194,1.9279481087,-42.444933101,-51.972675186,-52.953893969,-42.444933101,-46.152283044,"col1"
"73756",73756,2019-07-17 18:11:18,1.8789571304,1.9412223483,-48.479178418,-48.8286405,-52.677451555,-48.479178418,-46.566540079,"col1"
"73757",73757,2019-07-17 18:11:19,1.8789571304,1.9412223483,-48.479178418,-48.8286405,-52.677451555,-48.479178418,-46.566540079,"col1"
"73758",73758,2019-07-17 18:11:19,1.8789571304,1.9412223483,-48.479178418,-48.8286405,-52.677451555,-48.479178418,-46.566540079,"col1"
"73759",73759,2019-07-17 18:11:20,1.8789571304,1.9412223483,-48.479178418,-48.8286405,-52.677451555,-48.479178418,-46.566540079,"col1"
"73760",73760,2019-07-17 18:11:21,1.8969972788,1.952824543,-43.829548666,-49.286660706,-52.54835246,-43.829548666,-46.35367016,"col1"
"73761",73761,2019-07-17 18:11:22,1.8969972788,1.952824543,-43.829548666,-49.286660706,-52.54835246,-43.829548666,-46.35367016,"col1"
"73762",73762,2019-07-17 18:11:23,1.8969972788,1.952824543,-43.829548666,-49.286660706,-52.54835246,-43.829548666,-46.35367016,"col1"
"73763",73763,2019-07-17 18:11:23,1.8969972788,1.952824543,-43.829548666,-49.286660706,-52.54835246,-43.829548666,-46.35367016,"col1"
"73764",73764,2019-07-17 18:11:25,1.9044938987,1.9621942438,-51.260668618,-56.36468949,-53.023222012,-51.260668618,-46.904304473,"col1"
"73765",73765,2019-07-17 18:11:26,1.9044938987,1.9621942438,-51.260668618,-56.36468949,-53.023222012,-51.260668618,-46.904304473,"col1"
"73766",73766,2019-07-17 18:11:26,1.9044938987,1.9621942438,-51.260668618,-56.36468949,-53.023222012,-51.260668618,-46.904304473,"col1"
"73767",73767,2019-07-17 18:11:27,1.9044938987,1.9621942438,-51.260668618,-56.36468949,-53.023222012,-51.260668618,-46.904304473,"col1"
"73768",73768,2019-07-17 18:11:28,1.9179884071,1.9695590024,-49.967172239,-57.936204759,-52.992303278,-49.967172239,-46.854215002,"col1"
"73769",73769,2019-07-17 18:11:29,1.9179884071,1.9695590024,-49.967172239,-57.936204759,-52.992303278,-49.967172239,-46.854215002,"col1"
"73770",73770,2019-07-17 18:11:30,1.9179884071,1.9695590024,-49.967172239,-57.936204759,-52.992303278,-49.967172239,-46.854215002,"col1"
"73771",73771,2019-07-17 18:11:30,1.9179884071,1.9695590024,-49.967172239,-57.936204759,-52.992303278,-49.967172239,-46.854215002,"col1"
"73772",73772,2019-07-17 18:11:32,1.9118815709,1.9763833744,-48.751257085,-51.736016903,-52.702390029,-48.751257085,-47.001078128,"col1"
"73773",73773,2019-07-17 18:11:33,1.9118815709,1.9763833744,-48.751257085,-51.736016903,-52.702390029,-48.751257085,-47.001078128,"col1"
"73774",73774,2019-07-17 18:11:33,1.9118815709,1.9763833744,-48.751257085,-51.736016903,-52.702390029,-48.751257085,-47.001078128,"col1"
"73775",73775,2019-07-17 18:11:34,1.9118815709,1.9763833744,-48.751257085,-51.736016903,-52.702390029,-48.751257085,-47.001078128,"col1"
"73776",73776,2019-07-17 18:11:35,1.9146401829,1.9799124725,-46.672214332,-49.552843448,-51.696062505,-46.672214332,-46.445139929,"col1"
"73777",73777,2019-07-17 18:11:36,1.9146401829,1.9799124725,-46.672214332,-49.552843448,-51.696062505,-46.672214332,-46.445139929,"col1"
"73778",73778,2019-07-17 18:11:37,1.9146401829,1.9799124725,-46.672214332,-49.552843448,-51.696062505,-46.672214332,-46.445139929,"col1"
"73779",73779,2019-07-17 18:11:37,1.9146401829,1.9799124725,-46.672214332,-49.552843448,-51.696062505,-46.672214332,-46.445139929,"col1"
"73780",73780,2019-07-17 18:11:39,1.9291730171,1.9846455174,-52.726448625,-59.827180713,-52.301989477,-52.726448625,-47.400530763,"col1"
"73781",73781,2019-07-17 18:11:40,1.9291730171,1.9846455174,-52.726448625,-59.827180713,-52.301989477,-52.726448625,-47.400530763,"col1"
"73782",73782,2019-07-17 18:11:40,1.9291730171,1.9846455174,-52.726448625,-59.827180713,-52.301989477,-52.726448625,-47.400530763,"col1"
"73783",73783,2019-07-17 18:11:41,1.9291730171,1.9846455174,-52.726448625,-59.827180713,-52.301989477,-52.726448625,-47.400530763,"col1"
"73784",73784,2019-07-17 18:11:42,1.9346071359,1.9867235044,-48.395867552,-57.444293539,-53.661022805,-48.395867552,-48.058587626,"col1"
"73785",73785,2019-07-17 18:11:43,1.9346071359,1.9867235044,-48.395867552,-57.444293539,-53.661022805,-48.395867552,-48.058587626,"col1"
"73786",73786,2019-07-17 18:11:44,1.9346071359,1.9867235044,-48.395867552,-57.444293539,-53.661022805,-48.395867552,-48.058587626,"col1"
"73787",73787,2019-07-17 18:11:45,1.9346071359,1.9867235044,-48.395867552,-57.444293539,-53.661022805,-48.395867552,-48.058587626,"col1"
"73788",73788,2019-07-17 18:11:46,1.9239877417,1.9887581783,-51.053274133,-52.540888887,-53.724157661,-51.053274133,-49.015069963,"col1"
"73789",73789,2019-07-17 18:11:47,1.9239877417,1.9887581783,-51.053274133,-52.540888887,-53.724157661,-51.053274133,-49.015069963,"col1"
"73790",73790,2019-07-17 18:11:47,1.9239877417,1.9887581783,-51.053274133,-52.540888887,-53.724157661,-51.053274133,-49.015069963,"col1"
"73791",73791,2019-07-17 18:11:48,1.9239877417,1.9887581783,-51.053274133,-52.540888887,-53.724157661,-51.053274133,-49.015069963,"col1"
"73792",73792,2019-07-17 18:11:49,1.9226693045,1.9900794748,-50.21775465,-52.786665212,-54.163938184,-50.21775465,-49.2082451,"col1"
"73793",73793,2019-07-17 18:11:50,1.9226693045,1.9900794748,-50.21775465,-52.786665212,-54.163938184,-50.21775465,-49.2082451,"col1"
"73794",73794,2019-07-17 18:11:51,1.9226693045,1.9900794748,-50.21775465,-52.786665212,-54.163938184,-50.21775465,-49.2082451,"col1"
"73795",73795,2019-07-17 18:11:52,1.9226693045,1.9900794748,-50.21775465,-52.786665212,-54.163938184,-50.21775465,-49.2082451,"col1"
"73796",73796,2019-07-17 18:11:53,1.9139969264,1.9902213214,-56.89761357,-55.617774702,-54.867395295,-56.89761357,-50.660252311,"col1"
"73797",73797,2019-07-17 18:11:54,1.9139969264,1.9902213214,-56.89761357,-55.617774702,-54.867395295,-56.89761357,-50.660252311,"col1"
"73798",73798,2019-07-17 18:11:55,1.9139969264,1.9902213214,-56.89761357,-55.617774702,-54.867395295,-56.89761357,-50.660252311,"col1"
"73799",73799,2019-07-17 18:11:55,1.9139969264,1.9902213214,-56.89761357,-55.617774702,-54.867395295,-56.89761357,-50.660252311,"col1"
"73800",73800,2019-07-17 18:11:56,1.9271238236,1.9904821014,-51.31714707,-57.170720169,-54.956954259,-51.31714707,-50.666527695,"col1"
"73801",73801,2019-07-17 18:11:57,1.9271238236,1.9904821014,-51.31714707,-57.170720169,-54.956954259,-51.31714707,-50.666527695,"col1"
"73802",73802,2019-07-17 18:11:58,1.9271238236,1.9904821014,-51.31714707,-57.170720169,-54.956954259,-51.31714707,-50.666527695,"col1"
"73803",73803,2019-07-17 18:11:59,1.9271238236,1.9904821014,-51.31714707,-57.170720169,-54.956954259,-51.31714707,-50.666527695,"col1"
"73804",73804,2019-07-17 18:12:00,1.9330386906,1.9910442168,-57.854522076,-64.490465941,-55.685205502,-57.854522076,-51.542899899,"col1"
"73805",73805,2019-07-17 18:12:01,1.9330386906,1.9910442168,-57.854522076,-64.490465941,-55.685205502,-57.854522076,-51.542899899,"col1"
"73806",73806,2019-07-17 18:12:02,1.9330386906,1.9910442168,-57.854522076,-64.490465941,-55.685205502,-57.854522076,-51.542899899,"col1"
"73807",73807,2019-07-17 18:12:02,1.9330386906,1.9910442168,-57.854522076,-64.490465941,-55.685205502,-57.854522076,-51.542899899,"col1"
"73808",73808,2019-07-17 18:12:03,1.9376586499,1.9904917751,-54.379657649,-64.035783956,-57.051846285,-54.379657649,-52.16827774,"col1"
"73809",73809,2019-07-17 18:12:04,1.9376586499,1.9904917751,-54.379657649,-64.035783956,-57.051846285,-54.379657649,-52.16827774,"col1"
"73810",73810,2019-07-17 18:12:05,1.9376586499,1.9904917751,-54.379657649,-64.035783956,-57.051846285,-54.379657649,-52.16827774,"col1"
"73811",73811,2019-07-17 18:12:06,1.9376586499,1.9904917751,-54.379657649,-64.035783956,-57.051846285,-54.379657649,-52.16827774,"col1"
"73812",73812,2019-07-17 18:12:07,1.9317816857,1.9902344665,-50.232289369,-57.5776984,-57.943496835,-50.232289369,-52.563841633,"col1"
"73813",73813,2019-07-17 18:12:08,1.9317816857,1.9902344665,-50.232289369,-57.5776984,-57.943496835,-50.232289369,-52.563841633,"col1"
"73814",73814,2019-07-17 18:12:09,1.9317816857,1.9902344665,-50.232289369,-57.5776984,-57.943496835,-50.232289369,-52.563841633,"col1"
"73815",73815,2019-07-17 18:12:09,1.9317816857,1.9902344665,-50.232289369,-57.5776984,-57.943496835,-50.232289369,-52.563841633,"col1"
