"","X.1","X","PosixCT","X12CO2","Delta_Raw_iCO2","Sample","Day"
"645",63674,63674,"2019-07-23 15:55:46",409.46101148,-22.799854806,"ecu2","July23"
"646",63675,63675,"2019-07-23 15:55:48",409.46101148,-22.799854806,"ecu2","July23"
"647",63676,63676,"2019-07-23 15:55:48",404.37047024,-22.799854806,"ecu2","July23"
"648",63677,63677,"2019-07-23 15:55:49",404.37047024,-21.532671965,"ecu2","July23"
"649",63678,63678,"2019-07-23 15:55:50",404.37047024,-21.532671965,"ecu2","July23"
"650",63679,63679,"2019-07-23 15:55:51",404.37047024,-21.532671965,"ecu2","July23"
"651",63680,63680,"2019-07-23 15:55:52",400.03332814,-21.532671965,"ecu2","July23"
"652",63681,63681,"2019-07-23 15:55:52",400.03332814,-19.212995571,"ecu2","July23"
"653",63682,63682,"2019-07-23 15:55:54",400.03332814,-19.212995571,"ecu2","July23"
"654",63683,63683,"2019-07-23 15:55:55",400.03332814,-19.212995571,"ecu2","July23"
"655",63684,63684,"2019-07-23 15:55:55",396.85198817,-19.212995571,"ecu2","July23"
"656",63685,63685,"2019-07-23 15:55:56",396.85198817,-22.298810406,"ecu2","July23"
"657",63686,63686,"2019-07-23 15:55:57",396.85198817,-22.298810406,"ecu2","July23"
"658",63687,63687,"2019-07-23 15:55:58",396.85198817,-22.298810406,"ecu2","July23"
"659",63688,63688,"2019-07-23 15:55:59",394.54937309,-22.298810406,"ecu2","July23"
"660",63689,63689,"2019-07-23 15:55:59",394.54937309,-22.200461679,"ecu2","July23"
"661",63690,63690,"2019-07-23 15:56:01",394.54937309,-22.200461679,"ecu2","July23"
"662",63691,63691,"2019-07-23 15:56:02",394.54937309,-22.200461679,"ecu2","July23"
"663",63692,63692,"2019-07-23 15:56:02",393.37396321,-22.200461679,"ecu2","July23"
"664",63693,63693,"2019-07-23 15:56:03",393.37396321,-25.442909926,"ecu2","July23"
"665",63694,63694,"2019-07-23 15:56:04",393.37396321,-25.442909926,"ecu2","July23"
"666",63695,63695,"2019-07-23 15:56:05",393.37396321,-25.442909926,"ecu2","July23"
"667",63696,63696,"2019-07-23 15:56:06",392.15947832,-25.442909926,"ecu2","July23"
"668",63697,63697,"2019-07-23 15:56:06",392.15947832,-22.45828116,"ecu2","July23"
"669",63698,63698,"2019-07-23 15:56:08",392.15947832,-22.45828116,"ecu2","July23"
"670",63699,63699,"2019-07-23 15:56:09",392.15947832,-22.45828116,"ecu2","July23"
"671",63700,63700,"2019-07-23 15:56:09",391.6761553,-22.45828116,"ecu2","July23"
"672",63701,63701,"2019-07-23 15:56:10",391.6761553,-22.310698305,"ecu2","July23"
"673",63702,63702,"2019-07-23 15:56:11",391.6761553,-22.310698305,"ecu2","July23"
"674",63703,63703,"2019-07-23 15:56:12",391.6761553,-22.310698305,"ecu2","July23"
"675",63704,63704,"2019-07-23 15:56:13",391.04608829,-22.310698305,"ecu2","July23"
"676",63705,63705,"2019-07-23 15:56:13",391.04608829,-22.778490632,"ecu2","July23"
"677",63706,63706,"2019-07-23 15:56:15",391.04608829,-22.778490632,"ecu2","July23"
"678",63707,63707,"2019-07-23 15:56:16",391.04608829,-22.778490632,"ecu2","July23"
"679",63708,63708,"2019-07-23 15:56:16",390.69108941,-22.778490632,"ecu2","July23"
"680",63709,63709,"2019-07-23 15:56:17",390.69108941,-26.049067655,"ecu2","July23"
"681",63710,63710,"2019-07-23 15:56:18",390.69108941,-26.049067655,"ecu2","July23"
"682",63711,63711,"2019-07-23 15:56:19",390.69108941,-26.049067655,"ecu2","July23"
"683",63712,63712,"2019-07-23 15:56:20",390.49821851,-26.049067655,"ecu2","July23"
"684",63713,63713,"2019-07-23 15:56:20",390.49821851,-23.468462284,"ecu2","July23"
"685",63714,63714,"2019-07-23 15:56:22",390.49821851,-23.468462284,"ecu2","July23"
"686",63715,63715,"2019-07-23 15:56:23",390.49821851,-23.468462284,"ecu2","July23"
"687",63716,63716,"2019-07-23 15:56:23",390.5314488,-23.468462284,"ecu2","July23"
"688",63717,63717,"2019-07-23 15:56:24",390.5314488,-26.72799586,"ecu2","July23"
"689",63718,63718,"2019-07-23 15:56:25",390.5314488,-26.72799586,"ecu2","July23"
"690",63719,63719,"2019-07-23 15:56:26",390.5314488,-26.72799586,"ecu2","July23"
"691",63720,63720,"2019-07-23 15:56:27",390.0189922,-26.72799586,"ecu2","July23"
"692",63721,63721,"2019-07-23 15:56:27",390.0189922,-26.757756706,"ecu2","July23"
"693",63722,63722,"2019-07-23 15:56:29",390.0189922,-26.757756706,"ecu2","July23"
"694",63723,63723,"2019-07-23 15:56:30",390.0189922,-26.757756706,"ecu2","July23"
"695",63724,63724,"2019-07-23 15:56:30",390.38753998,-26.757756706,"ecu2","July23"
"696",63725,63725,"2019-07-23 15:56:31",390.38753998,-28.899124757,"ecu2","July23"
"697",63726,63726,"2019-07-23 15:56:32",390.38753998,-28.899124757,"ecu2","July23"
"698",63727,63727,"2019-07-23 15:56:33",390.38753998,-28.899124757,"ecu2","July23"
"699",63728,63728,"2019-07-23 15:56:34",390.23117158,-28.899124757,"ecu2","July23"
"700",63729,63729,"2019-07-23 15:56:34",390.23117158,-23.976760484,"ecu2","July23"
"701",63730,63730,"2019-07-23 15:56:36",390.23117158,-23.976760484,"ecu2","July23"
"702",63731,63731,"2019-07-23 15:56:37",390.23117158,-23.976760484,"ecu2","July23"
"703",63732,63732,"2019-07-23 15:56:37",390.36775835,-23.976760484,"ecu2","July23"
"704",63733,63733,"2019-07-23 15:56:38",390.36775835,-28.69263827,"ecu2","July23"
"705",63734,63734,"2019-07-23 15:56:39",390.36775835,-28.69263827,"ecu2","July23"
"706",63735,63735,"2019-07-23 15:56:40",390.36775835,-28.69263827,"ecu2","July23"
"707",63736,63736,"2019-07-23 15:56:41",390.38737976,-28.69263827,"ecu2","July23"
"708",63737,63737,"2019-07-23 15:56:41",390.38737976,-27.020957575,"ecu2","July23"
"709",63738,63738,"2019-07-23 15:56:43",390.38737976,-27.020957575,"ecu2","July23"
"710",63739,63739,"2019-07-23 15:56:44",390.38737976,-27.020957575,"ecu2","July23"
"711",63740,63740,"2019-07-23 15:56:44",390.53274497,-27.020957575,"ecu2","July23"
"712",63741,63741,"2019-07-23 15:56:45",390.53274497,-25.120076199,"ecu2","July23"
"713",63742,63742,"2019-07-23 15:56:46",390.53274497,-25.120076199,"ecu2","July23"
"714",63743,63743,"2019-07-23 15:56:47",390.53274497,-25.120076199,"ecu2","July23"
"715",63744,63744,"2019-07-23 15:56:48",390.3376297,-25.120076199,"ecu2","July23"
"716",63745,63745,"2019-07-23 15:56:48",390.3376297,-24.20370442,"ecu2","July23"
"717",63746,63746,"2019-07-23 15:56:50",390.3376297,-24.20370442,"ecu2","July23"
"718",63747,63747,"2019-07-23 15:56:51",390.3376297,-24.20370442,"ecu2","July23"
"719",63748,63748,"2019-07-23 15:56:51",390.72818371,-24.20370442,"ecu2","July23"
"720",63749,63749,"2019-07-23 15:56:52",390.72818371,-25.481992051,"ecu2","July23"
"721",63750,63750,"2019-07-23 15:56:53",390.72818371,-25.481992051,"ecu2","July23"
"722",63751,63751,"2019-07-23 15:56:54",390.72818371,-25.481992051,"ecu2","July23"
"723",63752,63752,"2019-07-23 15:56:55",390.70784213,-25.481992051,"ecu2","July23"
"724",63753,63753,"2019-07-23 15:56:55",390.70784213,-22.357450271,"ecu2","July23"
"725",63754,63754,"2019-07-23 15:56:57",390.70784213,-22.357450271,"ecu2","July23"
"726",63755,63755,"2019-07-23 15:56:58",390.70784213,-22.357450271,"ecu2","July23"
"727",63756,63756,"2019-07-23 15:56:58",390.52406758,-22.357450271,"ecu2","July23"
"728",63757,63757,"2019-07-23 15:56:59",390.52406758,-23.982339961,"ecu2","July23"
"729",63758,63758,"2019-07-23 15:57:00",390.52406758,-23.982339961,"ecu2","July23"
"730",63759,63759,"2019-07-23 15:57:01",390.52406758,-23.982339961,"ecu2","July23"
"731",63760,63760,"2019-07-23 15:57:02",390.84834168,-23.982339961,"ecu2","July23"
"732",63761,63761,"2019-07-23 15:57:02",390.84834168,-26.536078893,"ecu2","July23"
"733",63762,63762,"2019-07-23 15:57:04",390.84834168,-26.536078893,"ecu2","July23"
"734",63763,63763,"2019-07-23 15:57:05",390.84834168,-26.536078893,"ecu2","July23"
