"","X","PosixCT","X12CO2","Delta_Raw_iCO2","Sample"
"61350",61350,2019-07-23 15:21:51,514.84645068,-16.848983287,"col1"
"61351",61351,2019-07-23 15:21:52,514.84645068,-16.848983287,"col1"
"61352",61352,2019-07-23 15:21:53,522.79603648,-16.848983287,"col1"
"61353",61353,2019-07-23 15:21:54,522.79603648,-15.097850571,"col1"
"61354",61354,2019-07-23 15:21:55,522.79603648,-15.097850571,"col1"
"61355",61355,2019-07-23 15:21:56,522.79603648,-15.097850571,"col1"
"61356",61356,2019-07-23 15:21:57,528.24360922,-15.097850571,"col1"
"61357",61357,2019-07-23 15:21:57,528.24360922,-14.071026711,"col1"
"61358",61358,2019-07-23 15:21:58,528.24360922,-14.071026711,"col1"
"61359",61359,2019-07-23 15:21:59,528.24360922,-14.071026711,"col1"
"61360",61360,2019-07-23 15:22:00,529.39450469,-14.071026711,"col1"
"61361",61361,2019-07-23 15:22:01,529.39450469,-12.953894748,"col1"
"61362",61362,2019-07-23 15:22:02,529.39450469,-12.953894748,"col1"
"61363",61363,2019-07-23 15:22:03,529.39450469,-12.953894748,"col1"
"61364",61364,2019-07-23 15:22:04,527.07915929,-12.953894748,"col1"
"61365",61365,2019-07-23 15:22:04,527.07915929,-12.820626678,"col1"
"61366",61366,2019-07-23 15:22:05,527.07915929,-12.820626678,"col1"
"61367",61367,2019-07-23 15:22:06,527.07915929,-12.820626678,"col1"
"61368",61368,2019-07-23 15:22:07,521.53898235,-12.820626678,"col1"
"61369",61369,2019-07-23 15:22:08,521.53898235,-13.091472335,"col1"
"61370",61370,2019-07-23 15:22:09,521.53898235,-13.091472335,"col1"
"61371",61371,2019-07-23 15:22:10,521.53898235,-13.091472335,"col1"
"61372",61372,2019-07-23 15:22:11,514.06864564,-13.091472335,"col1"
"61373",61373,2019-07-23 15:22:11,514.06864564,-12.702082394,"col1"
"61374",61374,2019-07-23 15:22:12,514.06864564,-12.702082394,"col1"
"61375",61375,2019-07-23 15:22:13,514.06864564,-12.702082394,"col1"
"61376",61376,2019-07-23 15:22:14,504.61541475,-12.702082394,"col1"
"61377",61377,2019-07-23 15:22:15,504.61541475,-8.8237931608,"col1"
"61378",61378,2019-07-23 15:22:16,504.61541475,-8.8237931608,"col1"
"61379",61379,2019-07-23 15:22:17,504.61541475,-8.8237931608,"col1"
"61380",61380,2019-07-23 15:22:18,495.92899153,-8.8237931608,"col1"
"61381",61381,2019-07-23 15:22:18,495.92899153,-13.816384,"col1"
"61382",61382,2019-07-23 15:22:19,495.92899153,-13.816384,"col1"
"61383",61383,2019-07-23 15:22:20,495.92899153,-13.816384,"col1"
"61384",61384,2019-07-23 15:22:21,487.16930729,-13.816384,"col1"
"61385",61385,2019-07-23 15:22:22,487.16930729,-11.475118026,"col1"
"61386",61386,2019-07-23 15:22:23,487.16930729,-11.475118026,"col1"
"61387",61387,2019-07-23 15:22:24,487.16930729,-11.475118026,"col1"
"61388",61388,2019-07-23 15:22:25,478.99522091,-11.475118026,"col1"
"61389",61389,2019-07-23 15:22:25,478.99522091,-11.39792968,"col1"
"61390",61390,2019-07-23 15:22:26,478.99522091,-11.39792968,"col1"
"61391",61391,2019-07-23 15:22:27,478.99522091,-11.39792968,"col1"
"61392",61392,2019-07-23 15:22:28,471.64541691,-11.39792968,"col1"
"61393",61393,2019-07-23 15:22:29,471.64541691,-12.570234812,"col1"
"61394",61394,2019-07-23 15:22:30,471.64541691,-12.570234812,"col1"
"61395",61395,2019-07-23 15:22:31,471.64541691,-12.570234812,"col1"
"61396",61396,2019-07-23 15:22:32,465.8806811,-12.570234812,"col1"
"61397",61397,2019-07-23 15:22:32,465.8806811,-12.686773477,"col1"
"61398",61398,2019-07-23 15:22:33,465.8806811,-12.686773477,"col1"
"61399",61399,2019-07-23 15:22:34,465.8806811,-12.686773477,"col1"
"61400",61400,2019-07-23 15:22:35,460.51738416,-12.686773477,"col1"
"61401",61401,2019-07-23 15:22:36,460.51738416,-8.3342241315,"col1"
"61402",61402,2019-07-23 15:22:37,460.51738416,-8.3342241315,"col1"
"61403",61403,2019-07-23 15:22:38,460.51738416,-8.3342241315,"col1"
"61404",61404,2019-07-23 15:22:39,456.6536218,-8.3342241315,"col1"
"61405",61405,2019-07-23 15:22:39,456.6536218,-12.844124688,"col1"
"61406",61406,2019-07-23 15:22:40,456.6536218,-12.844124688,"col1"
"61407",61407,2019-07-23 15:22:41,456.6536218,-12.844124688,"col1"
"61408",61408,2019-07-23 15:22:42,453.11009701,-12.844124688,"col1"
"61409",61409,2019-07-23 15:22:43,453.11009701,-8.9293777018,"col1"
"61410",61410,2019-07-23 15:22:44,453.11009701,-8.9293777018,"col1"
"61411",61411,2019-07-23 15:22:45,453.11009701,-8.9293777018,"col1"
"61412",61412,2019-07-23 15:22:46,450.18730385,-8.9293777018,"col1"
"61413",61413,2019-07-23 15:22:46,450.18730385,-9.6764862998,"col1"
"61414",61414,2019-07-23 15:22:47,450.18730385,-9.6764862998,"col1"
"61415",61415,2019-07-23 15:22:48,450.18730385,-9.6764862998,"col1"
"61416",61416,2019-07-23 15:22:49,447.55770484,-9.6764862998,"col1"
"61417",61417,2019-07-23 15:22:50,447.55770484,-10.579348831,"col1"
"61418",61418,2019-07-23 15:22:51,447.55770484,-10.579348831,"col1"
"61419",61419,2019-07-23 15:22:52,447.55770484,-10.579348831,"col1"
"61420",61420,2019-07-23 15:22:53,444.94095906,-10.579348831,"col1"
"61421",61421,2019-07-23 15:22:53,444.94095906,-9.062374493,"col1"
"61422",61422,2019-07-23 15:22:54,444.94095906,-9.062374493,"col1"
"61423",61423,2019-07-23 15:22:55,444.94095906,-9.062374493,"col1"
"61424",61424,2019-07-23 15:22:56,443.0082051,-9.062374493,"col1"
"61425",61425,2019-07-23 15:22:57,443.0082051,-12.306004237,"col1"
"61426",61426,2019-07-23 15:22:58,443.0082051,-12.306004237,"col1"
"61427",61427,2019-07-23 15:22:59,443.0082051,-12.306004237,"col1"
"61428",61428,2019-07-23 15:23:00,441.60939472,-12.306004237,"col1"
"61429",61429,2019-07-23 15:23:00,441.60939472,-9.3738875948,"col1"
"61430",61430,2019-07-23 15:23:01,441.60939472,-9.3738875948,"col1"
"61431",61431,2019-07-23 15:23:02,441.60939472,-9.3738875948,"col1"
"61432",61432,2019-07-23 15:23:03,440.50489897,-9.3738875948,"col1"
"61433",61433,2019-07-23 15:23:04,440.50489897,-11.169841166,"col1"
"61434",61434,2019-07-23 15:23:05,440.50489897,-11.169841166,"col1"
"61435",61435,2019-07-23 15:23:06,440.50489897,-11.169841166,"col1"
"61436",61436,2019-07-23 15:23:07,439.92298938,-11.169841166,"col1"
"61437",61437,2019-07-23 15:23:07,439.92298938,-13.393915431,"col1"
"61438",61438,2019-07-23 15:23:08,439.92298938,-13.393915431,"col1"
"61439",61439,2019-07-23 15:23:09,439.92298938,-13.393915431,"col1"
"61440",61440,2019-07-23 15:23:10,439.8129634,-13.393915431,"col1"
"61441",61441,2019-07-23 15:23:11,439.8129634,-13.778065624,"col1"
"61442",61442,2019-07-23 15:23:12,439.8129634,-13.778065624,"col1"
