"","Sample","Avg_iCO2","StdDev_iCO2"
"1","col1",-11.6688402762836,2.1336977542519
"2","col2",-13.1503540046102,1.38513619740962
"3","col3",-13.5724861002696,1.39100259588562
"4","ecu2",-24.8104049818684,2.48339940437255
"5","col4",-11.0202610399603,1.43736975917128
"6","col5",-14.1414331422311,1.39720643767293
"7","ecu3",-25.0110752380318,2.11617320920439
"8","col6",-13.9547453226691,1.17601073304712
"9","col7",-12.9994430944873,1.51442891017906
"10","ecu4",-22.0856379008818,3.93410214061314
"11","col8",-12.6253476437225,1.3615882378521
