"","Sample","Avg_iCH4","StdDev_iCH4"
"1","col1",-47.9948519324357,4.3222481090631
"2","col2",-46.8266563703235,3.73512832704963
"3","col3",-47.8602471796029,3.80365664836718
"4","col4",-46.9836192598938,4.5482397605747
"5","col5",-47.6163712044529,4.01786397177536
"6","col6",-49.6456778895882,4.12455281870429
"7","col7",-47.879801079708,3.70557092160846
"8","ecu2",-47.1288373190876,3.61829706836544
"9","ecu3",-45.3052113611256,4.16585903808753
"10","ecu1",-46.8769520022516,2.38738968382938
"11","col8",-49.4870844396078,4.44382348099577
"12","col5test",-47.8863773276667,3.85961270728888
