"","X.1","X","PosixCT","HR_12CH4","HP_12CH4","Delta_iCH4_Raw","HR_Delta_iCH4_Raw","HR_Delta_iCH4_30s","HP_Delta_iCH4_Raw","HP_Delta_iCH4_30s","Sample","Day"
"1281",54793,54793,2019-08-02 18:22:12,3.3302740702,3.4708626658,-39.835361083,-22.71855451,-42.14569755,-39.835361083,-38.39419348,"ecu3","aug02"
"1282",54794,54794,2019-08-02 18:22:13,3.3302740702,3.4708626658,-39.835361083,-22.71855451,-42.14569755,-39.835361083,-38.39419348,"ecu3","aug02"
"1283",54795,54795,2019-08-02 18:22:14,3.3302740702,3.4708626658,-39.835361083,-22.71855451,-42.14569755,-39.835361083,-38.39419348,"ecu3","aug02"
"1284",54796,54796,2019-08-02 18:22:15,3.3302740702,3.4708626658,-39.835361083,-22.71855451,-42.14569755,-39.835361083,-38.39419348,"ecu3","aug02"
"1285",54797,54797,2019-08-02 18:22:16,3.0715212923,3.1975788008,-42.33541857,-26.980409342,-36.153578433,-42.33541857,-38.492715421,"ecu3","aug02"
"1286",54798,54798,2019-08-02 18:22:17,3.0715212923,3.1975788008,-42.33541857,-26.980409342,-36.153578433,-42.33541857,-38.492715421,"ecu3","aug02"
"1287",54799,54799,2019-08-02 18:22:18,3.0715212923,3.1975788008,-42.33541857,-26.980409342,-36.153578433,-42.33541857,-38.492715421,"ecu3","aug02"
"1288",54800,54800,2019-08-02 18:22:18,3.0715212923,3.1975788008,-42.33541857,-26.980409342,-36.153578433,-42.33541857,-38.492715421,"ecu3","aug02"
"1289",54801,54801,2019-08-02 18:22:19,2.8470423622,2.9644581986,-45.129399787,-29.283646103,-32.06934962,-45.129399787,-39.105846584,"ecu3","aug02"
"1290",54802,54802,2019-08-02 18:22:20,2.8470423622,2.9644581986,-45.129399787,-29.283646103,-32.06934962,-45.129399787,-39.105846584,"ecu3","aug02"
"1291",54803,54803,2019-08-02 18:22:21,2.8470423622,2.9644581986,-45.129399787,-29.283646103,-32.06934962,-45.129399787,-39.105846584,"ecu3","aug02"
"1292",54804,54804,2019-08-02 18:22:22,2.8470423622,2.9644581986,-45.129399787,-29.283646103,-32.06934962,-45.129399787,-39.105846584,"ecu3","aug02"
"1293",54805,54805,2019-08-02 18:22:23,2.6797849496,2.7764056967,-46.567125576,-37.082433209,-29.91381168,-46.567125576,-39.931868392,"ecu3","aug02"
"1294",54806,54806,2019-08-02 18:22:24,2.6797849496,2.7764056967,-46.567125576,-37.082433209,-29.91381168,-46.567125576,-39.931868392,"ecu3","aug02"
