"","DATE","PosixCT","X12CO2","Delta_Raw_iCO2","Delta_30s_iCO2","HR_12CH4","HP_12CH4","Delta_iCH4_Raw","HR_Delta_iCH4_Raw","HR_Delta_iCH4_30s","HP_Delta_iCH4_Raw","HP_Delta_iCH4_30s"
"54301","2019-08-02",2019-08-02 18:15:01,1140.7346447,-15.986573155,-15.602670385,8.792817911,8.8894577584,-32.201612061,-32.476186102,-31.676621418,-32.201612061,-32.291011314
"54302","2019-08-02",2019-08-02 18:15:02,1140.7346447,-15.986573155,-15.602670385,8.792817911,8.8894577584,-32.201612061,-32.476186102,-31.676621418,-32.201612061,-32.291011314
"54303","2019-08-02",2019-08-02 18:15:02,1140.1026909,-15.986573155,-15.602670385,8.792817911,8.8894577584,-32.201612061,-32.476186102,-31.676621418,-32.201612061,-32.291011314
"54304","2019-08-02",2019-08-02 18:15:03,1140.1026909,-14.705552438,-15.541924799,8.792817911,8.8894577584,-32.201612061,-32.476186102,-31.676621418,-32.201612061,-32.291011314
"54305","2019-08-02",2019-08-02 18:15:04,1140.1026909,-14.705552438,-15.541924799,8.7758906585,8.8857386677,-31.038257277,-30.000469717,-31.616930483,-31.038257277,-32.157836502
"54306","2019-08-02",2019-08-02 18:15:05,1140.1026909,-14.705552438,-15.541924799,8.7758906585,8.8857386677,-31.038257277,-30.000469717,-31.616930483,-31.038257277,-32.157836502
"54307","2019-08-02",2019-08-02 18:15:06,1141.0200079,-14.705552438,-15.541924799,8.7758906585,8.8857386677,-31.038257277,-30.000469717,-31.616930483,-31.038257277,-32.157836502
"54308","2019-08-02",2019-08-02 18:15:06,1141.0200079,-14.707669672,-15.502482537,8.7758906585,8.8857386677,-31.038257277,-30.000469717,-31.616930483,-31.038257277,-32.157836502
"54309","2019-08-02",2019-08-02 18:15:08,1141.0200079,-14.707669672,-15.502482537,8.7735905055,8.8897864873,-32.574744332,-30.653510084,-31.667216709,-32.574744332,-32.189008566
"54310","2019-08-02",2019-08-02 18:15:09,1141.0200079,-14.707669672,-15.502482537,8.7735905055,8.8897864873,-32.574744332,-30.653510084,-31.667216709,-32.574744332,-32.189008566
"54311","2019-08-02",2019-08-02 18:15:09,1140.1760965,-14.707669672,-15.502482537,8.7735905055,8.8897864873,-32.574744332,-30.653510084,-31.667216709,-32.574744332,-32.189008566
"54312","2019-08-02",2019-08-02 18:15:10,1140.1760965,-14.545663404,-15.38368693,8.7735905055,8.8897864873,-32.574744332,-30.653510084,-31.667216709,-32.574744332,-32.189008566
"54313","2019-08-02",2019-08-02 18:15:11,1140.1760965,-14.545663404,-15.38368693,8.7752965314,8.8864448238,-33.086017899,-31.449827709,-31.677521076,-33.086017899,-32.345212022
"54314","2019-08-02",2019-08-02 18:15:13,1140.1760965,-14.545663404,-15.38368693,8.7752965314,8.8864448238,-33.086017899,-31.449827709,-31.677521076,-33.086017899,-32.345212022
