"","PosixCT","X12CO2","Delta_Raw_iCO2","Sample","Day"
"59173",2019-08-09 14:41:12,399.37810334,-20.13044931,"ecu1","Aug09"
"59174",2019-08-09 14:41:13,399.37810334,-20.13044931,"ecu1","Aug09"
"59175",2019-08-09 14:41:13,397.97837342,-20.13044931,"ecu1","Aug09"
"59176",2019-08-09 14:41:14,397.97837342,-21.122780848,"ecu1","Aug09"
"59177",2019-08-09 14:41:15,397.97837342,-21.122780848,"ecu1","Aug09"
"59178",2019-08-09 14:41:16,397.97837342,-21.122780848,"ecu1","Aug09"
"59179",2019-08-09 14:41:17,397.33681544,-21.122780848,"ecu1","Aug09"
"59180",2019-08-09 14:41:17,397.33681544,-19.324972287,"ecu1","Aug09"
"59181",2019-08-09 14:41:19,397.33681544,-19.324972287,"ecu1","Aug09"
"59182",2019-08-09 14:41:20,397.33681544,-19.324972287,"ecu1","Aug09"
"59183",2019-08-09 14:41:20,396.58204791,-19.324972287,"ecu1","Aug09"
"59184",2019-08-09 14:41:21,396.58204791,-19.635734263,"ecu1","Aug09"
"59185",2019-08-09 14:41:22,396.58204791,-19.635734263,"ecu1","Aug09"
"59186",2019-08-09 14:41:23,396.58204791,-19.635734263,"ecu1","Aug09"
"59187",2019-08-09 14:41:24,396.46095653,-19.635734263,"ecu1","Aug09"
"59188",2019-08-09 14:41:24,396.46095653,-19.350233119,"ecu1","Aug09"
"59189",2019-08-09 14:41:26,396.46095653,-19.350233119,"ecu1","Aug09"
"59190",2019-08-09 14:41:27,396.46095653,-19.350233119,"ecu1","Aug09"
"59191",2019-08-09 14:41:27,396.14969499,-19.350233119,"ecu1","Aug09"
"59192",2019-08-09 14:41:28,396.14969499,-20.991658355,"ecu1","Aug09"
"59193",2019-08-09 14:41:29,396.14969499,-20.991658355,"ecu1","Aug09"
"59194",2019-08-09 14:41:30,396.14969499,-20.991658355,"ecu1","Aug09"
"59195",2019-08-09 14:41:31,395.84473327,-20.991658355,"ecu1","Aug09"
"59196",2019-08-09 14:41:31,395.84473327,-17.831236726,"ecu1","Aug09"
"59197",2019-08-09 14:41:33,395.84473327,-17.831236726,"ecu1","Aug09"
"59198",2019-08-09 14:41:34,395.84473327,-17.831236726,"ecu1","Aug09"
"59199",2019-08-09 14:41:34,396.11299653,-17.831236726,"ecu1","Aug09"
"59200",2019-08-09 14:41:35,396.11299653,-21.488721312,"ecu1","Aug09"
"59201",2019-08-09 14:41:36,396.11299653,-21.488721312,"ecu1","Aug09"
"59202",2019-08-09 14:41:37,396.11299653,-21.488721312,"ecu1","Aug09"
"59203",2019-08-09 14:41:38,396.15727231,-21.488721312,"ecu1","Aug09"
"59204",2019-08-09 14:41:38,396.15727231,-20.272983362,"ecu1","Aug09"
"59205",2019-08-09 14:41:40,396.15727231,-20.272983362,"ecu1","Aug09"
"59206",2019-08-09 14:41:41,396.15727231,-20.272983362,"ecu1","Aug09"
"59207",2019-08-09 14:41:41,396.203448,-20.272983362,"ecu1","Aug09"
"59208",2019-08-09 14:41:42,396.203448,-18.271684364,"ecu1","Aug09"
"59209",2019-08-09 14:41:43,396.203448,-18.271684364,"ecu1","Aug09"
