"","X","PosixCT","HR_12CH4","HP_12CH4","Delta_iCH4_Raw","HR_Delta_iCH4_Raw","HR_Delta_iCH4_30s","HP_Delta_iCH4_Raw","HP_Delta_iCH4_30s","Sample"
"84550",84550,2019-08-13 20:53:01,1.8473389097,1.9077711898,-40.619815738,-42.09948003,-48.159966558,-40.619815738,-44.966680622,"col1"
"84551",84551,2019-08-13 20:53:01,1.8473389097,1.9077711898,-40.619815738,-42.09948003,-48.159966558,-40.619815738,-44.966680622,"col1"
"84552",84552,2019-08-13 20:53:02,1.8473389097,1.9077711898,-40.619815738,-42.09948003,-48.159966558,-40.619815738,-44.966680622,"col1"
"84553",84553,2019-08-13 20:53:03,1.8212524649,1.8957049359,-47.422533275,-41.861322234,-47.739043154,-47.422533275,-45.526299034,"col1"
"84554",84554,2019-08-13 20:53:04,1.8212524649,1.8957049359,-47.422533275,-41.861322234,-47.739043154,-47.422533275,-45.526299034,"col1"
"84555",84555,2019-08-13 20:53:05,1.8212524649,1.8957049359,-47.422533275,-41.861322234,-47.739043154,-47.422533275,-45.526299034,"col1"
"84556",84556,2019-08-13 20:53:05,1.8212524649,1.8957049359,-47.422533275,-41.861322234,-47.739043154,-47.422533275,-45.526299034,"col1"
"84557",84557,2019-08-13 20:53:06,1.8221590721,1.8859000071,-53.767627298,-52.215990109,-48.586041148,-53.767627298,-46.236576094,"col1"
"84558",84558,2019-08-13 20:53:08,1.8221590721,1.8859000071,-53.767627298,-52.215990109,-48.586041148,-53.767627298,-46.236576094,"col1"
"84559",84559,2019-08-13 20:53:08,1.8221590721,1.8859000071,-53.767627298,-52.215990109,-48.586041148,-53.767627298,-46.236576094,"col1"
"84560",84560,2019-08-13 20:53:09,1.8221590721,1.8859000071,-53.767627298,-52.215990109,-48.586041148,-53.767627298,-46.236576094,"col1"
"84561",84561,2019-08-13 20:53:10,1.8142528801,1.8786203132,-41.641035532,-41.297746009,-47.144293184,-41.641035532,-45.971917116,"col1"
"84562",84562,2019-08-13 20:53:11,1.8142528801,1.8786203132,-41.641035532,-41.297746009,-47.144293184,-41.641035532,-45.971917116,"col1"
"84563",84563,2019-08-13 20:53:12,1.8142528801,1.8786203132,-41.641035532,-41.297746009,-47.144293184,-41.641035532,-45.971917116,"col1"
"84564",84564,2019-08-13 20:53:12,1.8142528801,1.8786203132,-41.641035532,-41.297746009,-47.144293184,-41.641035532,-45.971917116,"col1"
"84565",84565,2019-08-13 20:53:13,1.8266989804,1.871823958,-49.079472203,-57.994424959,-48.651051301,-49.079472203,-46.594519767,"col1"
"84566",84566,2019-08-13 20:53:15,1.8266989804,1.871823958,-49.079472203,-57.994424959,-48.651051301,-49.079472203,-46.594519767,"col1"
"84567",84567,2019-08-13 20:53:15,1.8266989804,1.871823958,-49.079472203,-57.994424959,-48.651051301,-49.079472203,-46.594519767,"col1"
"84568",84568,2019-08-13 20:53:16,1.8266989804,1.871823958,-49.079472203,-57.994424959,-48.651051301,-49.079472203,-46.594519767,"col1"
"84569",84569,2019-08-13 20:53:17,1.8042974206,1.8673034469,-52.185848022,-52.770960669,-49.205919504,-52.185848022,-47.407915459,"col1"
"84570",84570,2019-08-13 20:53:18,1.8042974206,1.8673034469,-52.185848022,-52.770960669,-49.205919504,-52.185848022,-47.407915459,"col1"
