"","X.1","X","PosixCT","X12CO2","Delta_Raw_iCO2","Sample","Day"
"1293",83936,83936,"2019-08-13 20:44:01",507.76369814,-21.154989774,"ecu3","Aug13"
"1294",83937,83937,"2019-08-13 20:44:02",507.76369814,-21.154989774,"ecu3","Aug13"
"1295",83938,83938,"2019-08-13 20:44:03",507.76369814,-21.154989774,"ecu3","Aug13"
"1296",83939,83939,"2019-08-13 20:44:04",484.07712821,-21.154989774,"ecu3","Aug13"
"1297",83940,83940,"2019-08-13 20:44:04",484.07712821,-18.904488564,"ecu3","Aug13"
"1298",83941,83941,"2019-08-13 20:44:05",484.07712821,-18.904488564,"ecu3","Aug13"
"1299",83942,83942,"2019-08-13 20:44:07",484.07712821,-18.904488564,"ecu3","Aug13"
"1300",83943,83943,"2019-08-13 20:44:07",462.75179278,-18.904488564,"ecu3","Aug13"
"1301",83944,83944,"2019-08-13 20:44:08",462.75179278,-21.788226534,"ecu3","Aug13"
"1302",83945,83945,"2019-08-13 20:44:09",462.75179278,-21.788226534,"ecu3","Aug13"
"1303",83946,83946,"2019-08-13 20:44:10",462.75179278,-21.788226534,"ecu3","Aug13"
"1304",83947,83947,"2019-08-13 20:44:11",445.59906651,-21.788226534,"ecu3","Aug13"
"1305",83948,83948,"2019-08-13 20:44:11",445.59906651,-23.278342962,"ecu3","Aug13"
"1306",83949,83949,"2019-08-13 20:44:12",445.59906651,-23.278342962,"ecu3","Aug13"
"1307",83950,83950,"2019-08-13 20:44:14",445.59906651,-23.278342962,"ecu3","Aug13"
"1308",83951,83951,"2019-08-13 20:44:14",431.71022156,-23.278342962,"ecu3","Aug13"
"1309",83952,83952,"2019-08-13 20:44:15",431.71022156,-21.7416176,"ecu3","Aug13"
"1310",83953,83953,"2019-08-13 20:44:16",431.71022156,-21.7416176,"ecu3","Aug13"
"1311",83954,83954,"2019-08-13 20:44:17",431.71022156,-21.7416176,"ecu3","Aug13"
"1312",83955,83955,"2019-08-13 20:44:18",421.76574148,-21.7416176,"ecu3","Aug13"
"1313",83956,83956,"2019-08-13 20:44:18",421.76574148,-22.52758066,"ecu3","Aug13"
"1314",83957,83957,"2019-08-13 20:44:19",421.76574148,-22.52758066,"ecu3","Aug13"
"1315",83958,83958,"2019-08-13 20:44:21",421.76574148,-22.52758066,"ecu3","Aug13"
"1316",83959,83959,"2019-08-13 20:44:21",413.87853218,-22.52758066,"ecu3","Aug13"
"1317",83960,83960,"2019-08-13 20:44:22",413.87853218,-19.386994124,"ecu3","Aug13"
"1318",83961,83961,"2019-08-13 20:44:23",413.87853218,-19.386994124,"ecu3","Aug13"
"1319",83962,83962,"2019-08-13 20:44:24",413.87853218,-19.386994124,"ecu3","Aug13"
"1320",83963,83963,"2019-08-13 20:44:25",408.14895136,-19.386994124,"ecu3","Aug13"
"1321",83964,83964,"2019-08-13 20:44:25",408.14895136,-22.323924199,"ecu3","Aug13"
"1322",83965,83965,"2019-08-13 20:44:26",408.14895136,-22.323924199,"ecu3","Aug13"
"1323",83966,83966,"2019-08-13 20:44:28",408.14895136,-22.323924199,"ecu3","Aug13"
"1324",83967,83967,"2019-08-13 20:44:28",403.77033085,-22.323924199,"ecu3","Aug13"
"1325",83968,83968,"2019-08-13 20:44:29",403.77033085,-23.840015238,"ecu3","Aug13"
"1326",83969,83969,"2019-08-13 20:44:30",403.77033085,-23.840015238,"ecu3","Aug13"
"1327",83970,83970,"2019-08-13 20:44:31",403.77033085,-23.840015238,"ecu3","Aug13"
"1328",83971,83971,"2019-08-13 20:44:32",400.74723967,-23.840015238,"ecu3","Aug13"
"1329",83972,83972,"2019-08-13 20:44:32",400.74723967,-24.451461658,"ecu3","Aug13"
"1330",83973,83973,"2019-08-13 20:44:33",400.74723967,-24.451461658,"ecu3","Aug13"
"1331",83974,83974,"2019-08-13 20:44:35",400.74723967,-24.451461658,"ecu3","Aug13"
"1332",83975,83975,"2019-08-13 20:44:35",398.55417662,-24.451461658,"ecu3","Aug13"
"1333",83976,83976,"2019-08-13 20:44:36",398.55417662,-24.5302585,"ecu3","Aug13"
"1334",83977,83977,"2019-08-13 20:44:37",398.55417662,-24.5302585,"ecu3","Aug13"
"1335",83978,83978,"2019-08-13 20:44:38",398.55417662,-24.5302585,"ecu3","Aug13"
"1336",83979,83979,"2019-08-13 20:44:39",396.80831848,-24.5302585,"ecu3","Aug13"
"1337",83980,83980,"2019-08-13 20:44:39",396.80831848,-26.249489881,"ecu3","Aug13"
"1338",83981,83981,"2019-08-13 20:44:40",396.80831848,-26.249489881,"ecu3","Aug13"
"1339",83982,83982,"2019-08-13 20:44:42",396.80831848,-26.249489881,"ecu3","Aug13"
"1340",83983,83983,"2019-08-13 20:44:42",395.13194805,-26.249489881,"ecu3","Aug13"
"1341",83984,83984,"2019-08-13 20:44:43",395.13194805,-24.949043825,"ecu3","Aug13"
"1342",83985,83985,"2019-08-13 20:44:44",395.13194805,-24.949043825,"ecu3","Aug13"
"1343",83986,83986,"2019-08-13 20:44:45",395.13194805,-24.949043825,"ecu3","Aug13"
"1344",83987,83987,"2019-08-13 20:44:46",394.86044954,-24.949043825,"ecu3","Aug13"
"1345",83988,83988,"2019-08-13 20:44:46",394.86044954,-26.652659935,"ecu3","Aug13"
"1346",83989,83989,"2019-08-13 20:44:48",394.86044954,-26.652659935,"ecu3","Aug13"
"1347",83990,83990,"2019-08-13 20:44:49",394.86044954,-26.652659935,"ecu3","Aug13"
"1348",83991,83991,"2019-08-13 20:44:49",394.00486296,-26.652659935,"ecu3","Aug13"
"1349",83992,83992,"2019-08-13 20:44:50",394.00486296,-23.764728557,"ecu3","Aug13"
"1350",83993,83993,"2019-08-13 20:44:51",394.00486296,-23.764728557,"ecu3","Aug13"
"1351",83994,83994,"2019-08-13 20:44:52",394.00486296,-23.764728557,"ecu3","Aug13"
"1352",83995,83995,"2019-08-13 20:44:53",393.46938873,-23.764728557,"ecu3","Aug13"
"1353",83996,83996,"2019-08-13 20:44:53",393.46938873,-23.912226744,"ecu3","Aug13"
"1354",83997,83997,"2019-08-13 20:44:55",393.46938873,-23.912226744,"ecu3","Aug13"
"1355",83998,83998,"2019-08-13 20:44:56",393.46938873,-23.912226744,"ecu3","Aug13"
"1356",83999,83999,"2019-08-13 20:44:56",393.24952766,-23.912226744,"ecu3","Aug13"
"1357",84000,84000,"2019-08-13 20:44:57",393.24952766,-23.164498081,"ecu3","Aug13"
"1358",84001,84001,"2019-08-13 20:44:58",393.24952766,-23.164498081,"ecu3","Aug13"
"1359",84002,84002,"2019-08-13 20:44:59",393.24952766,-23.164498081,"ecu3","Aug13"
"1360",84003,84003,"2019-08-13 20:45:00",392.76238028,-23.164498081,"ecu3","Aug13"
"1361",84004,84004,"2019-08-13 20:45:00",392.76238028,-23.578986584,"ecu3","Aug13"
"1362",84005,84005,"2019-08-13 20:45:02",392.76238028,-23.578986584,"ecu3","Aug13"
"1363",84006,84006,"2019-08-13 20:45:03",392.76238028,-23.578986584,"ecu3","Aug13"
"1364",84007,84007,"2019-08-13 20:45:03",392.97067074,-23.578986584,"ecu3","Aug13"
"1365",84008,84008,"2019-08-13 20:45:04",392.97067074,-23.251050803,"ecu3","Aug13"
"1366",84009,84009,"2019-08-13 20:45:05",392.97067074,-23.251050803,"ecu3","Aug13"
"1367",84010,84010,"2019-08-13 20:45:06",392.97067074,-23.251050803,"ecu3","Aug13"
"1368",84011,84011,"2019-08-13 20:45:07",392.4386023,-23.251050803,"ecu3","Aug13"
"1369",84012,84012,"2019-08-13 20:45:07",392.4386023,-24.473460281,"ecu3","Aug13"
"1370",84013,84013,"2019-08-13 20:45:09",392.4386023,-24.473460281,"ecu3","Aug13"
"1371",84014,84014,"2019-08-13 20:45:10",392.4386023,-24.473460281,"ecu3","Aug13"
"1372",84015,84015,"2019-08-13 20:45:10",392.29126086,-24.473460281,"ecu3","Aug13"
"1373",84016,84016,"2019-08-13 20:45:11",392.29126086,-22.615880321,"ecu3","Aug13"
"1374",84017,84017,"2019-08-13 20:45:12",392.29126086,-22.615880321,"ecu3","Aug13"
"1375",84018,84018,"2019-08-13 20:45:13",392.29126086,-22.615880321,"ecu3","Aug13"
"1376",84019,84019,"2019-08-13 20:45:14",392.38384784,-22.615880321,"ecu3","Aug13"
"1377",84020,84020,"2019-08-13 20:45:14",392.38384784,-26.414095312,"ecu3","Aug13"
"1378",84021,84021,"2019-08-13 20:45:16",392.38384784,-26.414095312,"ecu3","Aug13"
"1379",84022,84022,"2019-08-13 20:45:17",392.38384784,-26.414095312,"ecu3","Aug13"
"1380",84023,84023,"2019-08-13 20:45:17",392.08991242,-26.414095312,"ecu3","Aug13"
"1381",84024,84024,"2019-08-13 20:45:18",392.08991242,-23.134000597,"ecu3","Aug13"
"1382",84025,84025,"2019-08-13 20:45:19",392.08991242,-23.134000597,"ecu3","Aug13"
"1383",84026,84026,"2019-08-13 20:45:20",392.08991242,-23.134000597,"ecu3","Aug13"
"1384",84027,84027,"2019-08-13 20:45:21",392.00922002,-23.134000597,"ecu3","Aug13"
"1385",84028,84028,"2019-08-13 20:45:21",392.00922002,-20.443547908,"ecu3","Aug13"
"1386",84029,84029,"2019-08-13 20:45:23",392.00922002,-20.443547908,"ecu3","Aug13"
"1387",84030,84030,"2019-08-13 20:45:24",392.00922002,-20.443547908,"ecu3","Aug13"
"1388",84031,84031,"2019-08-13 20:45:24",392.41469634,-20.443547908,"ecu3","Aug13"
"1389",84032,84032,"2019-08-13 20:45:25",392.41469634,-25.097218976,"ecu3","Aug13"
"1390",84033,84033,"2019-08-13 20:45:26",392.41469634,-25.097218976,"ecu3","Aug13"
"1391",84034,84034,"2019-08-13 20:45:27",392.41469634,-25.097218976,"ecu3","Aug13"
"1392",84035,84035,"2019-08-13 20:45:28",391.90597356,-25.097218976,"ecu3","Aug13"
"1393",84036,84036,"2019-08-13 20:45:28",391.90597356,-22.645478035,"ecu3","Aug13"
"1394",84037,84037,"2019-08-13 20:45:30",391.90597356,-22.645478035,"ecu3","Aug13"
"1395",84038,84038,"2019-08-13 20:45:31",391.90597356,-22.645478035,"ecu3","Aug13"
"1396",84039,84039,"2019-08-13 20:45:31",392.22182444,-22.645478035,"ecu3","Aug13"
"1397",84040,84040,"2019-08-13 20:45:32",392.22182444,-24.567422641,"ecu3","Aug13"
"1398",84041,84041,"2019-08-13 20:45:33",392.22182444,-24.567422641,"ecu3","Aug13"
"1399",84042,84042,"2019-08-13 20:45:34",392.22182444,-24.567422641,"ecu3","Aug13"
"1400",84043,84043,"2019-08-13 20:45:35",392.28451335,-24.567422641,"ecu3","Aug13"
"1401",84044,84044,"2019-08-13 20:45:35",392.28451335,-20.928388712,"ecu3","Aug13"
"1402",84045,84045,"2019-08-13 20:45:37",392.28451335,-20.928388712,"ecu3","Aug13"
"1403",84046,84046,"2019-08-13 20:45:38",392.28451335,-20.928388712,"ecu3","Aug13"
"1404",84047,84047,"2019-08-13 20:45:38",392.17782391,-20.928388712,"ecu3","Aug13"
"1405",84048,84048,"2019-08-13 20:45:39",392.17782391,-23.557506684,"ecu3","Aug13"
"1406",84049,84049,"2019-08-13 20:45:40",392.17782391,-23.557506684,"ecu3","Aug13"
"1407",84050,84050,"2019-08-13 20:45:41",392.17782391,-23.557506684,"ecu3","Aug13"
"1408",84051,84051,"2019-08-13 20:45:42",392.25284927,-23.557506684,"ecu3","Aug13"
"1409",84052,84052,"2019-08-13 20:45:42",392.25284927,-24.897910304,"ecu3","Aug13"
"1410",84053,84053,"2019-08-13 20:45:44",392.25284927,-24.897910304,"ecu3","Aug13"
"1411",84054,84054,"2019-08-13 20:45:45",392.25284927,-24.897910304,"ecu3","Aug13"
"1412",84055,84055,"2019-08-13 20:45:45",392.76797165,-24.897910304,"ecu3","Aug13"
"1413",84056,84056,"2019-08-13 20:45:46",392.76797165,-27.379023017,"ecu3","Aug13"
"1414",84057,84057,"2019-08-13 20:45:47",392.76797165,-27.379023017,"ecu3","Aug13"
"1415",84058,84058,"2019-08-13 20:45:48",392.76797165,-27.379023017,"ecu3","Aug13"
"1416",84059,84059,"2019-08-13 20:45:49",392.27901265,-27.379023017,"ecu3","Aug13"
"1417",84060,84060,"2019-08-13 20:45:49",392.27901265,-22.045968787,"ecu3","Aug13"
"1418",84061,84061,"2019-08-13 20:45:51",392.27901265,-22.045968787,"ecu3","Aug13"
"1419",84062,84062,"2019-08-13 20:45:52",392.27901265,-22.045968787,"ecu3","Aug13"
"1420",84063,84063,"2019-08-13 20:45:52",392.49944548,-22.045968787,"ecu3","Aug13"
"1421",84064,84064,"2019-08-13 20:45:53",392.49944548,-26.804431212,"ecu3","Aug13"
"1422",84065,84065,"2019-08-13 20:45:54",392.49944548,-26.804431212,"ecu3","Aug13"
"1423",84066,84066,"2019-08-13 20:45:55",392.49944548,-26.804431212,"ecu3","Aug13"
"1424",84067,84067,"2019-08-13 20:45:56",392.4842782,-26.804431212,"ecu3","Aug13"
"1425",84068,84068,"2019-08-13 20:45:57",392.4842782,-28.400181819,"ecu3","Aug13"
"1426",84069,84069,"2019-08-13 20:45:58",392.4842782,-28.400181819,"ecu3","Aug13"
"1427",84070,84070,"2019-08-13 20:45:59",392.4842782,-28.400181819,"ecu3","Aug13"
"1428",84071,84071,"2019-08-13 20:46:00",392.85520761,-28.400181819,"ecu3","Aug13"
"1429",84072,84072,"2019-08-13 20:46:00",392.85520761,-26.863651589,"ecu3","Aug13"
"1430",84073,84073,"2019-08-13 20:46:01",392.85520761,-26.863651589,"ecu3","Aug13"
"1431",84074,84074,"2019-08-13 20:46:02",392.85520761,-26.863651589,"ecu3","Aug13"
"1432",84075,84075,"2019-08-13 20:46:03",392.76779961,-26.863651589,"ecu3","Aug13"
"1433",84076,84076,"2019-08-13 20:46:04",392.76779961,-22.803857185,"ecu3","Aug13"
"1434",84077,84077,"2019-08-13 20:46:05",392.76779961,-22.803857185,"ecu3","Aug13"
"1435",84078,84078,"2019-08-13 20:46:06",392.76779961,-22.803857185,"ecu3","Aug13"
"1436",84079,84079,"2019-08-13 20:46:07",392.43964209,-22.803857185,"ecu3","Aug13"
"1437",84080,84080,"2019-08-13 20:46:07",392.43964209,-23.958628292,"ecu3","Aug13"
"1438",84081,84081,"2019-08-13 20:46:08",392.43964209,-23.958628292,"ecu3","Aug13"
"1439",84082,84082,"2019-08-13 20:46:09",392.43964209,-23.958628292,"ecu3","Aug13"
"1440",84083,84083,"2019-08-13 20:46:10",392.22602047,-23.958628292,"ecu3","Aug13"
"1441",84084,84084,"2019-08-13 20:46:11",392.22602047,-22.218089756,"ecu3","Aug13"
"1442",84085,84085,"2019-08-13 20:46:12",392.22602047,-22.218089756,"ecu3","Aug13"
"1443",84086,84086,"2019-08-13 20:46:13",392.22602047,-22.218089756,"ecu3","Aug13"
"1444",84087,84087,"2019-08-13 20:46:14",392.65456517,-22.218089756,"ecu3","Aug13"
"1445",84088,84088,"2019-08-13 20:46:14",392.65456517,-28.153633538,"ecu3","Aug13"
