"","DATE","PosixCT","X12CO2","Delta_Raw_iCO2","Delta_30s_iCO2","HR_12CH4","HP_12CH4","Delta_iCH4_Raw","HR_Delta_iCH4_Raw","HR_Delta_iCH4_30s","HP_Delta_iCH4_Raw","HP_Delta_iCH4_30s","Sample"
"84585","2019-08-13",2019-08-13 20:53:31,549.38311279,-15.62896626,-13.861538749,1.7933700216,1.856638533,-48.364708916,-49.271424025,-49.726748723,-48.364708916,-47.888234015,"col1"
"84586","2019-08-13",2019-08-13 20:53:32,549.38311279,-15.62896626,-13.861538749,1.7933700216,1.856638533,-48.364708916,-49.271424025,-49.726748723,-48.364708916,-47.888234015,"col1"
"84587","2019-08-13",2019-08-13 20:53:33,549.44925014,-15.62896626,-13.861538749,1.7933700216,1.856638533,-48.364708916,-49.271424025,-49.726748723,-48.364708916,-47.888234015,"col1"
"84588","2019-08-13",2019-08-13 20:53:33,549.44925014,-14.494637437,-13.78503982,1.7933700216,1.856638533,-48.364708916,-49.271424025,-49.726748723,-48.364708916,-47.888234015,"col1"
"84589","2019-08-13",2019-08-13 20:53:34,549.44925014,-14.494637437,-13.78503982,1.7936761524,1.8549193793,-43.574711956,-46.199016202,-50.208714719,-43.574711956,-47.460698313,"col1"
"84590","2019-08-13",2019-08-13 20:53:36,549.44925014,-14.494637437,-13.78503982,1.7936761524,1.8549193793,-43.574711956,-46.199016202,-50.208714719,-43.574711956,-47.460698313,"col1"
"84591","2019-08-13",2019-08-13 20:53:36,550.15504213,-14.494637437,-13.78503982,1.7936761524,1.8549193793,-43.574711956,-46.199016202,-50.208714719,-43.574711956,-47.460698313,"col1"
"84592","2019-08-13",2019-08-13 20:53:37,550.15504213,-14.689239126,-13.601241227,1.7936761524,1.8549193793,-43.574711956,-46.199016202,-50.208714719,-43.574711956,-47.460698313,"col1"
"84593","2019-08-13",2019-08-13 20:53:38,550.15504213,-14.689239126,-13.601241227,1.80483924,1.8532326581,-46.696683981,-55.235009502,-50.544161319,-46.696683981,-46.675037944,"col1"
"84594","2019-08-13",2019-08-13 20:53:39,550.15504213,-14.689239126,-13.601241227,1.80483924,1.8532326581,-46.696683981,-55.235009502,-50.544161319,-46.696683981,-46.675037944,"col1"
"84595","2019-08-13",2019-08-13 20:53:40,549.66073911,-14.689239126,-13.601241227,1.80483924,1.8532326581,-46.696683981,-55.235009502,-50.544161319,-46.696683981,-46.675037944,"col1"
"84596","2019-08-13",2019-08-13 20:53:40,549.66073911,-12.127213807,-13.464384105,1.80483924,1.8532326581,-46.696683981,-55.235009502,-50.544161319,-46.696683981,-46.675037944,"col1"
"84597","2019-08-13",2019-08-13 20:53:41,549.66073911,-12.127213807,-13.464384105,1.7913756002,1.8522758841,-50.890308381,-52.967537373,-51.840804804,-50.890308381,-47.702734928,"col1"
"84598","2019-08-13",2019-08-13 20:53:43,549.66073911,-12.127213807,-13.464384105,1.7913756002,1.8522758841,-50.890308381,-52.967537373,-51.840804804,-50.890308381,-47.702734928,"col1"
"84599","2019-08-13",2019-08-13 20:53:43,550.02609051,-12.127213807,-13.464384105,1.7913756002,1.8522758841,-50.890308381,-52.967537373,-51.840804804,-50.890308381,-47.702734928,"col1"
"84600","2019-08-13",2019-08-13 20:53:44,550.02609051,-12.681398349,-13.467282859,1.7913756002,1.8522758841,-50.890308381,-52.967537373,-51.840804804,-50.890308381,-47.702734928,"col1"
"84601","2019-08-13",2019-08-13 20:53:45,550.02609051,-12.681398349,-13.467282859,1.7897978685,1.8515259662,-42.820745906,-44.355608766,-50.325380782,-42.820745906,-47.007320895,"col1"
"84602","2019-08-13",2019-08-13 20:53:46,550.02609051,-12.681398349,-13.467282859,1.7897978685,1.8515259662,-42.820745906,-44.355608766,-50.325380782,-42.820745906,-47.007320895,"col1"
"84603","2019-08-13",2019-08-13 20:53:47,550.0689056,-12.681398349,-13.467282859,1.7897978685,1.8515259662,-42.820745906,-44.355608766,-50.325380782,-42.820745906,-47.007320895,"col1"
"84604","2019-08-13",2019-08-13 20:53:47,550.0689056,-15.560258994,-13.718331414,1.7897978685,1.8515259662,-42.820745906,-44.355608766,-50.325380782,-42.820745906,-47.007320895,"col1"
"84605","2019-08-13",2019-08-13 20:53:48,550.0689056,-15.560258994,-13.718331414,1.7989890033,1.85012442,-37.604792282,-45.211352191,-49.485424285,-37.604792282,-45.38720359,"col1"
"84606","2019-08-13",2019-08-13 20:53:50,550.0689056,-15.560258994,-13.718331414,1.7989890033,1.85012442,-37.604792282,-45.211352191,-49.485424285,-37.604792282,-45.38720359,"col1"
"84607","2019-08-13",2019-08-13 20:53:50,550.0015678,-15.560258994,-13.718331414,1.7989890033,1.85012442,-37.604792282,-45.211352191,-49.485424285,-37.604792282,-45.38720359,"col1"
"84608","2019-08-13",2019-08-13 20:53:51,550.0015678,-14.71928579,-13.915459869,1.7989890033,1.85012442,-37.604792282,-45.211352191,-49.485424285,-37.604792282,-45.38720359,"col1"
"84609","2019-08-13",2019-08-13 20:53:52,550.0015678,-14.71928579,-13.915459869,1.7869253433,1.8497698765,-46.468292637,-47.474233781,-49.263102792,-46.468292637,-45.203574938,"col1"
"84610","2019-08-13",2019-08-13 20:53:53,550.0015678,-14.71928579,-13.915459869,1.7869253433,1.8497698765,-46.468292637,-47.474233781,-49.263102792,-46.468292637,-45.203574938,"col1"
"84611","2019-08-13",2019-08-13 20:53:54,550.08978806,-14.71928579,-13.915459869,1.7869253433,1.8497698765,-46.468292637,-47.474233781,-49.263102792,-46.468292637,-45.203574938,"col1"
"84612","2019-08-13",2019-08-13 20:53:54,550.08978806,-16.61054188,-14.272454618,1.7869253433,1.8497698765,-46.468292637,-47.474233781,-49.263102792,-46.468292637,-45.203574938,"col1"
"84613","2019-08-13",2019-08-13 20:53:55,550.08978806,-16.61054188,-14.272454618,1.7850435934,1.8492055009,-44.579376459,-45.215112891,-48.176765341,-44.579376459,-44.512023389,"col1"
"84614","2019-08-13",2019-08-13 20:53:57,550.08978806,-16.61054188,-14.272454618,1.7850435934,1.8492055009,-44.579376459,-45.215112891,-48.176765341,-44.579376459,-44.512023389,"col1"
"84615","2019-08-13",2019-08-13 20:53:57,550.25556466,-16.61054188,-14.272454618,1.7850435934,1.8492055009,-44.579376459,-45.215112891,-48.176765341,-44.579376459,-44.512023389,"col1"
"84616","2019-08-13",2019-08-13 20:53:58,550.25556466,-12.45307709,-14.329402081,1.7850435934,1.8492055009,-44.579376459,-45.215112891,-48.176765341,-44.579376459,-44.512023389,"col1"
"84617","2019-08-13",2019-08-13 20:53:59,550.25556466,-12.45307709,-14.329402081,1.8009060481,1.8484478,-41.840898578,-48.753598067,-48.2980992,-41.840898578,-44.760057677,"col1"
"84618","2019-08-13",2019-08-13 20:54:00,550.25556466,-12.45307709,-14.329402081,1.8009060481,1.8484478,-41.840898578,-48.753598067,-48.2980992,-41.840898578,-44.760057677,"col1"
"84619","2019-08-13",2019-08-13 20:54:01,550.31703646,-12.45307709,-14.329402081,1.8009060481,1.8484478,-41.840898578,-48.753598067,-48.2980992,-41.840898578,-44.760057677,"col1"
"84620","2019-08-13",2019-08-13 20:54:01,550.31703646,-15.452244123,-14.309766288,1.8009060481,1.8484478,-41.840898578,-48.753598067,-48.2980992,-41.840898578,-44.760057677,"col1"
"84621","2019-08-13",2019-08-13 20:54:02,550.31703646,-15.452244123,-14.309766288,1.7887340021,1.8479735592,-45.485784779,-48.088387931,-48.166650745,-45.485784779,-44.440177218,"col1"
"84622","2019-08-13",2019-08-13 20:54:04,550.31703646,-15.452244123,-14.309766288,1.7887340021,1.8479735592,-45.485784779,-48.088387931,-48.166650745,-45.485784779,-44.440177218,"col1"
"84623","2019-08-13",2019-08-13 20:54:04,550.18133922,-15.452244123,-14.309766288,1.7887340021,1.8479735592,-45.485784779,-48.088387931,-48.166650745,-45.485784779,-44.440177218,"col1"
"84624","2019-08-13",2019-08-13 20:54:05,550.18133922,-13.290722363,-14.175997947,1.7887340021,1.8479735592,-45.485784779,-48.088387931,-48.166650745,-45.485784779,-44.440177218,"col1"
"84625","2019-08-13",2019-08-13 20:54:06,550.18133922,-13.290722363,-14.175997947,1.7931832341,1.8476856651,-44.554330169,-48.609515181,-48.434483965,-44.554330169,-44.549023686,"col1"
