"","X","PosixCT","X12CO2","Delta_Raw_iCO2","Sample"
"84550",84550,2019-08-13 20:53:01,541.0924917,-10.927836512,"col1"
"84551",84551,2019-08-13 20:53:01,542.91070127,-10.927836512,"col1"
"84552",84552,2019-08-13 20:53:02,542.91070127,-15.183127799,"col1"
"84553",84553,2019-08-13 20:53:03,542.91070127,-15.183127799,"col1"
"84554",84554,2019-08-13 20:53:04,542.91070127,-15.183127799,"col1"
"84555",84555,2019-08-13 20:53:05,544.38120046,-15.183127799,"col1"
"84556",84556,2019-08-13 20:53:05,544.38120046,-16.343426459,"col1"
"84557",84557,2019-08-13 20:53:06,544.38120046,-16.343426459,"col1"
"84558",84558,2019-08-13 20:53:08,544.38120046,-16.343426459,"col1"
"84559",84559,2019-08-13 20:53:08,545.9611796,-16.343426459,"col1"
"84560",84560,2019-08-13 20:53:09,545.9611796,-13.358927905,"col1"
"84561",84561,2019-08-13 20:53:10,545.9611796,-13.358927905,"col1"
"84562",84562,2019-08-13 20:53:11,545.9611796,-13.358927905,"col1"
"84563",84563,2019-08-13 20:53:12,546.82614689,-13.358927905,"col1"
"84564",84564,2019-08-13 20:53:12,546.82614689,-12.655309561,"col1"
"84565",84565,2019-08-13 20:53:13,546.82614689,-12.655309561,"col1"
"84566",84566,2019-08-13 20:53:15,546.82614689,-12.655309561,"col1"
"84567",84567,2019-08-13 20:53:15,547.8569985,-12.655309561,"col1"
"84568",84568,2019-08-13 20:53:16,547.8569985,-13.300822001,"col1"
"84569",84569,2019-08-13 20:53:17,547.8569985,-13.300822001,"col1"
"84570",84570,2019-08-13 20:53:18,547.8569985,-13.300822001,"col1"
"84571",84571,2019-08-13 20:53:19,548.31333576,-13.300822001,"col1"
"84572",84572,2019-08-13 20:53:19,548.31333576,-12.945129698,"col1"
"84573",84573,2019-08-13 20:53:20,548.31333576,-12.945129698,"col1"
"84574",84574,2019-08-13 20:53:22,548.31333576,-12.945129698,"col1"
"84575",84575,2019-08-13 20:53:22,548.94862012,-12.945129698,"col1"
"84576",84576,2019-08-13 20:53:23,548.94862012,-13.397589137,"col1"
