"","Day","Sample","Avg_iCO2","StdDev_iCO2"
"1","july17","ecu2",-24.8255992116471,1.83735411209681
"2","july17","ecu3",-25.065012741585,1.72852368580281
"3","july23","ecu3",-25.0110752380318,2.11617320920439
"4","july23","ecu2",-24.8104049818684,2.48339940437255
"5","july23","ecu1",-22.0856379008818,3.93410214061314
"6","july30","ecu1",-21.6804377543258,3.13507641702707
"7","july30","ecu2",-23.6911081168664,3.21607667264239
"8","aug02","ecu3",-22.8778045510155,2.40217231561823
"9","aug02","ecu4",-22.9711298163052,2.56654269343026
"10","aug09","ecu1",-20.3418203852193,1.51026796418478
"11","aug09","ecu2",-23.0268746392373,1.18571138147302
"12","Aug13","ecu3",-23.9331267025441,2.36596468279412
"13","Aug13","ecu4",-22.0232785053235,3.91543858823855
