"","PosixCT","Day","Sample","HR_12CH4","HP_12CH4","Delta_iCH4_Raw","HR_Delta_iCH4_Raw","HR_Delta_iCH4_30s","HP_Delta_iCH4_Raw","HP_Delta_iCH4_30s"
"1","2019-08-02 18:22:12","aug02","ecu3",3.3302740702,3.4708626658,-39.835361083,-22.71855451,-42.14569755,-39.835361083,-38.39419348
"2","2019-08-02 18:22:13","aug02","ecu3",3.3302740702,3.4708626658,-39.835361083,-22.71855451,-42.14569755,-39.835361083,-38.39419348
"3","2019-08-02 18:22:14","aug02","ecu3",3.3302740702,3.4708626658,-39.835361083,-22.71855451,-42.14569755,-39.835361083,-38.39419348
"4","2019-08-02 18:22:15","aug02","ecu3",3.3302740702,3.4708626658,-39.835361083,-22.71855451,-42.14569755,-39.835361083,-38.39419348
"5","2019-08-02 18:22:16","aug02","ecu3",3.0715212923,3.1975788008,-42.33541857,-26.980409342,-36.153578433,-42.33541857,-38.492715421
"6","2019-08-02 18:22:17","aug02","ecu3",3.0715212923,3.1975788008,-42.33541857,-26.980409342,-36.153578433,-42.33541857,-38.492715421
"7","2019-08-02 18:22:18","aug02","ecu3",3.0715212923,3.1975788008,-42.33541857,-26.980409342,-36.153578433,-42.33541857,-38.492715421
"8","2019-08-02 18:22:18","aug02","ecu3",3.0715212923,3.1975788008,-42.33541857,-26.980409342,-36.153578433,-42.33541857,-38.492715421
"9","2019-08-02 18:22:19","aug02","ecu3",2.8470423622,2.9644581986,-45.129399787,-29.283646103,-32.06934962,-45.129399787,-39.105846584
"10","2019-08-02 18:22:20","aug02","ecu3",2.8470423622,2.9644581986,-45.129399787,-29.283646103,-32.06934962,-45.129399787,-39.105846584
"11","2019-08-02 18:22:21","aug02","ecu3",2.8470423622,2.9644581986,-45.129399787,-29.283646103,-32.06934962,-45.129399787,-39.105846584
"12","2019-08-02 18:22:22","aug02","ecu3",2.8470423622,2.9644581986,-45.129399787,-29.283646103,-32.06934962,-45.129399787,-39.105846584
"13","2019-08-02 18:22:23","aug02","ecu3",2.6797849496,2.7764056967,-46.567125576,-37.082433209,-29.91381168,-46.567125576,-39.931868392
"14","2019-08-02 18:22:24","aug02","ecu3",2.6797849496,2.7764056967,-46.567125576,-37.082433209,-29.91381168,-46.567125576,-39.931868392
