"","PosixCT","Day","Sample","X12CO2","Delta_Raw_iCO2"
"1",2019-08-02 18:48:44,"Aug02","ecu4",482.47464736,-17.750773945
"2",2019-08-02 18:48:45,"Aug02","ecu4",482.47464736,-17.750773945
"3",2019-08-02 18:48:45,"Aug02","ecu4",467.48046945,-17.750773945
"4",2019-08-02 18:48:46,"Aug02","ecu4",467.48046945,-21.229827791
"5",2019-08-02 18:48:47,"Aug02","ecu4",467.48046945,-21.229827791
"6",2019-08-02 18:48:48,"Aug02","ecu4",467.48046945,-21.229827791
"7",2019-08-02 18:48:49,"Aug02","ecu4",453.78502003,-21.229827791
"8",2019-08-02 18:48:49,"Aug02","ecu4",453.78502003,-17.957878596
"9",2019-08-02 18:48:51,"Aug02","ecu4",453.78502003,-17.957878596
"10",2019-08-02 18:48:52,"Aug02","ecu4",453.78502003,-17.957878596
"11",2019-08-02 18:48:52,"Aug02","ecu4",442.1838012,-17.957878596
"12",2019-08-02 18:48:53,"Aug02","ecu4",442.1838012,-20.602362574
"13",2019-08-02 18:48:54,"Aug02","ecu4",442.1838012,-20.602362574
"14",2019-08-02 18:48:55,"Aug02","ecu4",442.1838012,-20.602362574
"15",2019-08-02 18:48:56,"Aug02","ecu4",432.82378821,-20.602362574
"16",2019-08-02 18:48:56,"Aug02","ecu4",432.82378821,-20.374973018
"17",2019-08-02 18:48:58,"Aug02","ecu4",432.82378821,-20.374973018
"18",2019-08-02 18:48:59,"Aug02","ecu4",432.82378821,-20.374973018
"19",2019-08-02 18:48:59,"Aug02","ecu4",425.31997387,-20.374973018
"20",2019-08-02 18:49:00,"Aug02","ecu4",425.31997387,-20.131614151
"21",2019-08-02 18:49:01,"Aug02","ecu4",425.31997387,-20.131614151
"22",2019-08-02 18:49:02,"Aug02","ecu4",425.31997387,-20.131614151
"23",2019-08-02 18:49:03,"Aug02","ecu4",420.09011197,-20.131614151
"24",2019-08-02 18:49:03,"Aug02","ecu4",420.09011197,-21.2583727
"25",2019-08-02 18:49:05,"Aug02","ecu4",420.09011197,-21.2583727
"26",2019-08-02 18:49:06,"Aug02","ecu4",420.09011197,-21.2583727
"27",2019-08-02 18:49:06,"Aug02","ecu4",416.08047504,-21.2583727
"28",2019-08-02 18:49:07,"Aug02","ecu4",416.08047504,-26.017761036
"29",2019-08-02 18:49:08,"Aug02","ecu4",416.08047504,-26.017761036
"30",2019-08-02 18:49:09,"Aug02","ecu4",416.08047504,-26.017761036
"31",2019-08-02 18:49:10,"Aug02","ecu4",412.90752956,-26.017761036
"32",2019-08-02 18:49:10,"Aug02","ecu4",412.90752956,-21.624537618
"33",2019-08-02 18:49:12,"Aug02","ecu4",412.90752956,-21.624537618
"34",2019-08-02 18:49:13,"Aug02","ecu4",412.90752956,-21.624537618
"35",2019-08-02 18:49:13,"Aug02","ecu4",410.65443686,-21.624537618
"36",2019-08-02 18:49:14,"Aug02","ecu4",410.65443686,-21.592244739
"37",2019-08-02 18:49:15,"Aug02","ecu4",410.65443686,-21.592244739
"38",2019-08-02 18:49:16,"Aug02","ecu4",410.65443686,-21.592244739
"39",2019-08-02 18:49:17,"Aug02","ecu4",409.04174398,-21.592244739
"40",2019-08-02 18:49:17,"Aug02","ecu4",409.04174398,-20.693072299
"41",2019-08-02 18:49:19,"Aug02","ecu4",409.04174398,-20.693072299
"42",2019-08-02 18:49:20,"Aug02","ecu4",409.04174398,-20.693072299
"43",2019-08-02 18:49:20,"Aug02","ecu4",407.68619029,-20.693072299
"44",2019-08-02 18:49:21,"Aug02","ecu4",407.68619029,-20.537146389
"45",2019-08-02 18:49:22,"Aug02","ecu4",407.68619029,-20.537146389
"46",2019-08-02 18:49:23,"Aug02","ecu4",407.68619029,-20.537146389
"47",2019-08-02 18:49:24,"Aug02","ecu4",406.97834441,-20.537146389
"48",2019-08-02 18:49:25,"Aug02","ecu4",406.97834441,-24.22452621
"49",2019-08-02 18:49:26,"Aug02","ecu4",406.97834441,-24.22452621
"50",2019-08-02 18:49:27,"Aug02","ecu4",406.97834441,-24.22452621
"51",2019-08-02 18:49:28,"Aug02","ecu4",406.5380239,-24.22452621
"52",2019-08-02 18:49:28,"Aug02","ecu4",406.5380239,-22.262942467
"53",2019-08-02 18:49:29,"Aug02","ecu4",406.5380239,-22.262942467
"54",2019-08-02 18:49:30,"Aug02","ecu4",406.5380239,-22.262942467
"55",2019-08-02 18:49:31,"Aug02","ecu4",406.63513968,-22.262942467
"56",2019-08-02 18:49:32,"Aug02","ecu4",406.63513968,-26.284185609
"57",2019-08-02 18:49:33,"Aug02","ecu4",406.63513968,-26.284185609
"58",2019-08-02 18:49:34,"Aug02","ecu4",406.63513968,-26.284185609
"59",2019-08-02 18:49:35,"Aug02","ecu4",406.12681613,-26.284185609
"60",2019-08-02 18:49:35,"Aug02","ecu4",406.12681613,-24.679196017
"61",2019-08-02 18:49:36,"Aug02","ecu4",406.12681613,-24.679196017
"62",2019-08-02 18:49:38,"Aug02","ecu4",406.12681613,-24.679196017
"63",2019-08-02 18:49:38,"Aug02","ecu4",405.9262939,-24.679196017
"64",2019-08-02 18:49:39,"Aug02","ecu4",405.9262939,-23.635025996
"65",2019-08-02 18:49:40,"Aug02","ecu4",405.9262939,-23.635025996
"66",2019-08-02 18:49:41,"Aug02","ecu4",405.9262939,-23.635025996
"67",2019-08-02 18:49:42,"Aug02","ecu4",405.50989697,-23.635025996
"68",2019-08-02 18:49:42,"Aug02","ecu4",405.50989697,-22.549648923
"69",2019-08-02 18:49:43,"Aug02","ecu4",405.50989697,-22.549648923
"70",2019-08-02 18:49:45,"Aug02","ecu4",405.50989697,-22.549648923
"71",2019-08-02 18:49:45,"Aug02","ecu4",405.85088398,-22.549648923
"72",2019-08-02 18:49:46,"Aug02","ecu4",405.85088398,-25.262310611
"73",2019-08-02 18:49:47,"Aug02","ecu4",405.85088398,-25.262310611
"74",2019-08-02 18:49:48,"Aug02","ecu4",405.85088398,-25.262310611
"75",2019-08-02 18:49:49,"Aug02","ecu4",405.67634027,-25.262310611
"76",2019-08-02 18:49:49,"Aug02","ecu4",405.67634027,-23.979911308
"77",2019-08-02 18:49:50,"Aug02","ecu4",405.67634027,-23.979911308
"78",2019-08-02 18:49:52,"Aug02","ecu4",405.67634027,-23.979911308
"79",2019-08-02 18:49:52,"Aug02","ecu4",405.71824349,-23.979911308
"80",2019-08-02 18:49:53,"Aug02","ecu4",405.71824349,-24.23936203
"81",2019-08-02 18:49:54,"Aug02","ecu4",405.71824349,-24.23936203
"82",2019-08-02 18:49:55,"Aug02","ecu4",405.71824349,-24.23936203
"83",2019-08-02 18:49:56,"Aug02","ecu4",405.74507724,-24.23936203
"84",2019-08-02 18:49:56,"Aug02","ecu4",405.74507724,-24.050879265
"85",2019-08-02 18:49:57,"Aug02","ecu4",405.74507724,-24.050879265
"86",2019-08-02 18:49:59,"Aug02","ecu4",405.74507724,-24.050879265
"87",2019-08-02 18:49:59,"Aug02","ecu4",405.8728433,-24.050879265
"88",2019-08-02 18:50:00,"Aug02","ecu4",405.8728433,-23.734411834
"89",2019-08-02 18:50:01,"Aug02","ecu4",405.8728433,-23.734411834
"90",2019-08-02 18:50:02,"Aug02","ecu4",405.8728433,-23.734411834
"91",2019-08-02 18:50:03,"Aug02","ecu4",405.78571378,-23.734411834
"92",2019-08-02 18:50:03,"Aug02","ecu4",405.78571378,-24.421379703
"93",2019-08-02 18:50:04,"Aug02","ecu4",405.78571378,-24.421379703
"94",2019-08-02 18:50:06,"Aug02","ecu4",405.78571378,-24.421379703
"95",2019-08-02 18:50:06,"Aug02","ecu4",405.78056438,-24.421379703
"96",2019-08-02 18:50:07,"Aug02","ecu4",405.78056438,-28.379754098
"97",2019-08-02 18:50:08,"Aug02","ecu4",405.78056438,-28.379754098
"98",2019-08-02 18:50:09,"Aug02","ecu4",405.78056438,-28.379754098
"99",2019-08-02 18:50:10,"Aug02","ecu4",406.06563758,-28.379754098
"100",2019-08-02 18:50:10,"Aug02","ecu4",406.06563758,-27.658046045
"101",2019-08-02 18:50:11,"Aug02","ecu4",406.06563758,-27.658046045
"102",2019-08-02 18:50:13,"Aug02","ecu4",406.06563758,-27.658046045
"103",2019-08-02 18:50:13,"Aug02","ecu4",406.27995008,-27.658046045
"104",2019-08-02 18:50:14,"Aug02","ecu4",406.27995008,-25.526696566
"105",2019-08-02 18:50:15,"Aug02","ecu4",406.27995008,-25.526696566
"106",2019-08-02 18:50:16,"Aug02","ecu4",406.27995008,-25.526696566
"107",2019-08-02 18:50:17,"Aug02","ecu4",405.85292421,-25.526696566
"108",2019-08-02 18:50:17,"Aug02","ecu4",405.85292421,-22.855622619
"109",2019-08-02 18:50:18,"Aug02","ecu4",405.85292421,-22.855622619
"110",2019-08-02 18:50:20,"Aug02","ecu4",405.85292421,-22.855622619
"111",2019-08-02 18:50:20,"Aug02","ecu4",405.75124418,-22.855622619
"112",2019-08-02 18:50:21,"Aug02","ecu4",405.75124418,-25.750258894
"113",2019-08-02 18:50:22,"Aug02","ecu4",405.75124418,-25.750258894
"114",2019-08-02 18:50:23,"Aug02","ecu4",405.75124418,-25.750258894
"115",2019-08-02 18:50:24,"Aug02","ecu4",406.19142243,-25.750258894
"116",2019-08-02 18:50:24,"Aug02","ecu4",406.19142243,-23.685438099
"117",2019-08-02 18:50:25,"Aug02","ecu4",406.19142243,-23.685438099
"118",2019-08-02 18:50:27,"Aug02","ecu4",406.19142243,-23.685438099
"119",2019-08-02 18:50:27,"Aug02","ecu4",405.87133803,-23.685438099
"120",2019-08-02 18:50:28,"Aug02","ecu4",405.87133803,-20.172921985
"121",2019-08-02 18:50:29,"Aug02","ecu4",405.87133803,-20.172921985
