"","DateSample","Avg_ico2","stderror","BelowCutoff"
"1","july17 ecu2","-0.248255992116471","-0.134360639553299","yes"
"2","july17 ecu3","-0.25065012741585","-0.142566230756985","yes"
"3","july23 ecu3","-0.250110752380318","-0.125793440134045","yes"
"4","july23 ecu2","-0.248104049818684","-0.152266987047434","yes"
"5","july23 ecu1","-0.220856379008818","-0.222368600341455","no"
"6","july30 ecu1","-0.216804377543258","-0.178060375231941","yes"
"7","july30 ecu2","-0.236911081168664","-0.218321510308079","yes"
"8","aug02 ecu3","-0.228778045510155","-0.211499479243639","yes"
"9","aug02 ecu4","-0.229711298163052","-0.206817904051766","yes"
"10","aug09 ecu1","-0.203418203852193","-0.141449554694183","yes"
"11","aug09 ecu2","-0.230268746392373","-0.154366473491541","yes"
"12","Aug13 ecu3","-0.239331267025441","-0.14345768078884","yes"
"13","Aug13 ecu4","-0.220232785053235","-0.335746089047647","no"
