"","DateSample","Avg_ico2","stderror","BelowCutoff"
"1","july17 ecu2","-0.252763227029664","-0.0633995522431879","yes"
"2","july17 ecu3","-0.253217237933165","-0.0466763659121284","yes"
"3","july23 ecu1","-0.240543804569543","-0.0412318083298152","yes"
"4","july23 ecu2","-0.250934836954523","-0.064518097008356","yes"
"5","july23 ecu3","-0.253606878198744","-0.0533894610979582","yes"
"6","july30 ecu2","-0.251271063208477","-0.0699620111601005","yes"
"7","july30 ecu1","-0.235783012133333","-0.0963456012660198","yes"
"8","aug02 ecu3","-0.237971331961587","-0.120421859727216","yes"
"9","aug02 ecu4","-0.245586074885082","-0.0573340412977436","yes"
"10","aug09 ecu1","-0.20535056235186","-0.0711692274412839","yes"
"11","aug09 ecu2","-0.235122406162308","-0.0299446830409527","yes"
"12","aug13 ecu3","-0.243946098678824","-0.0686079061078739","yes"
"13","aug13 ecu4","-0.242324436192059","-0.0853589771244646","yes"
