"","Sample","day","Average","Std_Dev"
"1","unsaturated","July17",-13.9117820622567,1.14767396300197
"2","saturated","July17",-13.7803285520298,0.470976899958608
"3","unsaturated","July23",-12.1359626462565,1.25622682425079
"4","saturated","July23",-12.9900386926384,0.688569317675203
"5","unsaturated","July30",-12.6848414574165,1.42997165342568
"6","saturated","July30",-13.2825120514875,0.31390505007458
"7","unsaturated","Aug02",-14.9707979325974,2.20758894380978
"8","saturated","Aug02",-14.4920528604126,0.299640871325772
"9","unsaturated","Aug09",-12.8580361195531,1.03638752806449
"10","saturated","Aug09",-11.5887146531478,0.435017509748925
"11","unsaturated","Aug13",-11.0548176358926,1.4883751607589
"12","saturated","Aug13",-10.7821673193518,0.482403013477996
