"","Day","Sample","sampleNumber","Avg_iCO2","StdDev_iCO2","stderror","lowbound","highbound"
"1","july17","ecu2",187,-24.8255992116471,1.83735411209681,-0.134360639553299,-24.5568779325405,-25.0943204907537
"2","july17","ecu3",147,-25.065012741585,1.72852368580281,-0.142566230756985,-24.779880280071,-25.350145203099
"3","july23","ecu3",283,-25.0110752380318,2.11617320920439,-0.125793440134045,-24.7594883577637,-25.2626621182999
"4","july23","ecu2",266,-24.8104049818684,2.48339940437255,-0.152266987047434,-24.5058710077735,-25.1149389559633
"5","july23","ecu1",313,-22.0856379008818,3.93410214061314,-0.222368600341455,-21.6409007001989,-22.5303751015647
"6","july30","ecu1",310,-21.6804377543258,3.13507641702707,-0.178060375231941,-21.3243170038619,-22.0365585047897
"7","july30","ecu2",217,-23.6911081168664,3.21607667264239,-0.218321510308079,-23.2544650962502,-24.1277511374826
"8","aug02","ecu3",129,-22.8778045510155,2.40217231561823,-0.211499479243639,-22.4548055925282,-23.3008035095028
"9","aug02","ecu4",154,-22.9711298163052,2.56654269343026,-0.206817904051766,-22.5574940082017,-23.3847656244087
"10","aug09","ecu1",114,-20.3418203852193,1.51026796418478,-0.141449554694183,-20.0589212758309,-20.6247194946077
"11","aug09","ecu2",59,-23.0268746392373,1.18571138147302,-0.154366473491541,-22.7181416922542,-23.3356075862204
"12","Aug13","ecu3",272,-23.9331267025441,2.36596468279412,-0.14345768078884,-23.6462113409664,-24.2200420641218
"13","Aug13","ecu4",136,-22.0232785053235,3.91543858823855,-0.335746089047647,-21.3517863272282,-22.6947706834188
