"","DATE","PosixCT","X12CO2","Delta_Raw_iCO2","Delta_30s_iCO2","HR_12CH4","HP_12CH4","Delta_iCH4_Raw","HR_Delta_iCH4_Raw","HR_Delta_iCH4_30s","HP_Delta_iCH4_Raw","HP_Delta_iCH4_30s","Sample"
"58806","2019-07-19",2019-07-19 14:46:40,427.81923595,-26.153433404,-23.921299267,2.1724187028,2.1766447726,-53.733218397,-61.528336561,-51.374019216,-53.733218397,-47.432016781,"ecu1"
"58807","2019-07-19",2019-07-19 14:46:42,427.81923595,-26.153433404,-23.921299267,2.1724187028,2.1766447726,-53.733218397,-61.528336561,-51.374019216,-53.733218397,-47.432016781,"ecu1"
"58808","2019-07-19",2019-07-19 14:46:42,427.85519269,-26.153433404,-23.921299267,2.1724187028,2.1766447726,-53.733218397,-61.528336561,-51.374019216,-53.733218397,-47.432016781,"ecu1"
"58809","2019-07-19",2019-07-19 14:46:43,427.85519269,-26.366040787,-24.142783604,2.1724187028,2.1766447726,-53.733218397,-61.528336561,-51.374019216,-53.733218397,-47.432016781,"ecu1"
"58810","2019-07-19",2019-07-19 14:46:44,427.85519269,-26.366040787,-24.142783604,2.1637726616,2.1767841589,-51.085465775,-53.720928736,-51.340448141,-51.085465775,-47.488732063,"ecu1"
"58811","2019-07-19",2019-07-19 14:46:45,427.85519269,-26.366040787,-24.142783604,2.1637726616,2.1767841589,-51.085465775,-53.720928736,-51.340448141,-51.085465775,-47.488732063,"ecu1"
"58812","2019-07-19",2019-07-19 14:46:46,427.47501432,-26.366040787,-24.142783604,2.1637726616,2.1767841589,-51.085465775,-53.720928736,-51.340448141,-51.085465775,-47.488732063,"ecu1"
"58813","2019-07-19",2019-07-19 14:46:46,427.47501432,-23.896263049,-24.333349959,2.1637726616,2.1767841589,-51.085465775,-53.720928736,-51.340448141,-51.085465775,-47.488732063,"ecu1"
"58814","2019-07-19",2019-07-19 14:46:47,427.47501432,-23.896263049,-24.333349959,2.1674983123,2.1768195451,-43.717746897,-49.725682041,-51.727546053,-43.717746897,-47.586067145,"ecu1"
"58815","2019-07-19",2019-07-19 14:46:49,427.47501432,-23.896263049,-24.333349959,2.1674983123,2.1768195451,-43.717746897,-49.725682041,-51.727546053,-43.717746897,-47.586067145,"ecu1"
"58816","2019-07-19",2019-07-19 14:46:49,427.38264679,-23.896263049,-24.333349959,2.1674983123,2.1768195451,-43.717746897,-49.725682041,-51.727546053,-43.717746897,-47.586067145,"ecu1"
"58817","2019-07-19",2019-07-19 14:46:50,427.38264679,-23.327957011,-24.305283547,2.1674983123,2.1768195451,-43.717746897,-49.725682041,-51.727546053,-43.717746897,-47.586067145,"ecu1"
"58818","2019-07-19",2019-07-19 14:46:51,427.38264679,-23.327957011,-24.305283547,2.1583843476,2.1776440811,-49.855873733,-50.906471755,-52.081389639,-49.855873733,-48.084892118,"ecu1"
"58819","2019-07-19",2019-07-19 14:46:52,427.38264679,-23.327957011,-24.305283547,2.1583843476,2.1776440811,-49.855873733,-50.906471755,-52.081389639,-49.855873733,-48.084892118,"ecu1"
"58820","2019-07-19",2019-07-19 14:46:53,427.4382813,-23.327957011,-24.305283547,2.1583843476,2.1776440811,-49.855873733,-50.906471755,-52.081389639,-49.855873733,-48.084892118,"ecu1"
"58821","2019-07-19",2019-07-19 14:46:53,427.4382813,-23.783659768,-24.479874429,2.1583843476,2.1776440811,-49.855873733,-50.906471755,-52.081389639,-49.855873733,-48.084892118,"ecu1"
"58822","2019-07-19",2019-07-19 14:46:54,427.4382813,-23.783659768,-24.479874429,2.1541995154,2.1771592088,-47.801977491,-47.325034492,-51.970307888,-47.801977491,-48.242393545,"ecu1"
"58823","2019-07-19",2019-07-19 14:46:56,427.4382813,-23.783659768,-24.479874429,2.1541995154,2.1771592088,-47.801977491,-47.325034492,-51.970307888,-47.801977491,-48.242393545,"ecu1"
"58824","2019-07-19",2019-07-19 14:46:56,427.34111801,-23.783659768,-24.479874429,2.1541995154,2.1771592088,-47.801977491,-47.325034492,-51.970307888,-47.801977491,-48.242393545,"ecu1"
"58825","2019-07-19",2019-07-19 14:46:57,427.34111801,-27.139853366,-24.920962593,2.1541995154,2.1771592088,-47.801977491,-47.325034492,-51.970307888,-47.801977491,-48.242393545,"ecu1"
"58826","2019-07-19",2019-07-19 14:46:58,427.34111801,-27.139853366,-24.920962593,2.170909195,2.1782848281,-49.847200655,-55.143615849,-53.025418272,-49.847200655,-48.678872902,"ecu1"
"58827","2019-07-19",2019-07-19 14:46:59,427.34111801,-27.139853366,-24.920962593,2.170909195,2.1782848281,-49.847200655,-55.143615849,-53.025418272,-49.847200655,-48.678872902,"ecu1"
"58828","2019-07-19",2019-07-19 14:47:00,427.36310512,-27.139853366,-24.920962593,2.170909195,2.1782848281,-49.847200655,-55.143615849,-53.025418272,-49.847200655,-48.678872902,"ecu1"
"58829","2019-07-19",2019-07-19 14:47:00,427.36310512,-23.66216018,-24.711962326,2.170909195,2.1782848281,-49.847200655,-55.143615849,-53.025418272,-49.847200655,-48.678872902,"ecu1"
