"","Sample","Avg_iCO2","StdDev_iCO2","Correction","CorrectedAverage"
"1","syn1",-15.254499248929,0.562947723965333,-0.007594961,-15.262094209929
"2","syn5",-14.2894627922887,0.39461855923585,-0.007594961,-14.2970577532887
"3","syn8",-15.9956756544323,0.433192538010773,-0.007594961,-16.0032706154323
"4","syn11",-15.6454291437129,0.354790286913195,-0.007594961,-15.6530241047129
"5","syn14",-15.24192640418,0.301332042876035,-0.007594961,-15.24952136518
"6","synBW",-13.950900630814,0.773103703725004,-0.007594961,-13.958495591814
"7","syn20",-12.9978743680392,0.420074460971847,-0.007594961,-13.0054693290392
"8","syn23",-15.4797026576338,0.381802009138297,-0.007594961,-15.4872976186338
"9","syn29",-15.168620856522,0.243801488539305,-0.007594961,-15.176215817522
"10","syn35",-15.1396492547097,0.24042194008646,-0.007594961,-15.1472442157097
