"","Sample","Avg_iCO2","StdDev_iCO2"
"1","syn1",-15.254499248929,0.562111869422703
"2","syn5",-14.2894627922887,0.394108386353842
"3","syn8",-15.9956756544323,0.432491011173105
"4","syn11",-15.6454291437129,0.353906623556217
"5","syn14",-15.24192640418,0.300827721111908
"6","synBW",-13.950900630814,0.768542580120235
"7","syn20",-12.9978743680392,0.419558081599063
"8","syn23",-15.4797026576338,0.381126850326835
"9","syn29",-15.168620856522,0.243416639856537
"10","syn35",-15.1396492547097,0.239771270584646
