"","Sample","Day","CorrectedAverage","StdDev_iCO2"
"1","Totalsyn1","total",-15.1067541165138,1.16525884354678
"2","Totalsyn5","total",-13.9288072623337,2.03750516630841
"3","Totalsyn8","total",-14.8579187082174,1.20425965849485
"4","Totalsyn11","total",-14.7069978763554,1.58022973863307
"5","Totalsyn14","total",-12.9882335166324,1.78334235819295
"6","TotalsynBW","total",-13.2024831701941,0.834756606271801
"7","Totalsyn20","total",-14.6571199212425,1.40452266541832
"8","Totalsyn23","total",-15.2163233465561,0.75119258198491
"9","Totalsyn29","total",-14.5026972127262,2.18008062940602
"10","Totalsyn35","total",-15.0175280707032,1.50893458527775
