"","DateTime","Inj","V1","V2","V3","V4","V4_adjusted"
"1",2019-07-10 11:35:00,"No",NA,NA,NA,NA,NA
"2",2019-07-10 11:40:00,"No",NA,NA,NA,NA,NA
"3",2019-07-10 11:45:00,"No",1515,1510,1072.5,1540.48420342874,1540.48420342874
"4",2019-07-10 11:50:00,"No",NA,NA,NA,NA,NA
"5",2019-07-10 11:55:00,"No",NA,NA,NA,NA,NA
"6",2019-07-10 12:00:00,"No",1490,1480,1067.5,1476.54038187153,1476.54038187153
"7",2019-07-10 12:05:00,"No",NA,NA,NA,NA,NA
"8",2019-07-10 12:10:00,"No",NA,NA,NA,NA,NA
"9",2019-07-10 12:15:00,"No",1480,1495,1047.5,1460.55442648223,1460.55442648223
"10",2019-07-10 12:20:00,"No",NA,NA,NA,NA,NA
"11",2019-07-10 12:25:00,"No",NA,NA,NA,NA,NA
"12",2019-07-10 12:30:00,"No",1455,1465,1022.5,1508.51229265014,1508.51229265014
"13",2019-07-10 12:35:00,"No",NA,NA,NA,NA,NA
"14",2019-07-10 12:40:00,"No",NA,NA,NA,NA,NA
"15",2019-07-10 12:45:00,"No",1445,1455,1057.5,1444.56847109293,1444.56847109293
"16",2019-07-10 12:50:00,"No",NA,NA,NA,NA,NA
"17",2019-07-10 12:55:00,"No",NA,NA,NA,NA,NA
"18",2019-07-10 13:00:00,"No",1415,1410,1027.5,1428.58251570363,1428.58251570363
"19",2019-07-10 13:05:00,"No",NA,NA,NA,NA,NA
"20",2019-07-10 13:10:00,"No",NA,NA,NA,NA,NA
"21",2019-07-10 13:15:00,"No",1415,1415,1007.5,1428.58251570363,1428.58251570363
"22",2019-07-10 13:20:00,"No",NA,NA,NA,NA,NA
"23",2019-07-10 13:25:00,"No",NA,NA,NA,NA,NA
"24",2019-07-10 13:30:00,"No",1405,1395,987.5,1396.61060492503,1396.61060492503
"25",2019-07-10 13:35:00,"No",NA,NA,NA,NA,NA
"26",2019-07-10 13:40:00,"No",NA,NA,NA,NA,NA
"27",2019-07-10 13:45:00,"No",1395,1390,922.5,1428.58251570363,1428.58251570363
"28",2019-07-10 13:50:00,"No",NA,NA,NA,NA,NA
