DateTime,V1,V2
7/17/19 14:25,1495,1365
7/17/19 14:40,1480,1340
7/17/19 14:55,1460,1365
7/17/19 15:10,1450,1365
7/17/19 15:25,1445,1355
7/17/19 15:40,1435,1355
7/17/19 15:55,1450,1340
7/17/19 16:10,1445,1355
7/17/19 16:25,1430,1355
7/17/19 16:40,1450,1355
7/17/19 16:55,1465,1380
7/17/19 17:10,1485,1400
7/17/19 17:25,1485,1410
7/17/19 17:40,1510,1420
7/17/19 17:55,1530,1460
7/17/19 18:10,1550,1505
7/17/19 18:25,1595,1520
7/17/19 18:40,1655,1585
7/17/19 18:55,1705,1655
7/17/19 19:10,1770,1695
7/17/19 19:25,1815,1725
7/17/19 19:40,1850,1775
7/17/19 19:55,1895,1825
7/17/19 20:10,1945,1870
7/17/19 20:25,1975,1895
7/17/19 20:40,1995,1910
7/17/19 20:55,2030,1955
7/17/19 21:10,2030,1985
7/17/19 21:25,2060,1975
7/17/19 21:40,2065,1995
7/17/19 21:55,2090,2030
7/17/19 22:10,2120,2025
7/17/19 22:25,2150,2075
7/17/19 22:40,2150,2060
7/17/19 22:55,2155,2070
7/17/19 23:10,2135,2085
7/17/19 23:25,2150,2070
7/17/19 23:40,2170,2055
7/17/19 23:55,2150,2085
7/18/19 0:10,2170,2120
7/18/19 0:25,2195,2155
7/18/19 0:40,2205,2165
7/18/19 0:55,2210,2190
7/18/19 1:10,2240,2175
7/18/19 1:25,2250,2220
7/18/19 1:40,2255,2205
7/18/19 1:55,2265,2220
7/18/19 2:10,2295,2220
7/18/19 2:25,2300,2250
7/18/19 2:40,2305,2255
7/18/19 2:55,2340,2295
7/18/19 3:10,2340,2305
7/18/19 3:25,2370,2320
7/18/19 3:40,2365,2325
7/18/19 3:55,2385,2340
7/18/19 4:10,2405,2345
7/18/19 4:25,2410,2365
7/18/19 4:40,2430,2365
7/18/19 4:55,2415,2360
7/18/19 5:10,2435,2375
7/18/19 5:25,2455,2395
7/18/19 5:40,2460,2435
7/18/19 5:55,2485,2415
7/18/19 6:10,2470,2405
7/18/19 6:25,2485,2415
7/18/19 6:40,2520,2405
7/18/19 6:55,2490,2415
7/18/19 7:10,2470,2420
7/18/19 7:25,2455,2395
7/18/19 7:40,2430,2360
7/18/19 7:55,2425,2365
7/18/19 8:10,2380,2315
7/18/19 8:25,2345,2290
7/18/19 8:40,2320,2275
7/18/19 8:55,2260,2225
7/18/19 9:10,2230,2195
7/18/19 9:25,2195,2145
7/18/19 9:40,2160,2110
7/18/19 9:55,2135,2070
7/18/19 10:10,2090,2040
7/18/19 10:25,2065,2020
7/18/19 10:40,2015,1965
7/18/19 10:55,1995,1945
7/18/19 11:10,1945,1885
7/18/19 11:25,1905,1875
7/18/19 11:40,1870,1825
7/18/19 11:55,1830,1800
7/18/19 12:10,1790,1785
7/18/19 12:25,1775,1750
7/18/19 12:40,1760,1720
7/18/19 12:55,1735,1710
7/18/19 13:10,1710,1685
7/18/19 13:25,1685,1670
7/18/19 13:40,1675,1635
7/18/19 13:55,1655,1640
